trade_id,specialist_id,regime,source_strategy,pnl_basis,entry_time_utc,exit_time_utc,direction,pnl_usd_0p01_equiv,stress_net_r,risk_usd
2025-12-12 12:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-12 12:00:00+00:00,2025-12-29 07:03:39+00:00,LONG,-98.32,,
2025-12-22 04:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-22 04:00:00+00:00,2025-12-29 15:05:42+00:00,LONG,-148.82,,
2025-12-22 08:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-22 08:00:00+00:00,2025-12-29 15:05:42+00:00,LONG,-155.52,,
2025-12-22 16:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-22 16:00:00+00:00,2025-12-29 15:05:42+00:00,LONG,-152.93,,
2025-12-23 04:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-23 04:00:00+00:00,2025-12-29 15:22:30+00:00,LONG,-83.28,,
2025-12-23 12:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-23 12:00:00+00:00,2025-12-29 15:22:30+00:00,LONG,-122.48,,
2025-12-23 20:00:00|LONG|h4_d1_long_best_box2_atr80,R1_UPTREND,UPTREND,h4_d1_long_best_box2_atr80,EXACT_MT5_CLOSED_PNL_0P01_LOT,2025-12-23 20:00:00+00:00,2025-12-29 15:22:30+00:00,LONG,-105.02,,
2026-01-09 09:00:00|LONG|r1_h1_pullback_long_v1,R1_UPTREND,UPTREND,r1_h1_pullback_long_v1,EXACT_MT5_CLOSED_PNL_0P01_LOT,2026-01-09 09:00:00+00:00,2026-01-09 12:06:14+00:00,LONG,11.66,,
2026-01-09 09:15:00|LONG|r1_h1_pullback_long_v1,R1_UPTREND,UPTREND,r1_h1_pullback_long_v1,EXACT_MT5_CLOSED_PNL_0P01_LOT,2026-01-09 09:15:00+00:00,2026-01-09 12:31:15+00:00,LONG,-9.54,,
2026-01-09 12:00:00|LONG|r1_h1_pullback_long_v1,R1_UPTREND,UPTREND,r1_h1_pullback_long_v1,EXACT_MT5_CLOSED_PNL_0P01_LOT,2026-01-09 12:00:00+00:00,2026-01-09 12:33:31+00:00,LONG,-12.04,,
2026-01-09 13:30:00|LONG|r1_h1_pullback_long_v1,R1_UPTREND,UPTREND,r1_h1_pullback_long_v1,EXACT_MT5_CLOSED_PNL_0P01_LOT,2026-01-09 13:30:00+00:00,2026-01-09 13:30:42+00:00,LONG,-13.4,,
