specialist,symbol,signal_time_utc,entry_time_utc,exit_time_utc,side,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,pnl_usd_0_01_lot
s1_established_aligned_cycle_exit_v1,USDJPY,2019-10-31 09:00:00+00:00,2019-10-31 09:15:00+00:00,2019-10-31 11:50:00+00:00,SHORT,108.41499999999999,108.72399999999999,108.106,108.107,TARGET,0.3089999999999975,0.9967637540452919,0.980582524271829,2.849029202549259
s1_established_aligned_cycle_exit_v1,USDJPY,2020-02-28 10:45:00+00:00,2020-02-28 11:00:00+00:00,2020-02-28 15:10:00+00:00,SHORT,108.636,109.064,108.208,108.209,TARGET,0.42799999999999727,0.997663551401858,0.9859813084112038,3.9460673326617237
s1_established_aligned_cycle_exit_v1,USDJPY,2020-03-02 10:45:00+00:00,2020-03-02 11:00:00+00:00,2020-03-03 06:00:00+00:00,SHORT,107.723,108.5795,106.8665,107.766,NEXT_CYCLE,0.8564999999999969,-0.050204319906604226,-0.056042031523650365,-0.39901267561203313
s1_established_aligned_cycle_exit_v1,USDJPY,2020-03-05 10:45:00+00:00,2020-03-05 11:00:00+00:00,2020-03-05 18:15:00+00:00,SHORT,106.80799999999999,107.3845,106.23149999999998,106.23249999999999,TARGET,0.57650000000001,0.9982653946227151,0.989592367736332,5.417362859765188
s1_established_aligned_cycle_exit_v1,USDJPY,2020-03-26 08:45:00+00:00,2020-03-26 09:00:00+00:00,2020-03-26 13:05:00+00:00,SHORT,110.09899999999999,110.7485,109.44949999999997,109.45049999999998,TARGET,0.6495000000000175,0.9984603541185454,0.9907621247113093,5.925052877785053
s1_established_aligned_cycle_exit_v1,USDJPY,2020-05-06 08:30:00+00:00,2020-05-06 08:45:00+00:00,2020-05-06 10:55:00+00:00,LONG,106.43100000000001,106.237,106.62500000000003,106.23599999999999,STOP,0.19400000000001683,-1.005154639175282,-1.0309278350515683,-1.835535976505343
s1_established_aligned_cycle_exit_v1,USDJPY,2020-06-23 10:00:00+00:00,2020-06-23 10:15:00+00:00,2020-06-23 12:15:00+00:00,SHORT,107.071,107.21950000000001,106.92249999999999,106.92349999999999,TARGET,0.14850000000001273,0.9932659932659617,0.9595959595959309,1.3794909444603662
s1_established_aligned_cycle_exit_v1,USDJPY,2020-07-10 08:30:00+00:00,2020-07-10 08:45:00+00:00,2020-07-10 16:50:00+00:00,SHORT,106.77499999999999,106.929,106.62099999999998,106.93,STOP,0.15400000000001057,-1.006493506493537,-1.0389610389610673,-1.4495464322455376
s1_established_aligned_cycle_exit_v1,USDJPY,2020-09-16 11:30:00+00:00,2020-09-16 11:45:00+00:00,2020-09-17 06:00:00+00:00,SHORT,105.079,105.4005,104.7575,104.98400000000001,NEXT_CYCLE,0.32150000000000034,0.2954898911352552,0.2799377916018182,0.9048997942542163
s1_established_aligned_cycle_exit_v1,USDJPY,2020-11-23 10:45:00+00:00,2020-11-23 11:00:00+00:00,2020-11-23 14:45:00+00:00,SHORT,103.696,103.8475,103.5445,103.8485,STOP,0.15149999999999864,-1.0066006600660382,-1.0396039603960716,-1.4684853416274997
s1_established_aligned_cycle_exit_v1,USDJPY,2020-12-14 09:15:00+00:00,2020-12-14 09:30:00+00:00,2020-12-14 13:55:00+00:00,SHORT,103.794,104.03399999999999,103.554,103.555,TARGET,0.23999999999999488,0.9958333333333134,0.9749999999999795,2.30795229588132
s1_established_aligned_cycle_exit_v1,USDJPY,2021-01-05 09:45:00+00:00,2021-01-05 10:00:00+00:00,2021-01-05 16:40:00+00:00,SHORT,102.83399999999999,102.997,102.67099999999998,102.67199999999998,TARGET,0.16300000000001091,0.9938650306748178,0.963190184049053,1.5778401122020236
