level,eligible,chop,compression,trades,wins,win_rate,realized_payoff_ratio,profit_factor,stress_profit_factor,net_r,stress_net_r,pnl_usd_001_lot,maximum_drawdown_r,positive_active_month_share,top_5pct_winners_removed_profit_factor,trade_count_gain,extra_0p5pip_profit_factor,latest_12_month_profit_factor
L0_PROTECTED,False,0.35,0.55,507,243,0.47928994082840237,1.309154799180374,1.2095993011438437,1.154559615648955,42.94018854964917,32.48713750113361,77.73743188739085,11.373045958940814,0.5181818181818182,1.0513570254463285,0.0,1.154559615648955,1.5353550155407898
L1_MODERATE,False,0.25,0.45,539,253,0.46938775510204084,1.330263326195274,1.180900426411945,1.1271456810916207,39.687571129805214,28.62767554680928,76.49237484434894,12.24730726118759,0.5272727272727272,1.0274492461434743,0.0631163708086786,1.1271456810916207,1.4854817862957437
L2_BROAD,False,0.15,0.35,563,264,0.4689165186500888,1.3431062899191555,1.1858864900958428,1.1320799939490416,42.36926275668891,30.8919525724966,82.69840122447131,13.387732300782616,0.5405405405405406,1.027246302626331,0.11045364891518727,1.1320799939490416,1.4351821866283139
L3_ALL_BREAKS,False,0.0,0.0,589,275,0.466893039049236,1.3701600004061985,1.1999808920754922,1.1455962617711943,47.0525961005316,35.15391836391243,86.79691452600898,14.088328349200662,0.5405405405405406,1.04100079155359,0.1617357001972386,1.1455962617711943,1.6894475366954442
