timestamp_broker,m5_bar_time,time_bucket,candidate,family,lane,regime,symbol,direction,normalized_direction,legacy_shadow_action,legacy_shadow_reason,proposed_v2_shadow_action,proposed_v2_shadow_reason,trend_veto_action,trend_veto_reason,fixed_shadow_action,fixed_shadow_reason,entry_price,stop_loss,take_profit,stop_distance_points,spread_points,cost_bucket,evidence_tier,resolution_status,resolution_source,matched_position_ticket,actual_state,actual_profit_aed,actual_exit_time,actual_exit_price,replay_model,replay_entry_time,replay_entry_price,replay_synthetic_stop_loss,replay_synthetic_take_profit,replay_signal_risk_points,replay_spread_points,replay_bars_scanned,replay_exit_time,replay_exit_price,gross_outcome_r,estimated_cost_r,cost_source,net_outcome_r,v1_resolution_status,v1_resolution_source,v1_replay_bars_scanned,v1_replay_exit_time,v1_replay_exit_price,v1_gross_outcome_r,v1_estimated_cost_r,v1_cost_source,v1_net_outcome_r,_source_file
2026.06.08 10:05:01,2026.06.08 10:05:00,Afternoon 12:00-15:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,SHORT,SELL,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15094,1.15147,1.15014,53.11,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 10:20:00,2026.06.08 10:20:00,Afternoon 12:00-15:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,SHORT,SELL,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15156,1.15182,1.15117,26.16,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 10:30:00,2026.06.08 10:30:00,Afternoon 12:00-15:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,SHORT,SELL,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15156,1.15186,1.15111,30.20,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 10:50:00,2026.06.08 10:50:00,Afternoon 12:00-15:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,LONG,BUY,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15247,1.15196,1.15323,50.54,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 11:25:00,2026.06.08 11:25:00,Afternoon 12:00-15:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,LONG,BUY,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15355,1.15302,1.15434,52.91,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 13:20:00,2026.06.08 13:20:00,Evening 16:00-19:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,LONG,BUY,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15450,1.15407,1.15514,42.83,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 13:25:01,2026.06.08 13:25:00,Evening 16:00-19:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,LONG,BUY,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15457,1.15414,1.15521,42.81,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.08 18:50:00,2026.06.08 18:50:00,Night 20:00-05:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,SHORT,SELL,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15358,1.15391,1.15308,33.21,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.09 01:10:01,2026.06.09 01:10:00,Night 20:00-05:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,LONG,BUY,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15332,1.15301,1.15379,31.05,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.09 03:35:03,2026.06.09 03:35:00,Morning 06:00-11:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,SHORT,SELL,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15352,1.15370,1.15325,17.71,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
2026.06.09 08:00:00,2026.06.09 08:00:00,Morning 06:00-11:59,breakout_retest,breakout,accepted_same_family,WOULD_SIGNAL,EURUSD,SHORT,SELL,KEEP,KEEP,KEEP,KEEP,,,KEEP,KEEP,1.15410,1.15438,1.15368,27.70,7.00,LOW_<=30pt,,UNRESOLVED_NO_BROKER_MATCH_NO_REPLAY_BARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shadow_fix_observer_signal_log_breakout_retest_eurusd.csv
