source_report,source_report_sha256,row_index,generated_at_utc,tag,from_date,to_date,tuning_attempted,symbol,variant,description,status,trades,win_rate_pct,parsed_net_usd,parsed_profit_factor,mt5_net_usd,mt5_profit_factor
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP.json,6aae7061131e6b6d1eb982d3c5c015e7c4ee065770904b853310c17e14c22c9c,1,2026-07-04T02:33:34Z,CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP,2024.07.01,2026.07.03,True,USDCAD,rsi_bb_close_fade_m30_short_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_THIN_EDGE_WATCH,592,53.72,0.35,1.0014,-4.65,0.98
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP.json,6aae7061131e6b6d1eb982d3c5c015e7c4ee065770904b853310c17e14c22c9c,2,2026-07-04T02:33:34Z,CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP,2024.07.01,2026.07.03,True,USDCHF,rsi_bb_close_fade_m30_short_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,531,53.3,-3.24,0.9904,-10.91,0.97
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP.json,6aae7061131e6b6d1eb982d3c5c015e7c4ee065770904b853310c17e14c22c9c,3,2026-07-04T02:33:34Z,CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP,2024.07.01,2026.07.03,True,NZDUSD,rsi_bb_close_fade_m30_short_rr0p80,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,483,48.65,-42.45,0.831,-42.45,0.83
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP.json,6aae7061131e6b6d1eb982d3c5c015e7c4ee065770904b853310c17e14c22c9c,4,2026-07-04T02:33:34Z,CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP,2024.07.01,2026.07.03,True,USDCAD,rsi_extreme_fade_m30_short_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_RAW_EDGE_TUNING_CANDIDATE,394,56.85,33.53,1.2147,27.51,1.17
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP.json,6aae7061131e6b6d1eb982d3c5c015e7c4ee065770904b853310c17e14c22c9c,5,2026-07-04T02:33:34Z,CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP,2024.07.01,2026.07.03,True,NZDUSD,rsi_extreme_fade_m30_short_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,384,45.31,-72.31,0.6812,-72.31,0.68
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP.json,6aae7061131e6b6d1eb982d3c5c015e7c4ee065770904b853310c17e14c22c9c,6,2026-07-04T02:33:34Z,CURRENT_2024_2026_EXTRA_MAJORS_MEANREV_M30_SHORT_FOLLOWUP,2024.07.01,2026.07.03,True,USDCHF,rsi_extreme_fade_m30_short_rr0p80,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M30. Direction=short. RiskReward=0.80.,FREQUENT_BUT_THIN_EDGE_WATCH,383,54.83,6.06,1.0241,-4.49,0.98
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,1,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,USDJPY,bb_close_fade_m15,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M15.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,3352,52.8,-145.01,0.9184,-152.08,0.91
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,2,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,GBPUSD,bb_close_fade_m15,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M15.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,3303,51.35,-223.28,0.8778,-234.39,0.87
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,3,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,EURUSD,bb_close_fade_m15,"M5 Bollinger close outside band faded, RSI filter off. Signal timeframe=M15.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,3208,54.52,-30.92,0.9782,-38.88,0.97
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,4,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,USDJPY,rsi_bb_close_fade_m15,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M15.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,2175,52.87,-106.93,0.9116,-111.82,0.91
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,5,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,GBPUSD,rsi_bb_close_fade_m15,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M15.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,2081,51.71,-153.98,0.8736,-159.79,0.87
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,6,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,EURUSD,rsi_bb_close_fade_m15,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M15.,FREQUENT_BUT_THIN_EDGE_WATCH,2063,55.94,44.36,1.0475,40.56,1.04
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,7,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,USDJPY,rsi_extreme_fade_m15,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M15.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,1745,51.69,-128.06,0.882,-130.80,0.88
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,8,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,GBPUSD,rsi_extreme_fade_m15,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M15.,FREQUENT_BUT_NEGATIVE_SKIP_TUNING,1590,52.08,-115.52,0.885,-121.04,0.88
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,9,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,EURUSD,rsi_extreme_fade_m15,M5 RSI 30/70 extreme faded toward mean. Signal timeframe=M15.,FREQUENT_BUT_THIN_EDGE_WATCH,1518,54.87,17.75,1.0231,13.35,1.02
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,10,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,GBPUSD,bb_wick_reclaim_m15,"M5 Bollinger band wick breach then reclaim, RSI 35/65 confirmation. Signal timeframe=M15.",FREQUENT_BUT_THIN_EDGE_WATCH,312,54.81,12.17,1.0629,11.39,1.06
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,11,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,USDJPY,bb_wick_reclaim_m15,"M5 Bollinger band wick breach then reclaim, RSI 35/65 confirmation. Signal timeframe=M15.",FREQUENT_BUT_NEGATIVE_SKIP_TUNING,301,50.83,-35.57,0.8319,-36.85,0.83
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEAN_REVERSION.json,9afa87a96eb436f49111d7448bd755932ad5b418ec2566ff7bdbac8f8fa24c77,12,2026-07-03T21:14:51Z,CURRENT_2024_2026_M15_MEAN_REVERSION,2024.07.01,2026.07.02,False,EURUSD,bb_wick_reclaim_m15,"M5 Bollinger band wick breach then reclaim, RSI 35/65 confirmation. Signal timeframe=M15.",FREQUENT_BUT_THIN_EDGE_WATCH,280,55.0,8.51,1.0544,6.49,1.04
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT.json,c6841d831873ac2e089a124e67468030f79b55aeaa768d056c7f1a7155b7c505,1,2026-07-03T21:15:51Z,CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT,2024.07.01,2026.07.02,False,EURUSD,rsi_bb_close_fade_m15_long,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M15. Direction=long.,FREQUENT_RAW_EDGE_TUNING_CANDIDATE,1034,56.87,45.15,1.1008,40.42,1.09
FOREX_MT5_FREQUENCY_SCOUT_CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT.json,c6841d831873ac2e089a124e67468030f79b55aeaa768d056c7f1a7155b7c505,2,2026-07-03T21:15:51Z,CURRENT_2024_2026_M15_MEANREV_EURUSD_DIRECTION_SPLIT,2024.07.01,2026.07.02,False,EURUSD,rsi_bb_close_fade_m15_short,M5 Bollinger close outside band faded with RSI 35/65 confirmation. Signal timeframe=M15. Direction=short.,FREQUENT_BUT_THIN_EDGE_WATCH,1034,55.22,2.28,1.0047,3.21,1.01
