dimension,value,trades,stress_net_r,average_stress_r,wins
regime,CHOP,8,18.3622537957509,2.2952817244688624,5
regime,COMPRESSION,5,-33.95144672654944,-6.790289345309889,1
regime,TRANSITION,1,-15.002990428092813,-15.002990428092813,0
direction,LONG,6,-20.118915176286162,-3.353152529381027,3
direction,SHORT,8,-10.473268182605192,-1.309158522825649,3
