arm,window,v1_v6_trades,v1_v6_win_rate_pct,v1_v6_stress_net_usd,v1_v6_stress_profit_factor,v1_v6_stress_closed_drawdown_usd,v1_v6_winner_removed_stress_net_usd,managed_v6_trades,managed_v6_win_rate_pct,managed_v6_stress_net_usd,managed_v6_stress_profit_factor,managed_v6_stress_closed_drawdown_usd,managed_v6_winner_removed_stress_net_usd,v1_combined_trades,v1_combined_win_rate_pct,v1_combined_stress_net_usd,v1_combined_stress_profit_factor,v1_combined_stress_closed_drawdown_usd,v1_combined_winner_removed_stress_net_usd,managed_combined_trades,managed_combined_win_rate_pct,managed_combined_stress_net_usd,managed_combined_stress_profit_factor,managed_combined_stress_closed_drawdown_usd,managed_combined_winner_removed_stress_net_usd,checks,passed
A_COMPETING_UTILITY,development_2,92,34.78260869565217,85.90428528646036,1.1645446337489196,90.15450946180589,-111.95461362847063,88,34.090909090909086,59.16024127604394,1.1194921233802857,85.41175442708385,-138.69865763888706,687,45.414847161572055,1130.2212511151906,1.4890174136190952,234.6280444112553,825.0712511151905,683,45.387994143484626,1103.477207104774,1.483084311841173,260.48844915385564,798.327207104774,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": false, ""managed_v6_pf_no_worse_than_v1"": false, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": false, ""managed_combined_pf_no_worse_than_v1"": false, ""managed_combined_drawdown_no_worse_than_v1"": false}",False
A_COMPETING_UTILITY,confirmation,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
A_COMPETING_UTILITY,final,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
B_REGIME_COMPETING,development_2,92,34.78260869565217,85.90428528646036,1.1645446337489196,90.15450946180589,-111.95461362847063,92,33.69565217391305,100.5479901475721,1.1994996399220905,91.04086102430571,-97.31090876735888,687,45.414847161572055,1130.2212511151906,1.4890174136190952,234.6280444112553,825.0712511151905,687,45.26928675400291,1144.864955976302,1.4992571963686856,229.015242327922,839.7149559763022,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": false, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",False
B_REGIME_COMPETING,confirmation,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
B_REGIME_COMPETING,final,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
C_SEQUENCE_QUANTILE,development_2,92,34.78260869565217,85.90428528646036,1.1645446337489196,90.15450946180589,-111.95461362847063,89,30.337078651685395,71.16828576389254,1.1575108006034494,85.85703433159604,-126.69061315103848,687,45.414847161572055,1130.2212511151906,1.4890174136190952,234.6280444112553,825.0712511151905,684,44.88304093567251,1115.4852515926227,1.4977696242892677,265.4920463760777,810.3352515926226,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": false, ""managed_v6_pf_no_worse_than_v1"": false, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": false, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": false}",False
C_SEQUENCE_QUANTILE,confirmation,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,38,34.21052631578947,25.459372569441964,1.0990703984592978,92.71754318576512,-175.62498936632136,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,479,45.093945720250524,1249.1114868318093,1.5605320305117503,336.1878332848886,687.4714868318091,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": false, ""managed_v6_pf_no_worse_than_v1"": false, ""managed_v6_drawdown_no_worse_than_v1"": false, ""managed_combined_net_no_worse_than_v1"": false, ""managed_combined_pf_no_worse_than_v1"": false, ""managed_combined_drawdown_no_worse_than_v1"": false}",False
C_SEQUENCE_QUANTILE,final,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,23,21.73913043478261,-13.850174652780353,0.9598462848130578,218.24734192708644,-344.92884626736367,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,387,42.63565891472868,2495.5949885392615,1.8433748742424532,202.26149293108728,1102.8822601772472,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": false, ""managed_v6_pf_no_worse_than_v1"": false, ""managed_v6_drawdown_no_worse_than_v1"": false, ""managed_combined_net_no_worse_than_v1"": false, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": false}",False
D_UNANIMOUS_ENSEMBLE,development_2,92,34.78260869565217,85.90428528646036,1.1645446337489196,90.15450946180589,-111.95461362847063,92,34.78260869565217,85.90428528646036,1.1645446337489196,90.15450946180589,-111.95461362847063,687,45.414847161572055,1130.2212511151906,1.4890174136190952,234.6280444112553,825.0712511151905,687,45.414847161572055,1130.2212511151906,1.4890174136190952,234.6280444112553,825.0712511151905,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
D_UNANIMOUS_ENSEMBLE,confirmation,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,38,47.368421052631575,126.56772586805333,1.488400795488763,71.28099717882004,-98.37988103298801,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,479,46.13778705636743,1350.2198401304206,1.6053158784119632,324.57180984738875,788.5798401304205,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
D_UNANIMOUS_ENSEMBLE,final,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,23,30.434782608695656,31.05380972222129,1.076655636469102,185.23916909722277,-347.4895071614593,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,387,43.15245478036176,2540.498972914263,1.8414374372099938,191.87607018803118,1147.786244552249,"{""minimum_managed_accepted_trades"": true, ""managed_v6_net_no_worse_than_v1"": true, ""managed_v6_pf_no_worse_than_v1"": true, ""managed_v6_drawdown_no_worse_than_v1"": true, ""managed_combined_net_no_worse_than_v1"": true, ""managed_combined_pf_no_worse_than_v1"": true, ""managed_combined_drawdown_no_worse_than_v1"": true}",True
