arm,target_year,training_rows,target_rows,target_spearman,target_mae_r,target_score_mean_r,target_score_max_r,first_action_trades,first_action_positive_benefit_share,first_action_net_benefit_usd,first_action_worst_benefit_usd,model_detail
A_COMPETING_UTILITY,2022,230109,200,0.07012825320633016,1.2446006633086335,-0.30535073321883155,0.02924261029602726,0,0.0,0.0,0.0,{}
B_REGIME_COMPETING,2022,230109,200,0.14768319207980202,1.2303544435090499,-0.3384396250788355,0.3861964812850303,4,1.0,8.732156250000388,0.9581857638888973,"{""regime_training_rows"": {""R0_SHOCK"": 38431, ""R1_UPTREND"": 13252, ""R2_DOWNTREND"": 10760, ""R3_COMPRESSION"": 10321, ""R4_CHOP"": 35067, ""R5_TRANSITION"": 122278}}"
C_SEQUENCE_QUANTILE,2022,230109,200,0.10118728858972517,1.2624145288401754,-0.6472407396549517,0.5285886556010058,13,0.7692307692307693,1.3488263888899068,-15.59284722222215,{}
D_UNANIMOUS_ENSEMBLE,2022,230109,200,0.08366968789084733,1.3193325606003419,-0.737336534503739,0.02924261029602726,0,0.0,0.0,0.0,{}
A_COMPETING_UTILITY,2023,272299,123,-0.0766016174175491,1.4864132193266362,-0.3654843946688693,0.035589752755665616,2,0.5,-19.56293055555542,-23.41451388888874,{}
B_REGIME_COMPETING,2023,272299,123,-0.15812384723529943,1.5471607661451048,-0.3775298195571627,0.08133873550613308,2,0.5,-0.4173776041666013,-7.215277777777779,"{""regime_training_rows"": {""R0_SHOCK"": 45672, ""R4_CHOP"": 43316, ""R5_TRANSITION"": 143029}}"
C_SEQUENCE_QUANTILE,2023,272299,123,-0.19113154038635172,1.583720142799064,-0.6600783404116815,0.4846013245056,13,0.7692307692307693,-12.600685763888677,-25.756388888888907,{}
D_UNANIMOUS_ENSEMBLE,2023,272299,123,-0.20228135656308008,1.6840523607546634,-0.7975125954542445,0.016221351447417653,0,0.0,0.0,0.0,{}
A_COMPETING_UTILITY,2024,314249,153,-0.15398791095385522,1.4857157491459294,-0.28875124722383444,-0.008385963125390306,0,0.0,0.0,0.0,{}
B_REGIME_COMPETING,2024,314249,153,-0.16638856499537613,1.4933866219890468,-0.20098107376068888,0.5146602898601316,2,1.0,6.328926215277984,2.9323784722222674,"{""regime_training_rows"": {""R0_SHOCK"": 54051, ""R1_UPTREND"": 17464, ""R3_COMPRESSION"": 13601, ""R4_CHOP"": 49373, ""R5_TRANSITION"": 164610}}"
C_SEQUENCE_QUANTILE,2024,314249,153,-0.05975165185691501,1.5534625129239468,-0.6875691588037043,0.460601808979414,15,0.6,-69.20640885416617,-30.157986111111207,{}
D_UNANIMOUS_ENSEMBLE,2024,314249,153,-0.0477396700306917,1.5614602488589333,-0.7513905096267369,-0.0401600765365796,0,0.0,0.0,0.0,{}
A_COMPETING_UTILITY,2025,356284,164,-0.07577727960328835,1.7244002608556814,-0.4028899631546541,-0.0390088940627914,0,0.0,0.0,0.0,{}
B_REGIME_COMPETING,2025,356284,164,-0.13102190227849683,1.7483147024475194,-0.4038690700869965,0.27345537497577455,0,0.0,0.0,0.0,"{""regime_training_rows"": {""R0_SHOCK"": 63123, ""R1_UPTREND"": 21284, ""R4_CHOP"": 57606, ""R5_TRANSITION"": 183449}}"
C_SEQUENCE_QUANTILE,2025,356284,164,0.023810851730579556,1.7662478486064304,-0.7357977196448526,0.49947335986389585,13,0.6923076923076923,-115.45271006944668,-75.33555555555547,{}
D_UNANIMOUS_ENSEMBLE,2025,356284,164,0.017939757348199446,1.7835157086545441,-0.8216387931535072,-0.13799046123913128,0,0.0,0.0,0.0,{}
A_COMPETING_UTILITY,2026,399359,47,0.4743293246993525,1.838874190581587,-0.25308982706097866,0.022015813841225,0,0.0,0.0,0.0,{}
B_REGIME_COMPETING,2026,399359,47,0.46202769525825904,1.83520318241901,-0.27691240275965073,0.2666834155993606,0,0.0,0.0,0.0,"{""regime_training_rows"": {""R2_DOWNTREND"": 17083, ""R5_TRANSITION"": 203583}}"
C_SEQUENCE_QUANTILE,2026,399359,47,0.3229163656635436,1.8011897706342304,-0.6972898564171768,0.3316461775673382,2,0.5,-42.53937326388771,-60.52163194444394,{}
D_UNANIMOUS_ENSEMBLE,2026,399359,47,0.3345957042246959,1.8070849973852132,-0.7514783819496554,0.004306569546928873,0,0.0,0.0,0.0,{}
