policy_id,horizon_ms,minimum_absolute_comex_move_usd,minimum_directional_innovation_usd,minimum_absolute_flow_imbalance,minimum_received_volume,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H0500__CM040__IN030__FI30__VO05,500,0.4,0.3,0.3,5,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN030__FI30__VO10,500,0.4,0.3,0.3,10,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN030__FI45__VO05,500,0.4,0.3,0.45,5,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN030__FI45__VO10,500,0.4,0.3,0.45,10,20,20,1.0,20,1.0,14,6,0.3,True
H0500__CM040__IN040__FI00__VO05,500,0.4,0.4,0.0,5,20,20,1.0,20,1.0,9,11,0.45,True
H0500__CM040__IN040__FI00__VO10,500,0.4,0.4,0.0,10,20,20,1.0,20,1.0,9,11,0.45,True
H0500__CM040__IN040__FI15__VO05,500,0.4,0.4,0.15,5,20,20,1.0,20,1.0,9,11,0.45,True
H0500__CM040__IN040__FI15__VO10,500,0.4,0.4,0.15,10,20,20,1.0,20,1.0,9,11,0.45,True
H0500__CM040__IN040__FI30__VO05,500,0.4,0.4,0.3,5,20,20,1.0,20,1.0,9,11,0.45,True
H0500__CM040__IN040__FI30__VO10,500,0.4,0.4,0.3,10,20,20,1.0,20,1.0,9,11,0.45,True
H0500__CM040__IN040__FI45__VO05,500,0.4,0.4,0.45,5,20,19,0.95,19,0.95,9,10,0.47368421052631576,True
H0500__CM040__IN040__FI45__VO10,500,0.4,0.4,0.45,10,20,19,0.95,19,0.95,9,10,0.47368421052631576,True
H0500__CM040__IN050__FI00__VO05,500,0.4,0.5,0.0,5,20,19,0.95,19,0.95,8,11,0.42105263157894735,True
H0500__CM040__IN050__FI00__VO10,500,0.4,0.5,0.0,10,20,18,0.9,18,0.9,7,11,0.3888888888888889,True
H0500__CM040__IN050__FI15__VO05,500,0.4,0.5,0.15,5,20,19,0.95,19,0.95,8,11,0.42105263157894735,True
H0500__CM040__IN050__FI15__VO10,500,0.4,0.5,0.15,10,20,18,0.9,18,0.9,7,11,0.3888888888888889,True
H0500__CM040__IN050__FI30__VO05,500,0.4,0.5,0.3,5,20,18,0.9,18,0.9,7,11,0.3888888888888889,True
H0500__CM040__IN050__FI30__VO10,500,0.4,0.5,0.3,10,20,18,0.9,18,0.9,7,11,0.3888888888888889,True
H0500__CM040__IN050__FI45__VO05,500,0.4,0.5,0.45,5,20,17,0.85,17,0.85,7,10,0.4117647058823529,True
H0500__CM040__IN050__FI45__VO10,500,0.4,0.5,0.45,10,20,17,0.85,17,0.85,7,10,0.4117647058823529,True
H0500__CM040__IN060__FI00__VO05,500,0.4,0.6,0.0,5,20,17,0.85,17,0.85,6,11,0.35294117647058826,True
H0500__CM040__IN060__FI00__VO10,500,0.4,0.6,0.0,10,20,17,0.85,17,0.85,6,11,0.35294117647058826,True
H0500__CM040__IN060__FI15__VO05,500,0.4,0.6,0.15,5,20,16,0.8,16,0.8,5,11,0.3125,True
H0500__CM040__IN060__FI15__VO10,500,0.4,0.6,0.15,10,20,16,0.8,16,0.8,5,11,0.3125,True
H0500__CM040__IN060__FI30__VO05,500,0.4,0.6,0.3,5,20,16,0.8,16,0.8,5,11,0.3125,True
H0500__CM040__IN060__FI30__VO10,500,0.4,0.6,0.3,10,20,16,0.8,16,0.8,5,11,0.3125,True
H0500__CM040__IN060__FI45__VO05,500,0.4,0.6,0.45,5,20,14,0.7,14,0.7,5,9,0.35714285714285715,True
H0500__CM040__IN060__FI45__VO10,500,0.4,0.6,0.45,10,20,14,0.7,14,0.7,5,9,0.35714285714285715,True
H0500__CM060__IN020__FI00__VO05,500,0.6,0.2,0.0,5,20,20,1.0,20,1.0,13,7,0.35,True
H0500__CM060__IN020__FI00__VO10,500,0.6,0.2,0.0,10,20,20,1.0,20,1.0,13,7,0.35,True
H0500__CM060__IN020__FI15__VO05,500,0.6,0.2,0.15,5,20,20,1.0,20,1.0,12,8,0.4,True
H0500__CM060__IN020__FI15__VO10,500,0.6,0.2,0.15,10,20,20,1.0,20,1.0,12,8,0.4,True
H0500__CM060__IN020__FI30__VO05,500,0.6,0.2,0.3,5,20,20,1.0,20,1.0,12,8,0.4,True
H0500__CM060__IN020__FI30__VO10,500,0.6,0.2,0.3,10,20,20,1.0,20,1.0,12,8,0.4,True
H0500__CM060__IN020__FI45__VO05,500,0.6,0.2,0.45,5,20,19,0.95,19,0.95,12,7,0.3684210526315789,True
H0500__CM060__IN020__FI45__VO10,500,0.6,0.2,0.45,10,20,19,0.95,19,0.95,12,7,0.3684210526315789,True
H0500__CM060__IN030__FI00__VO05,500,0.6,0.3,0.0,5,20,19,0.95,19,0.95,10,9,0.47368421052631576,True
H0500__CM060__IN030__FI00__VO10,500,0.6,0.3,0.0,10,20,19,0.95,19,0.95,10,9,0.47368421052631576,True
H0500__CM060__IN030__FI15__VO05,500,0.6,0.3,0.15,5,20,19,0.95,19,0.95,9,10,0.47368421052631576,True
H0500__CM060__IN030__FI15__VO10,500,0.6,0.3,0.15,10,20,19,0.95,19,0.95,9,10,0.47368421052631576,True
H0500__CM060__IN030__FI30__VO05,500,0.6,0.3,0.3,5,20,19,0.95,19,0.95,9,10,0.47368421052631576,True
H0500__CM060__IN030__FI30__VO10,500,0.6,0.3,0.3,10,20,19,0.95,19,0.95,9,10,0.47368421052631576,True
H0500__CM060__IN030__FI45__VO05,500,0.6,0.3,0.45,5,20,17,0.85,17,0.85,9,8,0.47058823529411764,True
H0500__CM060__IN030__FI45__VO10,500,0.6,0.3,0.45,10,20,17,0.85,17,0.85,9,8,0.47058823529411764,True
H0500__CM060__IN040__FI00__VO05,500,0.6,0.4,0.0,5,20,18,0.9,18,0.9,7,11,0.3888888888888889,True
H0500__CM060__IN040__FI00__VO10,500,0.6,0.4,0.0,10,20,18,0.9,18,0.9,7,11,0.3888888888888889,True
H0500__CM060__IN040__FI15__VO05,500,0.6,0.4,0.15,5,20,18,0.9,18,0.9,6,12,0.3333333333333333,True
H0500__CM060__IN040__FI15__VO10,500,0.6,0.4,0.15,10,20,18,0.9,18,0.9,6,12,0.3333333333333333,True
H0500__CM060__IN040__FI30__VO05,500,0.6,0.4,0.3,5,20,18,0.9,18,0.9,6,12,0.3333333333333333,True
H0500__CM060__IN040__FI30__VO10,500,0.6,0.4,0.3,10,20,18,0.9,18,0.9,6,12,0.3333333333333333,True
H0500__CM060__IN040__FI45__VO05,500,0.6,0.4,0.45,5,20,16,0.8,16,0.8,6,10,0.375,True
H0500__CM060__IN040__FI45__VO10,500,0.6,0.4,0.45,10,20,16,0.8,16,0.8,6,10,0.375,True
H0500__CM060__IN050__FI00__VO05,500,0.6,0.5,0.0,5,20,18,0.9,18,0.9,6,12,0.3333333333333333,True
H0500__CM060__IN050__FI00__VO10,500,0.6,0.5,0.0,10,20,18,0.9,18,0.9,6,12,0.3333333333333333,True
H0500__CM060__IN050__FI15__VO05,500,0.6,0.5,0.15,5,20,17,0.85,17,0.85,5,12,0.29411764705882354,True
H0500__CM060__IN050__FI15__VO10,500,0.6,0.5,0.15,10,20,17,0.85,17,0.85,5,12,0.29411764705882354,True
H0500__CM060__IN050__FI30__VO05,500,0.6,0.5,0.3,5,20,17,0.85,17,0.85,5,12,0.29411764705882354,True
H0500__CM060__IN050__FI30__VO10,500,0.6,0.5,0.3,10,20,17,0.85,17,0.85,5,12,0.29411764705882354,True
H0500__CM060__IN050__FI45__VO05,500,0.6,0.5,0.45,5,20,15,0.75,15,0.75,5,10,0.3333333333333333,True
H0500__CM060__IN050__FI45__VO10,500,0.6,0.5,0.45,10,20,15,0.75,15,0.75,5,10,0.3333333333333333,True
H0500__CM060__IN060__FI00__VO05,500,0.6,0.6,0.0,5,20,17,0.85,17,0.85,6,11,0.35294117647058826,True
H0500__CM060__IN060__FI00__VO10,500,0.6,0.6,0.0,10,20,17,0.85,17,0.85,6,11,0.35294117647058826,True
H0500__CM060__IN060__FI15__VO05,500,0.6,0.6,0.15,5,20,16,0.8,16,0.8,5,11,0.3125,True
H0500__CM060__IN060__FI15__VO10,500,0.6,0.6,0.15,10,20,16,0.8,16,0.8,5,11,0.3125,True
H0500__CM060__IN060__FI30__VO05,500,0.6,0.6,0.3,5,20,16,0.8,16,0.8,6,10,0.375,True
H0500__CM060__IN060__FI30__VO10,500,0.6,0.6,0.3,10,20,16,0.8,16,0.8,6,10,0.375,True
H0500__CM060__IN060__FI45__VO05,500,0.6,0.6,0.45,5,20,14,0.7,14,0.7,6,8,0.42857142857142855,True
H0500__CM060__IN060__FI45__VO10,500,0.6,0.6,0.45,10,20,14,0.7,14,0.7,6,8,0.42857142857142855,True
H0500__CM080__IN020__FI00__VO05,500,0.8,0.2,0.0,5,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H0500__CM080__IN020__FI00__VO10,500,0.8,0.2,0.0,10,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H0500__CM080__IN020__FI15__VO05,500,0.8,0.2,0.15,5,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H0500__CM080__IN020__FI15__VO10,500,0.8,0.2,0.15,10,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H0500__CM080__IN020__FI30__VO05,500,0.8,0.2,0.3,5,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H0500__CM080__IN020__FI30__VO10,500,0.8,0.2,0.3,10,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H0500__CM080__IN020__FI45__VO05,500,0.8,0.2,0.45,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM080__IN020__FI45__VO10,500,0.8,0.2,0.45,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM080__IN030__FI00__VO05,500,0.8,0.3,0.0,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN030__FI00__VO10,500,0.8,0.3,0.0,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN030__FI15__VO05,500,0.8,0.3,0.15,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN030__FI15__VO10,500,0.8,0.3,0.15,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN030__FI30__VO05,500,0.8,0.3,0.3,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN030__FI30__VO10,500,0.8,0.3,0.3,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN030__FI45__VO05,500,0.8,0.3,0.45,5,20,12,0.6,12,0.6,7,5,0.4166666666666667,False
H0500__CM080__IN030__FI45__VO10,500,0.8,0.3,0.45,10,20,12,0.6,12,0.6,7,5,0.4166666666666667,False
H0500__CM080__IN040__FI00__VO05,500,0.8,0.4,0.0,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN040__FI00__VO10,500,0.8,0.4,0.0,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN040__FI15__VO05,500,0.8,0.4,0.15,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN040__FI15__VO10,500,0.8,0.4,0.15,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN040__FI30__VO05,500,0.8,0.4,0.3,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN040__FI30__VO10,500,0.8,0.4,0.3,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN040__FI45__VO05,500,0.8,0.4,0.45,5,20,12,0.6,12,0.6,7,5,0.4166666666666667,False
H0500__CM080__IN040__FI45__VO10,500,0.8,0.4,0.45,10,20,12,0.6,12,0.6,7,5,0.4166666666666667,False
H0500__CM080__IN050__FI00__VO05,500,0.8,0.5,0.0,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN050__FI00__VO10,500,0.8,0.5,0.0,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN050__FI15__VO05,500,0.8,0.5,0.15,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN050__FI15__VO10,500,0.8,0.5,0.15,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN050__FI30__VO05,500,0.8,0.5,0.3,5,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN050__FI30__VO10,500,0.8,0.5,0.3,10,20,14,0.7,14,0.7,7,7,0.5,True
H0500__CM080__IN050__FI45__VO05,500,0.8,0.5,0.45,5,20,12,0.6,12,0.6,7,5,0.4166666666666667,False
H0500__CM080__IN050__FI45__VO10,500,0.8,0.5,0.45,10,20,12,0.6,12,0.6,7,5,0.4166666666666667,False
H0500__CM080__IN060__FI00__VO05,500,0.8,0.6,0.0,5,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM080__IN060__FI00__VO10,500,0.8,0.6,0.0,10,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM080__IN060__FI15__VO05,500,0.8,0.6,0.15,5,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM080__IN060__FI15__VO10,500,0.8,0.6,0.15,10,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM080__IN060__FI30__VO05,500,0.8,0.6,0.3,5,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM080__IN060__FI30__VO10,500,0.8,0.6,0.3,10,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM080__IN060__FI45__VO05,500,0.8,0.6,0.45,5,20,10,0.5,10,0.5,5,5,0.5,False
H0500__CM080__IN060__FI45__VO10,500,0.8,0.6,0.45,10,20,10,0.5,10,0.5,5,5,0.5,False
H0500__CM100__IN020__FI00__VO05,500,1.0,0.2,0.0,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN020__FI00__VO10,500,1.0,0.2,0.0,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN020__FI15__VO05,500,1.0,0.2,0.15,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN020__FI15__VO10,500,1.0,0.2,0.15,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN020__FI30__VO05,500,1.0,0.2,0.3,5,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN020__FI30__VO10,500,1.0,0.2,0.3,10,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN020__FI45__VO05,500,1.0,0.2,0.45,5,20,10,0.5,10,0.5,5,5,0.5,False
H0500__CM100__IN020__FI45__VO10,500,1.0,0.2,0.45,10,20,10,0.5,10,0.5,5,5,0.5,False
H0500__CM100__IN030__FI00__VO05,500,1.0,0.3,0.0,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0500__CM100__IN030__FI00__VO10,500,1.0,0.3,0.0,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0500__CM100__IN030__FI15__VO05,500,1.0,0.3,0.15,5,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0500__CM100__IN030__FI15__VO10,500,1.0,0.3,0.15,10,20,13,0.65,13,0.65,6,7,0.46153846153846156,True
H0500__CM100__IN030__FI30__VO05,500,1.0,0.3,0.3,5,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM100__IN030__FI30__VO10,500,1.0,0.3,0.3,10,20,12,0.6,12,0.6,5,7,0.4166666666666667,False
H0500__CM100__IN030__FI45__VO05,500,1.0,0.3,0.45,5,20,10,0.5,10,0.5,5,5,0.5,False
H0500__CM100__IN030__FI45__VO10,500,1.0,0.3,0.45,10,20,10,0.5,10,0.5,5,5,0.5,False
H0500__CM100__IN040__FI00__VO05,500,1.0,0.4,0.0,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN040__FI00__VO10,500,1.0,0.4,0.0,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN040__FI15__VO05,500,1.0,0.4,0.15,5,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN040__FI15__VO10,500,1.0,0.4,0.15,10,20,13,0.65,13,0.65,7,6,0.46153846153846156,True
H0500__CM100__IN040__FI30__VO05,500,1.0,0.4,0.3,5,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN040__FI30__VO10,500,1.0,0.4,0.3,10,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN040__FI45__VO05,500,1.0,0.4,0.45,5,20,10,0.5,10,0.5,6,4,0.4,False
H0500__CM100__IN040__FI45__VO10,500,1.0,0.4,0.45,10,20,10,0.5,10,0.5,6,4,0.4,False
H0500__CM100__IN050__FI00__VO05,500,1.0,0.5,0.0,5,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN050__FI00__VO10,500,1.0,0.5,0.0,10,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN050__FI15__VO05,500,1.0,0.5,0.15,5,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN050__FI15__VO10,500,1.0,0.5,0.15,10,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN050__FI30__VO05,500,1.0,0.5,0.3,5,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN050__FI30__VO10,500,1.0,0.5,0.3,10,20,12,0.6,12,0.6,6,6,0.5,False
H0500__CM100__IN050__FI45__VO05,500,1.0,0.5,0.45,5,20,10,0.5,10,0.5,6,4,0.4,False
H0500__CM100__IN050__FI45__VO10,500,1.0,0.5,0.45,10,20,10,0.5,10,0.5,6,4,0.4,False
H0500__CM100__IN060__FI00__VO05,500,1.0,0.6,0.0,5,20,11,0.55,11,0.55,4,7,0.36363636363636365,False
H0500__CM100__IN060__FI00__VO10,500,1.0,0.6,0.0,10,20,11,0.55,11,0.55,4,7,0.36363636363636365,False
H0500__CM100__IN060__FI15__VO05,500,1.0,0.6,0.15,5,20,11,0.55,11,0.55,4,7,0.36363636363636365,False
H0500__CM100__IN060__FI15__VO10,500,1.0,0.6,0.15,10,20,11,0.55,11,0.55,4,7,0.36363636363636365,False
H0500__CM100__IN060__FI30__VO05,500,1.0,0.6,0.3,5,20,11,0.55,11,0.55,4,7,0.36363636363636365,False
H0500__CM100__IN060__FI30__VO10,500,1.0,0.6,0.3,10,20,11,0.55,11,0.55,4,7,0.36363636363636365,False
H0500__CM100__IN060__FI45__VO05,500,1.0,0.6,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM100__IN060__FI45__VO10,500,1.0,0.6,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN020__FI00__VO05,500,1.2,0.2,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN020__FI00__VO10,500,1.2,0.2,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN020__FI15__VO05,500,1.2,0.2,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN020__FI15__VO10,500,1.2,0.2,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN020__FI30__VO05,500,1.2,0.2,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN020__FI30__VO10,500,1.2,0.2,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN020__FI45__VO05,500,1.2,0.2,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN020__FI45__VO10,500,1.2,0.2,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN030__FI00__VO05,500,1.2,0.3,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN030__FI00__VO10,500,1.2,0.3,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN030__FI15__VO05,500,1.2,0.3,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN030__FI15__VO10,500,1.2,0.3,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN030__FI30__VO05,500,1.2,0.3,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN030__FI30__VO10,500,1.2,0.3,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN030__FI45__VO05,500,1.2,0.3,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN030__FI45__VO10,500,1.2,0.3,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN040__FI00__VO05,500,1.2,0.4,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN040__FI00__VO10,500,1.2,0.4,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN040__FI15__VO05,500,1.2,0.4,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN040__FI15__VO10,500,1.2,0.4,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN040__FI30__VO05,500,1.2,0.4,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN040__FI30__VO10,500,1.2,0.4,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN040__FI45__VO05,500,1.2,0.4,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN040__FI45__VO10,500,1.2,0.4,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN050__FI00__VO05,500,1.2,0.5,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN050__FI00__VO10,500,1.2,0.5,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN050__FI15__VO05,500,1.2,0.5,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN050__FI15__VO10,500,1.2,0.5,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN050__FI30__VO05,500,1.2,0.5,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN050__FI30__VO10,500,1.2,0.5,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN050__FI45__VO05,500,1.2,0.5,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN050__FI45__VO10,500,1.2,0.5,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN060__FI00__VO05,500,1.2,0.6,0.0,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN060__FI00__VO10,500,1.2,0.6,0.0,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN060__FI15__VO05,500,1.2,0.6,0.15,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN060__FI15__VO10,500,1.2,0.6,0.15,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN060__FI30__VO05,500,1.2,0.6,0.3,5,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN060__FI30__VO10,500,1.2,0.6,0.3,10,20,10,0.5,10,0.5,4,6,0.4,False
H0500__CM120__IN060__FI45__VO05,500,1.2,0.6,0.45,5,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H0500__CM120__IN060__FI45__VO10,500,1.2,0.6,0.45,10,20,9,0.45,9,0.45,4,5,0.4444444444444444,False
H1000__CM040__IN020__FI00__VO05,1000,0.4,0.2,0.0,5,20,20,1.0,20,1.0,8,12,0.4,True
H1000__CM040__IN020__FI00__VO10,1000,0.4,0.2,0.0,10,20,20,1.0,20,1.0,8,12,0.4,True
H1000__CM040__IN020__FI15__VO05,1000,0.4,0.2,0.15,5,20,20,1.0,20,1.0,8,12,0.4,True
H1000__CM040__IN020__FI15__VO10,1000,0.4,0.2,0.15,10,20,20,1.0,20,1.0,8,12,0.4,True
H1000__CM040__IN020__FI30__VO05,1000,0.4,0.2,0.3,5,20,20,1.0,20,1.0,9,11,0.45,True
H1000__CM040__IN020__FI30__VO10,1000,0.4,0.2,0.3,10,20,20,1.0,20,1.0,9,11,0.45,True
H1000__CM040__IN020__FI45__VO05,1000,0.4,0.2,0.45,5,20,20,1.0,20,1.0,8,12,0.4,True
H1000__CM040__IN020__FI45__VO10,1000,0.4,0.2,0.45,10,20,20,1.0,20,1.0,8,12,0.4,True
H1000__CM040__IN030__FI00__VO05,1000,0.4,0.3,0.0,5,20,20,1.0,20,1.0,10,10,0.5,True
H1000__CM040__IN030__FI00__VO10,1000,0.4,0.3,0.0,10,20,20,1.0,20,1.0,9,11,0.45,True
H1000__CM040__IN030__FI15__VO05,1000,0.4,0.3,0.15,5,20,20,1.0,20,1.0,10,10,0.5,True
H1000__CM040__IN030__FI15__VO10,1000,0.4,0.3,0.15,10,20,20,1.0,20,1.0,10,10,0.5,True
H1000__CM040__IN030__FI30__VO05,1000,0.4,0.3,0.3,5,20,20,1.0,20,1.0,11,9,0.45,True
H1000__CM040__IN030__FI30__VO10,1000,0.4,0.3,0.3,10,20,20,1.0,20,1.0,11,9,0.45,True
H1000__CM040__IN030__FI45__VO05,1000,0.4,0.3,0.45,5,20,20,1.0,20,1.0,11,9,0.45,True
H1000__CM040__IN030__FI45__VO10,1000,0.4,0.3,0.45,10,20,20,1.0,20,1.0,11,9,0.45,True
H1000__CM040__IN040__FI00__VO05,1000,0.4,0.4,0.0,5,20,18,0.9,18,0.9,11,7,0.3888888888888889,True
H1000__CM040__IN040__FI00__VO10,1000,0.4,0.4,0.0,10,20,18,0.9,18,0.9,10,8,0.4444444444444444,True
H1000__CM040__IN040__FI15__VO05,1000,0.4,0.4,0.15,5,20,18,0.9,18,0.9,11,7,0.3888888888888889,True
H1000__CM040__IN040__FI15__VO10,1000,0.4,0.4,0.15,10,20,17,0.85,17,0.85,10,7,0.4117647058823529,True
H1000__CM040__IN040__FI30__VO05,1000,0.4,0.4,0.3,5,20,18,0.9,18,0.9,11,7,0.3888888888888889,True
H1000__CM040__IN040__FI30__VO10,1000,0.4,0.4,0.3,10,20,17,0.85,17,0.85,10,7,0.4117647058823529,True
H1000__CM040__IN040__FI45__VO05,1000,0.4,0.4,0.45,5,20,18,0.9,18,0.9,11,7,0.3888888888888889,True
H1000__CM040__IN040__FI45__VO10,1000,0.4,0.4,0.45,10,20,17,0.85,17,0.85,10,7,0.4117647058823529,True
H1000__CM040__IN050__FI00__VO05,1000,0.4,0.5,0.0,5,20,17,0.85,17,0.85,7,10,0.4117647058823529,True
H1000__CM040__IN050__FI00__VO10,1000,0.4,0.5,0.0,10,20,17,0.85,17,0.85,6,11,0.35294117647058826,True
H1000__CM040__IN050__FI15__VO05,1000,0.4,0.5,0.15,5,20,17,0.85,17,0.85,7,10,0.4117647058823529,True
H1000__CM040__IN050__FI15__VO10,1000,0.4,0.5,0.15,10,20,16,0.8,16,0.8,6,10,0.375,True
H1000__CM040__IN050__FI30__VO05,1000,0.4,0.5,0.3,5,20,17,0.85,17,0.85,7,10,0.4117647058823529,True
H1000__CM040__IN050__FI30__VO10,1000,0.4,0.5,0.3,10,20,16,0.8,16,0.8,6,10,0.375,True
H1000__CM040__IN050__FI45__VO05,1000,0.4,0.5,0.45,5,20,16,0.8,16,0.8,8,8,0.5,True
H1000__CM040__IN050__FI45__VO10,1000,0.4,0.5,0.45,10,20,15,0.75,15,0.75,7,8,0.4666666666666667,True
H1000__CM040__IN060__FI00__VO05,1000,0.4,0.6,0.0,5,20,17,0.85,17,0.85,9,8,0.47058823529411764,True
