bar_start_utc,bar_end_utc,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,source_terminal
2026-06-01 00:00:00,2026-06-02 00:00:00,1.16483,1.16646,1.16066,1.16352,75832,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 00:00:00,2026-06-03 00:00:00,1.16351,1.16554,1.16133,1.1621,59537,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 00:00:00,2026-06-04 00:00:00,1.16209,1.16333,1.15943,1.16089,73107,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-04 00:00:00,2026-06-05 00:00:00,1.1609,1.16449,1.15983,1.1612,65411,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-05 00:00:00,2026-06-06 00:00:00,1.16122,1.16442,1.15177,1.15202,87749,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-07 00:00:00,2026-06-08 00:00:00,1.15081,1.15226,1.15057,1.15218,5054,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-08 00:00:00,2026-06-09 00:00:00,1.15217,1.15545,1.14994,1.15279,94247,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-09 00:00:00,2026-06-10 00:00:00,1.15278,1.15778,1.15269,1.15348,89618,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-10 00:00:00,2026-06-11 00:00:00,1.15349,1.15729,1.15254,1.15351,101404,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-11 00:00:00,2026-06-12 00:00:00,1.15352,1.15895,1.15027,1.15753,110160,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-12 00:00:00,2026-06-13 00:00:00,1.15752,1.15893,1.15568,1.1566,95659,7,0,EURUSD,D1,C:\Program Files\MetaTrader 5\terminal64.exe
