instrument,repository_first_bar_utc,repository_final_bar_utc,terminal_first_tick_utc,overlap_first_tick_utc,overlap_final_tick_utc,complete_trading_days,comparable_m5_bars,tick_count,tick_identity_sha256,status
XAUUSD,2016-01-03T22:05:00+00:00,2025-06-30T23:55:00+00:00,2026-02-23T00:00:00.986000+00:00,,,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,INSUFFICIENT_TICK_OVERLAP
EURUSD,2016-01-03T21:00:00+00:00,2025-06-30T23:55:00+00:00,2025-03-11T12:54:25.900000+00:00,2025-03-11T12:54:25.900000+00:00,2025-06-30T23:59:55.563000+00:00,42,8918,3056796,01af47c8ea1b44964471d2438dcc8749b85a989252f354fe502ed351ea7b0b92,PASS
USDJPY,2016-01-03T21:00:00+00:00,2025-06-30T23:55:00+00:00,2025-03-11T12:54:26.774000+00:00,2025-03-11T12:54:26.774000+00:00,2025-06-30T23:59:54.050000+00:00,42,8916,3466206,362f170aaa889e8f05a16c5b7953a63933ba129a812bfb080d0e716f7806f406,PASS
