instrument,timeframe,source_kind,comparable_bars,exact_ohlc_bars,exact_rate,required_open_close_rate,required_high_low_rate,passed
XAUUSD,M15,NATIVE_COPYRATES,220416,220416,1.0,0.9999,0.995,True
XAUUSD,H1,NATIVE_COPYRATES,52617,52617,1.0,0.9999,0.995,True
EURUSD,M15,NATIVE_COPYRATES,235602,235602,1.0,0.9999,0.995,True
EURUSD,H1,NATIVE_COPYRATES,58591,58591,1.0,0.9999,0.995,True
USDJPY,M15,NATIVE_COPYRATES,235620,235620,1.0,0.9999,0.995,True
USDJPY,H1,NATIVE_COPYRATES,58599,58599,1.0,0.9999,0.995,True
