instrument,statistic,count,exact_count,exact_rate,within_one_count,within_one_rate,mean_abs_error_points,median_abs_error_points,p95_abs_error_points,maximum_abs_error_points
XAUUSD,BAR_OPEN_SPREAD,0,0,0,0,0,,,,
XAUUSD,BAR_CLOSE_SPREAD,0,0,0,0,0,,,,
XAUUSD,BAR_MINIMUM_SPREAD,0,0,0,0,0,,,,
XAUUSD,BAR_MAXIMUM_SPREAD,0,0,0,0,0,,,,
XAUUSD,BAR_MEAN_SPREAD,0,0,0,0,0,,,,
XAUUSD,BAR_MEDIAN_SPREAD,0,0,0,0,0,,,,
EURUSD,BAR_OPEN_SPREAD,8918,0,0.0,20,0.002242655303879794,4.32260596546309,2.0000000000051026,18.00000000001669,112.00000000000898
EURUSD,BAR_CLOSE_SPREAD,8918,0,0.0,32,0.00358824848620767,4.175151379232818,2.0000000000051026,16.00000000001559,98.00000000001008
EURUSD,BAR_MINIMUM_SPREAD,8918,2,0.00022426553038797938,27,0.0030275846602377215,3.780331912989523,2.0000000000051026,8.999999999996692,52.000000000004405
EURUSD,BAR_MAXIMUM_SPREAD,8918,0,0.0,168,0.018838304552590265,5.002466920822329,1.9999999999828981,28.000000000018897,122.00000000000787
EURUSD,BAR_MEAN_SPREAD,8918,0,0.0,66,0.007400762502803319,4.090303436549827,2.000000000000677,15.206896551724832,53.551401869159164
EURUSD,BAR_MEDIAN_SPREAD,8918,0,0.0,28,0.0031397174254317113,4.112525229876572,2.0000000000051026,15.00000000001669,68.99999999998788
USDJPY,BAR_OPEN_SPREAD,8916,0,0.0,43,0.004822790489008524,5.70648272768058,3.000000000009095,22.99999999999659,119.99999999999659
USDJPY,BAR_CLOSE_SPREAD,8916,0,0.0,41,0.004598474652310453,5.568752803948111,3.000000000009095,22.00000000001137,119.99999999999659
USDJPY,BAR_MINIMUM_SPREAD,8916,0,0.0,42,0.004710632570659489,5.31729475101726,3.000000000009095,14.000000000001137,166.99999999999886
USDJPY,BAR_MAXIMUM_SPREAD,8916,0,0.0,92,0.01031852848811126,6.238784208148728,2.9999999999806732,26.000000000001137,119.99999999999659
USDJPY,BAR_MEAN_SPREAD,8916,0,0.0,62,0.006953790937640198,5.42730951043969,3.000000000001277,18.136363636361672,119.99999999999918
USDJPY,BAR_MEDIAN_SPREAD,8916,0,0.0,41,0.004598474652310453,5.449304620914276,3.000000000009095,18.00000000000341,119.99999999999659
