instrument,bar_start_utc,statistic,stored_spread_points,candidate_spread_points,absolute_error_points
EURUSD,2025-03-11T12:55:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:00:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:05:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:10:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:15:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:20:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:25:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:30:00+00:00,BAR_OPEN_SPREAD,0.0,30.000000000018897,30.000000000018897
EURUSD,2025-03-11T13:35:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:40:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:45:00+00:00,BAR_OPEN_SPREAD,0.0,30.000000000018897,30.000000000018897
EURUSD,2025-03-11T13:50:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T13:55:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:00:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:05:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:10:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:15:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:20:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:25:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:30:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:35:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:40:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:45:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:50:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T14:55:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:00:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:05:00+00:00,BAR_OPEN_SPREAD,0.0,30.000000000018897,30.000000000018897
EURUSD,2025-03-11T15:10:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:15:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:20:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:25:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:30:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:35:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:40:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:45:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:50:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T15:55:00+00:00,BAR_OPEN_SPREAD,0.0,29.999999999996692,29.999999999996692
EURUSD,2025-03-11T16:00:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:05:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:10:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:15:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:20:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:25:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:30:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
EURUSD,2025-03-11T16:35:00+00:00,BAR_OPEN_SPREAD,2.0,29.999999999996692,27.999999999996692
