instrument,segment,basis,field,status,count,exact_count,exact_rate,mean_abs_difference,median_abs_difference,p95_abs_difference,maximum_abs_difference,median_difference_points
XAUUSD,ALL,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,BID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,BID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,BID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,BID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,ASK,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,ASK,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,ASK,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,LOCKED_EXAM_OVERLAP,ASK,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,ALL,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,MID,low,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,DEVELOPMENT_OVERLAP,MID,close,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,MID,open,NO_COMPARABLE_BARS,0,0,0,,,,,
XAUUSD,VALIDATION_OVERLAP,MID,high,NO_COMPARABLE_BARS,0,0,0,,,,,
