instrument,classification,provenance_status,tick_overlap_status,selected_quote_basis,selected_spread_statistic,m15_consistency,h1_consistency
XAUUSD,PROVENANCE_CHAIN_INCOMPLETE,PROVENANCE_CHAIN_INCOMPLETE,INSUFFICIENT_TICK_OVERLAP,UNKNOWN,UNKNOWN,True,True
EURUSD,PROVENANCE_CHAIN_INCOMPLETE,PROVENANCE_CHAIN_INCOMPLETE,PASS,UNKNOWN,UNKNOWN,True,True
USDJPY,PROVENANCE_CHAIN_INCOMPLETE,PROVENANCE_CHAIN_INCOMPLETE,PASS,UNKNOWN,UNKNOWN,True,True
