instrument,record_type,bar_start_utc,exclusion_reason,candidate_alignment,comparable_bars,exact_bid_ohlc_bars,exact_rate,selected,passed
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-720_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-715_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-710_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-705_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-700_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-695_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-690_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-685_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-680_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-675_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-670_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-665_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-660_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-655_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-650_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-645_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-640_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-635_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-630_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-625_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-620_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-615_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-610_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-605_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-600_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-595_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-590_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-585_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-580_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-575_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-570_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-565_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-560_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-555_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-550_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-545_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-540_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-535_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-530_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-525_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-520_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-515_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-510_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
XAUUSD,ALIGNMENT_CANDIDATE,,,TICK_UTC_PLUS_-505_MINUTES_TO_REPOSITORY_LABEL,0,0,0,False,False
