attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
121023,1e68f37b6ed172cb,FLOW_ALIGNED_BREAKOUT,274,110,164,"{""breakout_buffer_atr"":0.1,""channel_bars"":24,""flow_horizon"":3,""hold_hours"":8,""minimum_flow_bps"":5.0,""session"":""BOTH"",""stop_atr"":0.8,""target_r"":1.25}"
121024,4e94ea3074c7d9bd,FLOW_ALIGNED_BREAKOUT,274,109,165,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""flow_horizon"":5,""hold_hours"":8,""minimum_flow_bps"":35.0,""session"":""NY"",""stop_atr"":0.8,""target_r"":1.0}"
121025,f898a12a469e4353,FLOW_ALIGNED_BREAKOUT,581,223,358,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""flow_horizon"":5,""hold_hours"":6,""minimum_flow_bps"":5.0,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":1.5}"
121026,aa1e3ce9be5fb7e9,FLOW_ALIGNED_BREAKOUT,394,137,257,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""flow_horizon"":1,""hold_hours"":6,""minimum_flow_bps"":0.0,""session"":""BOTH"",""stop_atr"":0.8,""target_r"":1.5}"
121027,45f14ff926d36d7b,FLOW_ALIGNED_BREAKOUT,370,173,197,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""flow_horizon"":3,""hold_hours"":2,""minimum_flow_bps"":20.0,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":2.0}"
121028,59a11f26df7b78ec,FLOW_ALIGNED_BREAKOUT,281,99,182,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""flow_horizon"":1,""hold_hours"":6,""minimum_flow_bps"":0.0,""session"":""NY"",""stop_atr"":0.6,""target_r"":1.0}"
121029,6ffd36941310e634,FLOW_ALIGNED_BREAKOUT,390,153,237,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""flow_horizon"":5,""hold_hours"":6,""minimum_flow_bps"":20.0,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":1.0}"
121030,36260e408b36fd3b,FLOW_ALIGNED_BREAKOUT,837,319,518,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""flow_horizon"":3,""hold_hours"":8,""minimum_flow_bps"":0.0,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":1.25}"
121031,fa26bbbed60bc0b8,FLOW_ALIGNED_BREAKOUT,244,94,150,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""flow_horizon"":3,""hold_hours"":4,""minimum_flow_bps"":0.0,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.25}"
121032,b586956c6a83fa85,FLOW_ALIGNED_BREAKOUT,374,150,224,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""flow_horizon"":5,""hold_hours"":4,""minimum_flow_bps"":10.0,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.0}"
