month,trades,wins,win_rate,realized_payoff_ratio,profit_factor,profit_factor_is_infinite,net_pnl_usd_executable,net_pnl_usd_research_equivalent
2024-07,6,4,0.6666666666666666,1.4876543209876543,2.9753086419753085,False,6.4,3.2
2024-08,4,2,0.5,2.567335243553009,2.567335243553009,False,5.47,2.735
2024-09,2,2,1.0,0.0,,True,7.08,3.54
2024-10,2,1,0.5,1.0970873786407767,1.0970873786407767,False,0.19999999999999973,0.09999999999999987
2024-11,3,2,0.6666666666666666,1.6946902654867257,3.3893805309734515,False,5.4,2.7
2024-12,9,3,0.3333333333333333,1.3204819277108433,0.6602409638554216,False,-5.640000000000001,-2.8200000000000003
2025-01,5,3,0.6,1.3418259023354564,2.0127388535031843,False,6.359999999999999,3.1799999999999997
2025-02,1,1,1.0,0.0,,True,1.84,0.92
2025-03,5,3,0.6,1.7038109020742884,2.555716353111433,False,10.749999999999998,5.374999999999999
2025-04,4,0,0.0,0.0,0.0,False,-12.540000000000001,-6.2700000000000005
2025-05,2,1,0.5,1.7276422764227644,1.7276422764227644,False,3.58,1.79
2025-06,2,0,0.0,0.0,0.0,False,-6.18,-3.09
2025-07,4,4,1.0,0.0,,True,21.09,10.545
2025-08,5,1,0.2,1.8555798687089715,0.4638949671772429,False,-4.9,-2.45
2025-09,11,3,0.2727272727272727,1.612509534706331,0.6046910755148741,False,-6.91,-3.455
2025-10,8,5,0.625,1.3174468085106383,2.195744680851064,False,11.24,5.62
2025-11,1,0,0.0,0.0,0.0,False,-3.02,-1.51
2025-12,5,1,0.2,1.2725430597771026,0.31813576494427565,False,-6.7299999999999995,-3.3649999999999998
2026-01,3,1,0.3333333333333333,1.0519031141868513,0.5259515570934257,False,-2.7399999999999998,-1.3699999999999999
2026-02,4,2,0.5,1.292225201072386,1.292225201072386,False,2.18,1.09
2026-03,7,3,0.42857142857142855,1.69187675070028,1.26890756302521,False,4.48,2.24
2026-04,3,2,0.6666666666666666,0.9446721311475411,1.8893442622950822,False,2.1700000000000004,1.0850000000000002
2026-05,6,4,0.6666666666666666,1.4226327944572748,2.8452655889145495,False,7.99,3.995
2026-06,4,4,1.0,0.0,,True,14.03,7.015
