entry_time,entry_date,entry_hour,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_deal,exit_price,profit,balance,exit_comment
2024.07.18 10:00:00,2024-07-18,10,SHORT,2,0.01,1.09308,EUM15REG_TRANSFER_COMPRESSION,2024.07.18 13:30:04,2024-07-18,13,3,1.09131,1.77,10001.77,tp 1.09132
2024.07.23 06:15:00,2024-07-23,6,SHORT,4,0.02,1.08850,EUM15REG_TRANSFER_CHOP,2024.07.23 08:03:41,2024-07-23,8,5,1.08739,2.22,10003.99,tp 1.08740
2024.07.26 07:15:00,2024-07-26,7,SHORT,6,0.02,1.08490,EUM15REG_TRANSFER_CHOP,2024.07.26 11:47:36,2024-07-26,11,7,1.08594,-2.08,10001.91,sl 1.08594
2024.07.29 08:00:00,2024-07-29,8,SHORT,8,0.01,1.08446,EUM15REG_TRANSFER_COMPRESSION,2024.07.29 11:49:43,2024-07-29,11,10,1.08234,2.98,10004.89,tp 1.08234
2024.07.29 08:15:00,2024-07-29,8,SHORT,9,0.02,1.08383,EUM15REG_TRANSFER_CHOP,2024.07.29 11:57:00,2024-07-29,11,11,1.08179,2.67,10007.56,tp 1.08208
2024.07.31 08:15:00,2024-07-31,8,SHORT,12,0.01,1.08080,EUM15REG_TRANSFER_COMPRESSION,2024.07.31 08:47:26,2024-07-31,8,13,1.08196,-1.16,10006.4,sl 1.08196
2024.08.01 06:15:00,2024-08-01,6,SHORT,14,0.02,1.08226,EUM15REG_TRANSFER_CHOP,2024.08.01 07:58:35,2024-08-01,7,15,1.08007,4.38,10010.78,tp 1.08008
2024.08.13 07:45:00,2024-08-13,7,SHORT,16,0.01,1.09285,EUM15REG_TRANSFER_COMPRESSION,2024.08.13 12:30:25,2024-08-13,12,17,1.09384,-0.99,10009.79,sl 1.09382
2024.08.28 10:00:00,2024-08-28,10,SHORT,18,0.02,1.11355,EUM15REG_TRANSFER_CHOP,2024.08.28 12:19:37,2024-08-28,12,19,1.11126,4.58,10014.37,tp 1.11126
2024.08.29 08:15:00,2024-08-29,8,SHORT,20,0.02,1.10872,EUM15REG_TRANSFER_CHOP,2024.08.29 10:53:22,2024-08-29,10,21,1.10997,-2.5,10011.87,sl 1.10996
2024.09.23 07:15:00,2024-09-23,7,SHORT,22,0.02,1.11341,EUM15REG_TRANSFER_CHOP,2024.09.23 07:15:37,2024-09-23,7,23,1.11189,3.04,10014.91,tp 1.11191
2024.09.27 07:00:00,2024-09-27,7,SHORT,24,0.02,1.11474,EUM15REG_TRANSFER_CHOP,2024.09.27 07:24:38,2024-09-27,7,25,1.11272,4.04,10018.95,tp 1.11274
2024.10.23 07:15:00,2024-10-23,7,SHORT,26,0.01,1.07867,EUM15REG_TRANSFER_COMPRESSION,2024.10.23 11:59:16,2024-10-23,11,27,1.07641,2.26,10021.21,tp 1.07641
2024.10.25 06:30:00,2024-10-25,6,SHORT,28,0.02,1.08186,EUM15REG_TRANSFER_CHOP,2024.10.25 08:16:35,2024-10-25,8,29,1.08289,-2.06,10019.15,sl 1.08288
2024.11.01 08:15:00,2024-11-01,8,SHORT,30,0.02,1.08665,EUM15REG_TRANSFER_CHOP,2024.11.01 11:30:15,2024-11-01,11,31,1.08778,-2.26,10016.89,sl 1.08778
2024.11.20 06:45:00,2024-11-20,6,SHORT,32,0.02,1.05816,EUM15REG_TRANSFER_CHOP,2024.11.20 08:09:14,2024-11-20,8,33,1.05595,4.42,10021.31,tp 1.05596
2024.11.21 06:15:00,2024-11-21,6,SHORT,34,0.02,1.05355,EUM15REG_TRANSFER_CHOP,2024.11.21 08:22:25,2024-11-21,8,35,1.05193,3.24,10024.55,tp 1.05195
2024.12.02 06:45:00,2024-12-02,6,SHORT,36,0.02,1.05061,EUM15REG_TRANSFER_CHOP,2024.12.02 11:13:01,2024-12-02,11,37,1.05307,-4.92,10019.63,sl 1.05305
2024.12.10 08:15:00,2024-12-10,8,SHORT,38,0.02,1.05315,EUM15REG_TRANSFER_CHOP,2024.12.10 14:03:34,2024-12-10,14,39,1.05119,3.92,10023.55,tp 1.05120
2024.12.11 06:15:00,2024-12-11,6,SHORT,40,0.02,1.05155,EUM15REG_TRANSFER_CHOP,2024.12.11 06:37:13,2024-12-11,6,41,1.04985,3.4,10026.95,tp 1.04985
2024.12.16 07:00:00,2024-12-16,7,SHORT,42,0.02,1.05044,EUM15REG_TRANSFER_CHOP,2024.12.16 07:30:37,2024-12-16,7,43,1.05218,-3.48,10023.47,sl 1.05217
2024.12.17 07:30:00,2024-12-17,7,SHORT,44,0.02,1.04920,EUM15REG_TRANSFER_CHOP,2024.12.17 13:02:00,2024-12-17,13,45,1.05101,-3.62,10019.85,sl 1.05101
2024.12.18 07:15:00,2024-12-18,7,SHORT,46,0.02,1.04915,EUM15REG_TRANSFER_CHOP,2024.12.18 14:51:37,2024-12-18,14,47,1.04733,3.64,10023.49,tp 1.04733
2024.12.26 06:30:00,2024-12-26,6,SHORT,48,0.01,1.03927,EUM15REG_TRANSFER_COMPRESSION,2024.12.26 12:14:34,2024-12-26,12,49,1.04051,-1.24,10022.25,sl 1.04050
