trade_index,entry_time_utc,side,oracle_match_exact,oracle_match_15m,oracle_entry_time_utc,absolute_minutes
0,2019-02-28 11:15:00+00:00,LONG,False,False,,
1,2019-03-27 08:45:00+00:00,LONG,False,False,,
2,2019-04-12 08:30:00+00:00,LONG,False,False,,
3,2019-06-24 08:30:00+00:00,LONG,False,False,,
4,2019-07-02 11:15:00+00:00,LONG,False,False,,
5,2019-07-18 12:00:00+00:00,SHORT,False,False,,
6,2019-07-23 08:45:00+00:00,SHORT,False,False,,
7,2019-09-04 11:00:00+00:00,LONG,False,False,,
8,2019-09-11 11:00:00+00:00,SHORT,False,False,,
9,2019-09-16 11:00:00+00:00,SHORT,False,False,,
10,2019-09-18 10:30:00+00:00,SHORT,False,False,,
11,2019-09-19 08:15:00+00:00,LONG,False,False,,
12,2019-09-26 11:30:00+00:00,SHORT,False,False,,
13,2019-09-30 12:00:00+00:00,SHORT,False,False,,
14,2019-10-17 11:30:00+00:00,LONG,False,False,,
15,2019-10-23 09:45:00+00:00,SHORT,False,False,,
16,2019-12-10 12:00:00+00:00,LONG,False,False,,
17,2019-12-11 10:30:00+00:00,SHORT,False,False,,
18,2019-12-13 09:00:00+00:00,LONG,False,False,,
19,2020-01-06 11:15:00+00:00,LONG,False,False,,
20,2020-02-24 08:30:00+00:00,LONG,False,False,,
21,2020-03-25 10:30:00+00:00,LONG,False,False,,
22,2020-04-28 11:00:00+00:00,LONG,False,False,,
23,2020-05-05 11:00:00+00:00,SHORT,False,False,,
24,2020-05-11 09:15:00+00:00,SHORT,False,False,,
25,2020-05-26 12:00:00+00:00,LONG,False,False,,
26,2020-05-27 11:15:00+00:00,LONG,False,False,,
27,2020-06-02 11:45:00+00:00,LONG,False,False,,
28,2020-07-06 08:45:00+00:00,SHORT,False,False,,
29,2020-07-06 11:15:00+00:00,LONG,False,False,,
30,2020-08-24 11:15:00+00:00,LONG,False,False,,
31,2020-09-28 12:00:00+00:00,LONG,False,False,,
32,2020-10-05 10:00:00+00:00,LONG,False,False,,
33,2020-10-15 11:00:00+00:00,SHORT,False,False,,
34,2020-10-20 11:30:00+00:00,LONG,False,False,,
35,2020-10-26 12:00:00+00:00,SHORT,False,False,,
36,2020-10-28 08:15:00+00:00,SHORT,False,False,,
37,2020-12-07 10:45:00+00:00,SHORT,False,False,,
38,2020-12-09 10:45:00+00:00,SHORT,False,False,,
39,2020-12-16 10:00:00+00:00,LONG,False,False,,
40,2020-12-28 08:45:00+00:00,LONG,False,False,,
41,2020-12-28 10:30:00+00:00,SHORT,False,False,,
42,2021-01-07 12:00:00+00:00,SHORT,False,False,,
43,2021-01-20 11:00:00+00:00,SHORT,False,False,,
44,2021-02-09 08:30:00+00:00,SHORT,False,False,,
45,2021-02-09 11:45:00+00:00,LONG,False,False,,
46,2021-02-16 11:15:00+00:00,LONG,False,False,,
47,2021-02-25 10:00:00+00:00,LONG,False,False,,
48,2021-04-05 08:30:00+00:00,LONG,False,False,,
49,2021-07-13 10:15:00+00:00,SHORT,False,False,,
50,2021-08-19 08:30:00+00:00,LONG,False,False,,
51,2021-08-31 09:00:00+00:00,SHORT,False,False,,
52,2021-08-31 11:15:00+00:00,LONG,False,False,,
53,2021-10-13 11:30:00+00:00,LONG,False,False,,
54,2021-12-13 09:00:00+00:00,SHORT,False,False,,
55,2021-12-14 11:30:00+00:00,LONG,False,False,,
56,2021-12-30 09:00:00+00:00,SHORT,False,False,,
57,2022-01-24 12:00:00+00:00,SHORT,False,False,,
58,2022-01-25 11:00:00+00:00,SHORT,False,False,,
59,2022-02-21 09:00:00+00:00,SHORT,False,False,,
60,2022-02-24 09:45:00+00:00,SHORT,False,False,,
61,2022-03-07 10:15:00+00:00,SHORT,False,False,,
