family,regime,signal_time_utc,entry_time_utc,side,window,risk_pips,status,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-02-28 11:00:00+00:00,2019-02-28 11:15:00+00:00,LONG,development_2019_2022,48.79999999999996,CLOSED,2019-02-28 15:20:00+00:00,1.14161,1.13673,1.1489299999999998,1.13672,STOP,0.0048799999999999,-1.002049180327902,-1.0122950819672465,-4.890000000000061
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-03-27 08:30:00+00:00,2019-03-27 08:45:00+00:00,LONG,development_2019_2022,26.599999999998847,CLOSED,2019-03-27 14:35:00+00:00,1.12735,1.1246900000000002,1.1313399999999998,1.1246800000000001,STOP,0.0026599999999998,-1.0037593984962974,-1.0225563909775017,-2.66999999999995
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-04-12 08:15:00+00:00,2019-04-12 08:30:00+00:00,LONG,development_2019_2022,17.40000000000297,CLOSED,2019-04-12 20:30:00+00:00,1.1299000000000001,1.1281599999999998,1.1325100000000003,1.12965,TIME_12H,0.0017400000000002,-0.1436781609195717,-0.17241379310347643,-0.2500000000000835
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-06-24 08:15:00+00:00,2019-06-24 08:30:00+00:00,LONG,development_2019_2022,22.100000000000453,CLOSED,2019-06-24 20:30:00+00:00,1.13947,1.13726,1.142785,1.13981,TIME_12H,0.00221,0.153846153846157,0.13122171945701672,0.34000000000000696
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-07-02 11:00:00+00:00,2019-07-02 11:15:00+00:00,LONG,development_2019_2022,16.100000000001113,CLOSED,2019-07-02 19:50:00+00:00,1.13019,1.12858,1.132605,1.1285699999999999,STOP,0.0016100000000001,-1.006211180124271,-1.0372670807453872,-1.6200000000001769
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-07-18 11:45:00+00:00,2019-07-18 12:00:00+00:00,SHORT,development_2019_2022,24.700000000001943,CLOSED,2019-07-18 18:15:00+00:00,1.1219299999999999,1.1244,1.1182249999999998,1.1244100000000001,STOP,0.0024700000000001,-1.004048582996016,-1.0242914979757722,-2.4800000000002598
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-07-23 08:30:00+00:00,2019-07-23 08:45:00+00:00,SHORT,development_2019_2022,13.650000000000606,CLOSED,2019-07-23 13:35:00+00:00,1.1182299999999998,1.119595,1.1161824999999999,1.1161925,TARGET,0.001365,1.49267399267393,1.4560439560438934,2.0374999999999144
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-09-04 10:45:00+00:00,2019-09-04 11:00:00+00:00,LONG,development_2019_2022,43.69999999999985,CLOSED,2019-09-04 23:00:00+00:00,1.1017400000000002,1.0973700000000002,1.108295,1.10341,TIME_12H,0.0043699999999999,0.3821510297482555,0.37070938215100124,1.6699999999998383
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-09-11 10:45:00+00:00,2019-09-11 11:00:00+00:00,SHORT,development_2019_2022,41.85000000000105,CLOSED,2019-09-11 23:00:00+00:00,1.10075,1.104935,1.0944724999999997,1.1009600000000002,TIME_12H,0.0041850000000001,-0.0501792114695963,-0.062126642771866025,-0.21000000000026553
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-09-16 10:45:00+00:00,2019-09-16 11:00:00+00:00,SHORT,development_2019_2022,43.89999999999894,CLOSED,2019-09-16 23:00:00+00:00,1.10384,1.1082299999999998,1.0972550000000003,1.1004200000000002,TIME_12H,0.0043899999999998,0.7790432801822124,0.7676537585421207,3.4199999999997566
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-09-18 10:15:00+00:00,2019-09-18 10:30:00+00:00,SHORT,development_2019_2022,21.94999999999947,CLOSED,2019-09-18 16:30:00+00:00,1.10467,1.106865,1.1013775000000001,1.106875,STOP,0.0021949999999999,-1.0045558086560877,-1.027334851936271,-2.2050000000000125
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER_FRESH_V1_1,NEUTRAL,2019-09-19 08:00:00+00:00,2019-09-19 08:15:00+00:00,LONG,development_2019_2022,25.600000000001177,CLOSED,2019-09-19 20:15:00+00:00,1.10606,1.1035,1.1099,1.1042399999999999,TIME_12H,0.0025600000000001,-0.7109375000000328,-0.730468750000032,-1.8200000000001548
