candidate_index,signal_time_utc,entry_time_utc,side,status,prior_position_exit_utc
0,2019-02-28 11:00:00+00:00,2019-02-28 11:15:00+00:00,LONG,CLOSED,2019-02-28 15:20:00+00:00
1,2019-02-28 11:15:00+00:00,2019-02-28 11:30:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-02-28 15:20:00+00:00
2,2019-03-27 08:30:00+00:00,2019-03-27 08:45:00+00:00,LONG,CLOSED,2019-03-27 14:35:00+00:00
3,2019-04-12 08:15:00+00:00,2019-04-12 08:30:00+00:00,LONG,CLOSED,2019-04-12 20:30:00+00:00
4,2019-04-12 08:30:00+00:00,2019-04-12 08:45:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-04-12 20:30:00+00:00
5,2019-04-12 09:00:00+00:00,2019-04-12 09:15:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-04-12 20:30:00+00:00
6,2019-04-12 09:45:00+00:00,2019-04-12 10:00:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-04-12 20:30:00+00:00
7,2019-06-14 11:45:00+00:00,2019-06-14 12:00:00+00:00,SHORT,CASH_INCOMPLETE_MAXIMUM_HOLD_PATH,
8,2019-06-24 08:15:00+00:00,2019-06-24 08:30:00+00:00,LONG,CLOSED,2019-06-24 20:30:00+00:00
9,2019-07-02 11:00:00+00:00,2019-07-02 11:15:00+00:00,LONG,CLOSED,2019-07-02 19:50:00+00:00
10,2019-07-18 11:45:00+00:00,2019-07-18 12:00:00+00:00,SHORT,CLOSED,2019-07-18 18:15:00+00:00
11,2019-07-23 08:30:00+00:00,2019-07-23 08:45:00+00:00,SHORT,CLOSED,2019-07-23 13:35:00+00:00
12,2019-07-23 09:00:00+00:00,2019-07-23 09:15:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-07-23 13:35:00+00:00
13,2019-07-23 09:45:00+00:00,2019-07-23 10:00:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-07-23 13:35:00+00:00
14,2019-07-23 10:00:00+00:00,2019-07-23 10:15:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-07-23 13:35:00+00:00
15,2019-07-23 11:30:00+00:00,2019-07-23 11:45:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-07-23 13:35:00+00:00
16,2019-07-23 11:45:00+00:00,2019-07-23 12:00:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-07-23 13:35:00+00:00
17,2019-09-04 10:45:00+00:00,2019-09-04 11:00:00+00:00,LONG,CLOSED,2019-09-04 23:00:00+00:00
18,2019-09-04 11:45:00+00:00,2019-09-04 12:00:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-09-04 23:00:00+00:00
19,2019-09-11 10:45:00+00:00,2019-09-11 11:00:00+00:00,SHORT,CLOSED,2019-09-11 23:00:00+00:00
20,2019-09-11 11:30:00+00:00,2019-09-11 11:45:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-09-11 23:00:00+00:00
21,2019-09-11 11:45:00+00:00,2019-09-11 12:00:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-09-11 23:00:00+00:00
22,2019-09-16 10:45:00+00:00,2019-09-16 11:00:00+00:00,SHORT,CLOSED,2019-09-16 23:00:00+00:00
23,2019-09-16 11:30:00+00:00,2019-09-16 11:45:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-09-16 23:00:00+00:00
24,2019-09-16 11:45:00+00:00,2019-09-16 12:00:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-09-16 23:00:00+00:00
25,2019-09-18 10:15:00+00:00,2019-09-18 10:30:00+00:00,SHORT,CLOSED,2019-09-18 16:30:00+00:00
26,2019-09-19 08:00:00+00:00,2019-09-19 08:15:00+00:00,LONG,CLOSED,2019-09-19 20:15:00+00:00
27,2019-09-19 08:45:00+00:00,2019-09-19 09:00:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-09-19 20:15:00+00:00
28,2019-09-19 09:30:00+00:00,2019-09-19 09:45:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-09-19 20:15:00+00:00
29,2019-09-19 10:30:00+00:00,2019-09-19 10:45:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-09-19 20:15:00+00:00
30,2019-09-19 11:15:00+00:00,2019-09-19 11:30:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-09-19 20:15:00+00:00
31,2019-09-26 11:15:00+00:00,2019-09-26 11:30:00+00:00,SHORT,CLOSED,2019-09-26 12:20:00+00:00
32,2019-09-26 11:30:00+00:00,2019-09-26 11:45:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-09-26 12:20:00+00:00
33,2019-09-30 11:45:00+00:00,2019-09-30 12:00:00+00:00,SHORT,CLOSED,2019-10-01 00:00:00+00:00
34,2019-10-17 11:15:00+00:00,2019-10-17 11:30:00+00:00,LONG,CLOSED,2019-10-17 23:30:00+00:00
35,2019-10-23 09:30:00+00:00,2019-10-23 09:45:00+00:00,SHORT,CLOSED,2019-10-23 18:20:00+00:00
36,2019-10-23 09:45:00+00:00,2019-10-23 10:00:00+00:00,SHORT,CASH_PRIOR_POSITION_OPEN,2019-10-23 18:20:00+00:00
37,2019-11-22 10:45:00+00:00,2019-11-22 11:00:00+00:00,SHORT,CASH_INCOMPLETE_MAXIMUM_HOLD_PATH,
38,2019-11-22 11:00:00+00:00,2019-11-22 11:15:00+00:00,SHORT,CASH_INCOMPLETE_MAXIMUM_HOLD_PATH,
39,2019-12-10 11:45:00+00:00,2019-12-10 12:00:00+00:00,LONG,CLOSED,2019-12-11 00:00:00+00:00
40,2019-12-11 10:15:00+00:00,2019-12-11 10:30:00+00:00,SHORT,CLOSED,2019-12-11 13:50:00+00:00
41,2019-12-13 08:45:00+00:00,2019-12-13 09:00:00+00:00,LONG,CLOSED,2019-12-13 14:10:00+00:00
42,2019-12-13 09:30:00+00:00,2019-12-13 09:45:00+00:00,LONG,CASH_PRIOR_POSITION_OPEN,2019-12-13 14:10:00+00:00
43,2019-12-27 09:45:00+00:00,2019-12-27 10:00:00+00:00,LONG,CASH_INCOMPLETE_MAXIMUM_HOLD_PATH,
44,2019-12-27 10:00:00+00:00,2019-12-27 10:15:00+00:00,LONG,CASH_INCOMPLETE_MAXIMUM_HOLD_PATH,
45,2019-12-27 10:30:00+00:00,2019-12-27 10:45:00+00:00,LONG,CASH_INCOMPLETE_MAXIMUM_HOLD_PATH,
46,2020-01-06 11:00:00+00:00,2020-01-06 11:15:00+00:00,LONG,CLOSED,2020-01-06 23:15:00+00:00
