entry_year,baseline_pnl_usd,baseline_policy_pnl_usd,delta_pnl_usd
2021,240.40120802169577,240.40120802169577,0.0
2022,69.71575181533902,69.71575181533902,0.0
2023,408.6933556111805,408.6933556111805,0.0
2024,874.6490441666178,874.6490441666178,0.0
2025,1782.2625114093369,1782.2625114093369,0.0
2026,1669.9513830676406,1669.9513830676406,0.0
