entry_year,baseline_pnl_usd,policy_pnl_usd,delta_pnl_usd
2021,240.40120802169577,230.20770412848142,-10.193503893214341
2022,69.71575181533902,29.189510761898127,-40.52624105344089
2023,408.6933556111805,388.16347860056584,-20.529877010614655
2024,874.6490441666178,1013.6084971810849,138.95945301446704
2025,1782.2625114093369,2148.788287377078,366.5257759677413
2026,1669.9513830676406,2106.860451808313,436.9090687406724
