entry_time,exit_time,sleeve,side,volume,entry_price,exit_price,commission,swap,profit,net_pnl_usd,exit_comment,state_time_utc,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,causal_regime,quarantined
2024-07-01 15:15:00+00:00,2024-07-01 16:15:10+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.07233,1.07325,0.0,0.0,0.92,0.92,tp 1.07325,2024-07-01 14:00:00+00:00,2024-07-01 14:00:00+00:00,NEUTRAL,UNRESOLVED,True,True,True,SHOCK,False
2024-07-14 22:15:00+00:00,2024-07-15 03:08:31+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.02,1.08876,1.08932,0.0,0.0,1.12,1.12,tp 1.08932,2024-07-14 21:00:00+00:00,2024-07-12 20:00:00+00:00,USD_DOWN,ESTABLISHED,False,False,False,USD_DOWN,False
2024-07-16 13:15:00+00:00,2024-07-16 13:27:59+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.02,1.08724,1.08793,0.0,0.0,1.38,1.38,tp 1.08792,2024-07-16 12:00:00+00:00,2024-07-16 12:00:00+00:00,USD_DOWN,ESTABLISHED,True,True,True,SHOCK,False
2024-07-18 13:30:00+00:00,2024-07-18 13:55:35+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.09143,1.09074,0.0,0.0,-0.69,-0.69,sl 1.09074,2024-07-18 12:00:00+00:00,2024-07-18 12:00:00+00:00,USD_DOWN,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
2024-07-18 14:15:00+00:00,2024-07-18 14:53:27+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.09072,1.09136,0.0,0.0,0.64,0.64,tp 1.09135,2024-07-18 13:00:00+00:00,2024-07-18 13:00:00+00:00,USD_DOWN,ESTABLISHED,True,True,False,SHOCK,False
2024-07-18 18:30:00+00:00,2024-07-19 00:53:30+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.08993,1.08922,0.0,-0.11,-0.71,-0.82,sl 1.08922,2024-07-18 17:00:00+00:00,2024-07-18 17:00:00+00:00,USD_DOWN,ESTABLISHED,False,False,False,USD_DOWN,False
2024-07-19 02:00:00+00:00,2024-07-19 02:47:04+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.08878,1.08912,0.0,0.0,0.34,0.34,tp 1.08912,2024-07-19 01:00:00+00:00,2024-07-19 01:00:00+00:00,USD_DOWN,ESTABLISHED,False,False,False,USD_DOWN,False
2024-07-23 07:00:00+00:00,2024-07-23 08:03:45+00:00,H1_CHOP_ASIA_LONDON_SHORT_CONTROL,SHORT,0.01,1.08849,1.08733,0.0,0.0,1.16,1.16,tp 1.08734,2024-07-23 06:00:00+00:00,2024-07-23 06:00:00+00:00,USD_UP,ESTABLISHED,False,True,True,JOINT_COMPRESSION,False
2024-07-23 08:30:00+00:00,2024-07-23 08:43:33+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.08755,1.08816,0.0,0.0,0.61,0.61,tp 1.08815,2024-07-23 07:00:00+00:00,2024-07-23 07:00:00+00:00,USD_UP,ESTABLISHED,True,True,True,SHOCK,False
2024-07-23 10:00:00+00:00,2024-07-23 10:16:34+00:00,M15_RSI_LONG_H4_TREND_OVERLAY,LONG,0.01,1.08672,1.0859,0.0,0.0,-0.82,-0.82,sl 1.08590,2024-07-23 09:00:00+00:00,2024-07-23 09:00:00+00:00,USD_UP,ESTABLISHED,False,True,False,USD_UP,False
