m15_trade_index,control_trade_index,m15_entry_time,m15_exit_time,control_entry_time,control_exit_time,overlap_start_utc,overlap_end_utc,overlap_minutes,absolute_entry_delta_minutes,same_entry_time,entries_within_15_minutes,opposite_side,m15_volume,control_volume
13,15,2024-07-29 08:00:00+00:00,2024-07-29 08:13:00+00:00,2024-07-29 08:00:00+00:00,2024-07-29 09:08:32+00:00,2024-07-29 08:00:00+00:00,2024-07-29 08:13:00+00:00,13.0,0.0,True,True,True,0.01,0.01
14,15,2024-07-29 08:15:00+00:00,2024-07-29 08:53:37+00:00,2024-07-29 08:00:00+00:00,2024-07-29 09:08:32+00:00,2024-07-29 08:15:00+00:00,2024-07-29 08:53:37+00:00,38.61666666666667,15.0,False,True,True,0.01,0.01
16,15,2024-07-29 09:00:00+00:00,2024-07-29 09:46:37+00:00,2024-07-29 08:00:00+00:00,2024-07-29 09:08:32+00:00,2024-07-29 09:00:00+00:00,2024-07-29 09:08:32+00:00,8.533333333333333,60.0,False,False,True,0.01,0.01
22,21,2024-08-01 08:00:00+00:00,2024-08-01 08:07:14+00:00,2024-08-01 07:00:00+00:00,2024-08-01 08:04:35+00:00,2024-08-01 08:00:00+00:00,2024-08-01 08:04:35+00:00,4.583333333333333,60.0,False,False,True,0.01,0.01
41,42,2024-08-28 10:15:00+00:00,2024-08-28 12:05:34+00:00,2024-08-28 10:00:00+00:00,2024-08-28 12:19:37+00:00,2024-08-28 10:15:00+00:00,2024-08-28 12:05:34+00:00,110.56666666666666,15.0,False,True,True,0.01,0.01
43,42,2024-08-28 12:15:00+00:00,2024-08-28 12:31:29+00:00,2024-08-28 10:00:00+00:00,2024-08-28 12:19:37+00:00,2024-08-28 12:15:00+00:00,2024-08-28 12:19:37+00:00,4.616666666666666,135.0,False,False,True,0.01,0.01
46,48,2024-08-29 08:30:00+00:00,2024-08-29 09:25:34+00:00,2024-08-29 09:00:00+00:00,2024-08-29 14:20:40+00:00,2024-08-29 09:00:00+00:00,2024-08-29 09:25:34+00:00,25.566666666666666,30.0,False,False,True,0.01,0.01
47,48,2024-08-29 12:45:00+00:00,2024-08-29 13:13:41+00:00,2024-08-29 09:00:00+00:00,2024-08-29 14:20:40+00:00,2024-08-29 12:45:00+00:00,2024-08-29 13:13:41+00:00,28.683333333333334,225.0,False,False,True,0.01,0.01
58,61,2024-09-23 08:00:00+00:00,2024-09-23 08:13:06+00:00,2024-09-23 08:00:00+00:00,2024-09-23 10:43:04+00:00,2024-09-23 08:00:00+00:00,2024-09-23 08:13:06+00:00,13.1,0.0,True,True,True,0.01,0.01
59,61,2024-09-23 08:15:00+00:00,2024-09-23 08:53:08+00:00,2024-09-23 08:00:00+00:00,2024-09-23 10:43:04+00:00,2024-09-23 08:15:00+00:00,2024-09-23 08:53:08+00:00,38.13333333333333,15.0,False,True,True,0.01,0.01
60,61,2024-09-23 09:00:00+00:00,2024-09-23 09:20:01+00:00,2024-09-23 08:00:00+00:00,2024-09-23 10:43:04+00:00,2024-09-23 09:00:00+00:00,2024-09-23 09:20:01+00:00,20.016666666666666,60.0,False,False,True,0.01,0.01
129,128,2024-11-20 08:30:00+00:00,2024-11-20 09:35:33+00:00,2024-11-20 07:00:00+00:00,2024-11-20 08:33:59+00:00,2024-11-20 08:30:00+00:00,2024-11-20 08:33:59+00:00,3.9833333333333334,90.0,False,False,True,0.01,0.01
146,147,2024-12-10 08:15:00+00:00,2024-12-10 11:25:14+00:00,2024-12-10 08:00:00+00:00,2024-12-10 12:17:31+00:00,2024-12-10 08:15:00+00:00,2024-12-10 11:25:14+00:00,190.23333333333332,15.0,False,True,True,0.01,0.01
150,151,2024-12-11 06:45:00+00:00,2024-12-11 07:03:33+00:00,2024-12-11 07:00:00+00:00,2024-12-11 07:31:32+00:00,2024-12-11 07:00:00+00:00,2024-12-11 07:03:33+00:00,3.55,15.0,False,True,True,0.01,0.01
155,157,2024-12-17 08:15:00+00:00,2024-12-17 09:00:36+00:00,2024-12-17 08:00:00+00:00,2024-12-17 13:00:38+00:00,2024-12-17 08:15:00+00:00,2024-12-17 09:00:36+00:00,45.6,15.0,False,True,True,0.01,0.01
156,157,2024-12-17 09:30:00+00:00,2024-12-17 10:00:23+00:00,2024-12-17 08:00:00+00:00,2024-12-17 13:00:38+00:00,2024-12-17 09:30:00+00:00,2024-12-17 10:00:23+00:00,30.383333333333333,90.0,False,False,True,0.01,0.01
