broker,symbol,timeframe,required_start_utc,required_end_utc,raw_dir,suggested_raw_filename,required_for,strict_authoritative_use
capital_com,XAGUSD,H1,2016-01-01T00:00:00Z,2018-12-31T23:59:59Z,data/raw/capital_com,XAGUSD_H1_20160101_20181231_capital_com.csv,xau_xag_relative_value_v0_matrix_relative_value,present_locally
pepperstone,XAGUSD,H1,2019-01-01T00:00:00Z,2021-12-31T23:59:59Z,data/raw/pepperstone,XAGUSD_H1_20190101_20211231_pepperstone.csv,xau_xag_relative_value_v0_matrix_relative_value,present_locally
dukascopy,XAGUSD,H1,2022-01-01T00:00:00Z,2024-12-31T23:59:59Z,data/raw/dukascopy,XAGUSD_H1_20220101_20241231_dukascopy.csv,xau_xag_relative_value_v0_matrix_relative_value,present_locally
