period,start_inclusive_utc,end_exclusive_utc,raw_trades,raw_net_pnl_usd,raw_win_rate_pct,raw_profit_factor,raw_closed_trade_drawdown_usd,v15_trades,v15_net_pnl_usd,v15_win_rate_pct,v15_profit_factor,v15_closed_trade_drawdown_usd,locked_b123_trades,locked_b123_net_pnl_usd,locked_b123_win_rate_pct,locked_b123_profit_factor,locked_b123_closed_trade_drawdown_usd,v15_delta_vs_raw_usd,v15_delta_vs_locked_b123_usd,v15_trade_retention
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,64,349.7255047803485,46.875,1.6550995134596662,137.17251039308542,61,317.88302413761926,45.90163934426229,1.6038683467700299,140.8508204465345,60,331.401776172413,46.66666666666666,1.6461429038387136,140.8508204465345,-31.842480642729242,-13.51875203479375,0.953125
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,147,1669.9513830676406,42.857142857142854,2.3167525435684926,137.17251039308553,141,1678.3209767465619,43.262411347517734,2.3750159765477132,140.85082044653473,141,1677.8255493705733,43.26241134751773,2.374052362736184,140.85082044653473,8.36959367892132,0.49542737598858366,0.9591836734693877
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,356,2502.7232508824322,44.10112359550562,1.9837293720046052,208.4143543521311,334,2576.039790394947,44.91017964071856,2.084820899751824,191.66779906090608,335,2569.445801464434,44.776119402985074,2.079047679325535,191.66779906090608,73.31653951251474,6.593988930512751,0.9382022471910112
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,787,3717.0678404402656,45.23506988564168,1.8281863716964044,279.03947729639003,744,3813.2523120551077,45.83333333333333,1.900715647256343,263.1529473210637,743,3803.8571754897566,45.76043068640646,1.8982694648672744,270.87368678850305,96.1844716148421,9.395136565351095,0.9453621346886912
5Y,2021-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1512,4800.891382860866,45.370370370370374,1.7260403480254378,279.03947729639003,1469,4897.075854475706,45.67733151803948,1.770245821775811,263.15294732106395,1468,4887.680717910356,45.64032697547684,1.768638753898392,270.8736867885033,96.18447161484073,9.395136565350185,0.9715608465608465
10Y,2016-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2069,5198.999448166458,45.094248429192845,1.6526979073034245,279.03947729639003,1994,5281.622871701686,45.336008024072214,1.6919971191965641,263.15294732106395,2025,5285.788783215949,45.28395061728395,1.685411468953072,270.8736867885027,82.62342353522763,-4.165911514262916,0.9637506041565974
ALL,,,2153,5432.465955672466,44.7282861124013,1.6593777127678904,279.03947729639003,2078,5515.089379207693,44.94706448508181,1.6975993135324907,263.15294732106395,2109,5519.255290721957,44.90279753437648,1.691183412304738,270.8736867885027,82.62342353522672,-4.165911514263826,0.965164886205295
