specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256
EURHUNT01_0001,trend_up,EURHUNT01_0001,train,OPENED,197,96,0.4873096446700508,-311.0567603718195,-31.10567603718195,-43.971935346237444,-0.22320779363572307,0.5953937355301279,0.2,49.37861945599679,0.5303379455340751,False,trend_pullback_long,long,0.0,0.75,0.75,24,4f71f7cea891a709d20c5aa32cf31597af5c832bdafdd7440a0965e96e619de4
EURHUNT01_0002,trend_up,EURHUNT01_0002,train,OPENED,187,79,0.42245989304812837,-321.3522207410446,-32.13522207410446,-43.04475368712161,-0.23018584859423322,0.6291647524439145,0.175,49.99618424603583,0.5468983747796147,False,trend_pullback_long,long,0.0,0.75,1.0,24,085586348195c484df2a01a53e0ad8b202b5f09210f0a8cfdcbc13dba4e04ccb
EURHUNT01_0003,trend_up,EURHUNT01_0003,train,OPENED,176,63,0.35795454545454547,-375.45017534670984,-37.54501753467098,-47.46768791060134,-0.2697027722193258,0.6090171603754453,0.3,49.388221616137216,0.5098203296793569,False,trend_pullback_long,long,0.0,0.75,1.25,24,32be5ebf5961d0f25609c73a183bbae10157938a9c9456646d0a43fcd13b4ef7
EURHUNT01_0004,trend_up,EURHUNT01_0004,train,OPENED,172,54,0.313953488372093,-425.10465803303765,-42.51046580330377,-49.88681242231676,-0.2900396071064928,0.6063297801404071,0.225,53.6297293871655,0.49176373609671714,False,trend_pullback_long,long,0.0,0.75,1.5,24,e21c905435d446c9ebe491c2097173c252f503ca7e89884573cf7314585a6a36
EURHUNT01_0005,trend_up,EURHUNT01_0005,train,OPENED,168,43,0.25595238095238093,-457.77269046054744,-45.77726904605475,-51.57697829622415,-0.3070058231918104,0.6156352108958822,0.2,55.60281642786019,0.4703157325421088,False,trend_pullback_long,long,0.0,0.75,2.0,24,1a0c96c64842540730960ea8802d18ca1d5d5c4a02303bc0d4eebba189afe2ea
EURHUNT01_0006,trend_up,EURHUNT01_0006,train,OPENED,178,87,0.4887640449438202,-373.15946323058137,-37.315946323058135,-35.84575433224664,-0.20138064231599237,0.626961847012003,0.2,42.45157825374515,0.552298412963576,False,trend_pullback_long,long,0.0,1.0,0.75,24,77ceb706dad3cc71d33344473d4981e1e0ae24847fee852919703703690f2eb4
EURHUNT01_0007,trend_up,EURHUNT01_0007,train,OPENED,162,65,0.4012345679012346,-478.0670814998221,-47.806708149982214,-41.03830979782309,-0.25332289998656227,0.5989350295875312,0.2,46.949514088743626,0.504551838536774,False,trend_pullback_long,long,0.0,1.0,1.0,24,19007d19b6b86761a7ecee7ee943c0b90203b221f4c62545ae24097bfdc15923
EURHUNT01_0008,trend_up,EURHUNT01_0008,train,OPENED,159,56,0.3522012578616352,-547.8108344368196,-54.781083443681965,-41.84542354350161,-0.2631787644245384,0.6145937706446077,0.3,48.3997788922472,0.5029151437457304,False,trend_pullback_long,long,0.0,1.0,1.25,24,be18656f1359d799e69c6eca9b1ba8a9f0aaf8dd7420ead3db41fdf2d6434068
EURHUNT01_0009,trend_up,EURHUNT01_0009,train,OPENED,155,50,0.3225806451612903,-491.18579908151713,-49.118579908151716,-38.62248728524777,-0.24917733732417918,0.6511372507721607,0.275,45.538998683727804,0.519030567174396,False,trend_pullback_long,long,0.0,1.0,1.5,24,546b23263464918f7178659d9d7d13e80a33e861e1d3cadd7a86ac80e1766e6c
EURHUNT01_0010,trend_up,EURHUNT01_0010,train,OPENED,152,40,0.2631578947368421,-523.2639879003109,-52.32639879003109,-40.504097605294106,-0.26647432635061913,0.6571914984946335,0.2,49.083674427614774,0.4912193448254411,False,trend_pullback_long,long,0.0,1.0,2.0,24,d86c3d66fdd3a028af256563586ef6b8105fd3fa4a88dba4a4f3e5220c4b9175
EURHUNT01_0011,trend_up,EURHUNT01_0011,train,OPENED,158,81,0.5126582278481012,-308.99681846296994,-30.899681846296996,-23.33380676910888,-0.14768232132347392,0.7097978288499877,0.4,30.412927666141258,0.6198778671763596,False,trend_pullback_long,long,0.0,1.25,0.75,24,66bea128ab1d2b22d03b5e3529c1b73db5262412617aa8b7f9f63c4b300e322c
EURHUNT01_0012,trend_up,EURHUNT01_0012,train,OPENED,150,62,0.41333333333333333,-501.8528494953745,-50.185284949537454,-31.78049404983491,-0.21186996033223274,0.6503991645927701,0.3,42.90418453929372,0.5436133552919741,False,trend_pullback_long,long,0.0,1.25,1.0,24,6667b130c0928e78e1121201705e1fc061f896989027af39ca34353471458c2d
