month,regime,h4_bars
2016-07,transition,131
2016-08,transition,142
2016-09,transition,136
2016-10,chop,4
2016-10,compression,12
2016-10,transition,108
2016-10,trend_up,7
2016-11,chop,38
2016-11,compression,2
2016-11,transition,22
2016-11,trend_down,22
2016-11,trend_up,22
2016-11,unsafe,30
2016-12,chop,62
2016-12,compression,15
2016-12,transition,13
2016-12,trend_down,32
2016-12,trend_up,1
2016-12,unsafe,13
2017-01,chop,96
2017-01,compression,16
2017-01,transition,22
2017-01,trend_up,3
2017-02,chop,41
2017-02,compression,43
2017-02,transition,8
2017-02,trend_down,32
2017-03,chop,28
2017-03,compression,44
2017-03,transition,22
2017-03,trend_down,8
2017-03,trend_up,39
2017-03,unsafe,1
2017-04,chop,14
2017-04,compression,22
2017-04,transition,22
2017-04,trend_down,27
2017-04,trend_up,39
2017-04,unsafe,1
2017-05,chop,62
2017-05,compression,7
2017-05,transition,12
2017-05,trend_down,13
2017-05,trend_up,48
2017-06,chop,60
2017-06,compression,33
2017-06,transition,6
2017-06,trend_down,2
2017-06,trend_up,32
2017-06,unsafe,3
2017-07,chop,43
2017-07,compression,9
2017-07,transition,23
2017-07,trend_up,38
2017-07,unsafe,18
2017-08,chop,58
2017-08,compression,3
2017-08,transition,21
2017-08,trend_down,8
2017-08,trend_up,28
2017-08,unsafe,24
2017-09,chop,68
2017-09,transition,9
2017-09,trend_down,27
2017-09,trend_up,4
2017-09,unsafe,22
2017-10,chop,38
2017-10,compression,48
2017-10,transition,8
2017-10,trend_down,28
2017-10,trend_up,15
2017-11,chop,30
2017-11,compression,27
2017-11,transition,19
2017-11,trend_down,10
2017-11,trend_up,50
2017-12,chop,51
2017-12,compression,26
2017-12,transition,2
2017-12,trend_down,23
2017-12,trend_up,24
2017-12,unsafe,1
2018-01,chop,24
2018-01,transition,11
2018-01,trend_down,10
2018-01,trend_up,31
2018-01,unsafe,61
2018-02,chop,56
2018-02,transition,11
2018-02,trend_down,42
2018-02,trend_up,15
2018-03,chop,68
2018-03,compression,27
2018-03,transition,4
2018-03,trend_down,13
2018-03,trend_up,24
2018-04,chop,3
2018-04,compression,70
2018-04,transition,3
2018-04,trend_down,47
2018-04,trend_up,8
2018-05,chop,16
2018-05,compression,1
2018-05,transition,42
2018-05,trend_down,78
2018-05,trend_up,2
2018-05,unsafe,3
2018-06,chop,67
2018-06,transition,15
2018-06,trend_down,15
2018-06,trend_up,21
2018-06,unsafe,12
2018-07,chop,74
2018-07,compression,41
2018-07,transition,1
2018-07,trend_down,6
2018-07,trend_up,15
2018-08,chop,18
2018-08,compression,18
2018-08,transition,30
2018-08,trend_down,39
2018-08,trend_up,37
2018-09,chop,52
2018-09,compression,20
2018-09,transition,21
2018-09,trend_down,17
2018-09,trend_up,15
2018-10,chop,46
2018-10,compression,9
2018-10,transition,29
2018-10,trend_down,57
2018-10,trend_up,1
2018-11,chop,64
2018-11,compression,11
2018-11,transition,11
2018-11,trend_down,22
2018-11,trend_up,9
2018-11,unsafe,19
2018-12,chop,98
2018-12,compression,16
2018-12,trend_up,2
2018-12,unsafe,12
2019-01,chop,65
2019-01,compression,7
2019-01,transition,22
2019-01,trend_down,22
2019-01,trend_up,12
2019-01,unsafe,9
2019-02,chop,15
2019-02,compression,57
2019-02,transition,19
2019-02,trend_down,28
2019-02,trend_up,5
2019-03,chop,28
2019-03,compression,18
2019-03,transition,13
2019-03,trend_down,46
2019-03,trend_up,26
2019-04,chop,7
2019-04,compression,39
2019-04,transition,14
2019-04,trend_down,51
2019-04,trend_up,25
2019-05,chop,70
2019-05,compression,34
2019-05,transition,6
2019-05,trend_down,19
2019-05,trend_up,13
2019-06,chop,24
2019-06,compression,3
2019-06,transition,17
2019-06,trend_down,19
2019-06,trend_up,48
2019-06,unsafe,14
2019-07,chop,45
2019-07,compression,25
2019-07,transition,10
2019-07,trend_down,60
2019-07,trend_up,2
2019-08,chop,62
2019-08,compression,9
2019-08,transition,6
2019-08,trend_down,26
2019-08,trend_up,2
2019-08,unsafe,31
2019-09,chop,55
2019-09,compression,2
2019-09,transition,21
2019-09,trend_down,37
2019-09,trend_up,3
2019-09,unsafe,13
2019-10,chop,58
2019-10,compression,21
2019-10,transition,16
2019-10,trend_down,3
2019-10,trend_up,44
2019-11,chop,19
2019-11,compression,8
2019-11,transition,18
2019-11,trend_down,65
2019-11,trend_up,20
2019-12,chop,11
2019-12,compression,26
2019-12,transition,30
2019-12,trend_down,16
2019-12,trend_up,49
2019-12,unsafe,2
2020-01,chop,38
2020-01,compression,22
2020-01,transition,26
2020-01,trend_down,41
2020-01,trend_up,10
2020-02,chop,10
2020-02,compression,1
2020-02,transition,9
2020-02,trend_down,66
2020-02,trend_up,5
2020-02,unsafe,33
2020-03,chop,12
2020-03,trend_down,1
2020-03,trend_up,18
2020-03,unsafe,106
2020-04,chop,81
2020-04,transition,5
2020-04,trend_down,30
2020-04,trend_up,20
2020-05,chop,21
2020-05,compression,42
2020-05,transition,18
2020-05,trend_down,13
2020-05,trend_up,37
2020-06,chop,49
2020-06,compression,22
2020-06,transition,22
2020-06,trend_down,6
2020-06,trend_up,37
