specialist,symbol,signal_time_utc,entry_time_utc,exit_time_utc,side,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r
r1_usd_trend_synchronization,USDJPY,2019-06-21 01:00:00+00:00,2019-06-21 02:00:00+00:00,2019-06-21 07:20:00+00:00,SHORT,107.16499999999999,107.34473958333332,106.80552083333332,107.34573958333333,STOP,0.17973958333333445,-1.005563604752246,-1.0333816285134745
r1_usd_trend_synchronization,USDJPY,2019-06-25 04:00:00+00:00,2019-06-25 05:00:00+00:00,2019-06-25 05:30:00+00:00,SHORT,106.82199999999999,106.95548958333332,106.55502083333332,106.95648958333332,STOP,0.13348958333333272,-1.007491221225136,-1.0449473273507701
r1_usd_trend_synchronization,USDJPY,2019-07-09 08:00:00+00:00,2019-07-09 09:00:00+00:00,2019-07-09 10:20:00+00:00,LONG,108.917,108.808171875,109.13465625,108.807171875,STOP,0.10882812500000152,-1.0091888011486507,-1.0551328068916508
r1_usd_trend_synchronization,USDJPY,2019-10-25 16:00:00+00:00,2019-10-25 17:00:00+00:00,2019-10-25 19:00:00+00:00,LONG,108.76400000000001,108.67738541666668,108.93722916666668,108.67638541666668,STOP,0.08661458333333316,-1.0115453998797443,-1.0692723992784217
r1_usd_trend_synchronization,USDJPY,2019-11-05 13:00:00+00:00,2019-11-05 14:00:00+00:00,2019-11-05 14:45:00+00:00,LONG,108.926,108.83711979166667,109.10376041666667,108.83611979166666,STOP,0.08888020833333288,-1.0112510987402001,-1.0675065924407572
r1_usd_trend_synchronization,USDJPY,2019-11-18 15:00:00+00:00,2019-11-18 16:00:00+00:00,2019-11-18 19:40:00+00:00,SHORT,108.55199999999999,108.65973437499999,108.33653125,108.66073437499999,STOP,0.1077343749999978,-1.009282088469902,-1.0556925308194316
r1_usd_trend_synchronization,USDJPY,2019-11-29 13:00:00+00:00,2019-11-29 14:00:00+00:00,2019-11-29 14:30:00+00:00,LONG,109.643,109.5908125,109.747375,109.5898125,STOP,0.05218749999999976,-1.0191616766468463,-1.1149700598803798
r1_usd_trend_synchronization,USDJPY,2019-12-20 17:00:00+00:00,2019-12-20 18:00:00+00:00,2019-12-20 20:05:00+00:00,LONG,109.522,109.44502083333334,109.67595833333334,109.44402083333334,STOP,0.07697916666666711,-1.012990527740167,-1.0779431664411139
r1_usd_trend_synchronization,USDJPY,2019-12-27 19:00:00+00:00,2019-12-27 20:00:00+00:00,2019-12-27 21:30:00+00:00,SHORT,109.398,109.474171875,109.24565625,109.475171875,STOP,0.07617187500000326,-1.0131282051282244,-1.0787692307692474
r1_usd_trend_synchronization,USDJPY,2019-12-30 01:00:00+00:00,2019-12-30 02:00:00+00:00,2019-12-30 02:35:00+00:00,SHORT,109.326,109.40159895833332,109.17480208333332,109.17580208333332,TARGET,0.07559895833333534,1.9867723045125651,1.9206338270754328
r1_usd_trend_synchronization,USDJPY,2020-02-06 04:00:00+00:00,2020-02-06 05:00:00+00:00,2020-02-06 09:20:00+00:00,LONG,109.959,109.82707291666667,110.22285416666666,109.82607291666666,STOP,0.13192708333333192,-1.0075799447296496,-1.0454796683774985
r1_usd_trend_synchronization,USDJPY,2020-03-05 16:00:00+00:00,2020-03-05 17:00:00+00:00,2020-03-05 20:55:00+00:00,SHORT,106.56,106.77075520833334,106.13848958333334,106.13948958333334,TARGET,0.21075520833333306,1.9952551587791565,1.971530952675116
r1_usd_trend_synchronization,USDJPY,2020-03-19 16:00:00+00:00,2020-03-19 17:00:00+00:00,2020-03-20 07:25:00+00:00,LONG,110.2,109.60661458333334,111.38677083333334,109.60561458333333,STOP,0.5933854166666689,-1.0016852453260763,-1.0101114719564632
r1_usd_trend_synchronization,USDJPY,2020-03-26 08:00:00+00:00,2020-03-26 09:00:00+00:00,2020-03-26 13:05:00+00:00,SHORT,110.09899999999999,110.42452083333332,109.44795833333332,109.44895833333332,TARGET,0.3255208333333348,1.9969279999999907,1.9815679999999907
r1_usd_trend_synchronization,USDJPY,2020-03-26 18:00:00+00:00,2020-03-26 19:00:00+00:00,2020-03-26 20:55:00+00:00,SHORT,109.223,109.613859375,108.44128124999999,109.61485937500001,STOP,0.3908593750000019,-1.0025584649210677,-1.0153507895263045
r1_usd_trend_synchronization,USDJPY,2020-03-27 02:00:00+00:00,2020-03-27 03:00:00+00:00,2020-03-27 07:20:00+00:00,SHORT,108.372,108.80012500000001,107.51575,108.80112500000001,STOP,0.4281250000000014,-1.0023357664233854,-1.0140145985401736
r1_usd_trend_synchronization,USDJPY,2020-03-27 18:00:00+00:00,2020-03-27 19:00:00+00:00,2020-03-29 21:00:00+00:00,SHORT,107.776,108.20323958333333,106.92152083333333,107.732,TIME,0.42723958333333123,0.10298671217846461,0.09128367670363827
r1_usd_trend_synchronization,USDJPY,2020-05-11 15:00:00+00:00,2020-05-11 16:00:00+00:00,2020-05-12 00:45:00+00:00,LONG,107.70400000000001,107.525484375,108.06103125,107.524484375,STOP,0.178515624999999,-1.0056017505470942,-1.0336105032823242
r1_usd_trend_synchronization,USDJPY,2020-06-23 14:00:00+00:00,2020-06-23 15:00:00+00:00,2020-06-23 15:25:00+00:00,SHORT,106.235,106.39606770833333,105.91286458333333,106.39706770833334,STOP,0.16106770833333117,-1.006208569118885,-1.0372514147130647
r1_usd_trend_synchronization,USDJPY,2020-07-21 16:00:00+00:00,2020-07-21 17:00:00+00:00,2020-07-21 22:40:00+00:00,SHORT,106.74,106.86059895833333,106.49880208333333,106.86159895833333,STOP,0.12059895833333187,-1.008291945584148,-1.049751673504684
r1_usd_trend_synchronization,USDJPY,2020-07-27 02:00:00+00:00,2020-07-27 03:00:00+00:00,2020-07-27 14:40:00+00:00,SHORT,105.568,105.7820625,105.13987499999999,105.140875,TARGET,0.21406250000000293,1.995328467153275,1.9719708029196987
r1_usd_trend_synchronization,USDJPY,2020-07-30 19:00:00+00:00,2020-07-30 20:00:00+00:00,2020-07-31 01:25:00+00:00,SHORT,104.752,104.9129375,104.430125,104.43112500000001,TARGET,0.16093749999999796,1.993786407766933,1.962718446601884
r1_usd_trend_synchronization,USDJPY,2020-08-04 19:00:00+00:00,2020-08-04 20:00:00+00:00,2020-08-04 21:10:00+00:00,SHORT,105.655,105.81041666666667,105.34416666666667,105.843,STOP,0.1554166666666664,-1.2096514745308486,-1.2418230563002857
r1_usd_trend_synchronization,USDJPY,2020-08-05 00:00:00+00:00,2020-08-05 01:00:00+00:00,2020-08-05 08:20:00+00:00,SHORT,105.58999999999999,105.75796874999999,105.25406249999999,105.75896875,STOP,0.16796875000000117,-1.0059534883721144,-1.0357209302325794
r1_usd_trend_synchronization,USDJPY,2020-08-10 10:00:00+00:00,2020-08-10 11:00:00+00:00,2020-08-10 12:15:00+00:00,LONG,106.165,106.01109375,106.4728125,106.01009375,STOP,0.15390625000000138,-1.006497461928993,-1.0389847715736629
r1_usd_trend_synchronization,USDJPY,2020-08-12 02:00:00+00:00,2020-08-12 03:00:00+00:00,2020-08-12 21:00:00+00:00,LONG,106.718,106.55857291666666,107.03685416666667,106.86699999999999,TIME,0.15942708333333738,0.9345965370792787,0.9032342371772867
r1_usd_trend_synchronization,USDJPY,2020-08-21 05:00:00+00:00,2020-08-21 06:00:00+00:00,2020-08-21 10:30:00+00:00,SHORT,105.60199999999999,105.73647916666665,105.33304166666666,105.73747916666666,STOP,0.13447916666666485,-1.0074360960496118,-1.0446165762974822
r1_usd_trend_synchronization,USDJPY,2020-10-27 15:00:00+00:00,2020-10-27 16:00:00+00:00,2020-10-27 23:50:00+00:00,SHORT,104.446,104.54240625,104.2531875,104.54340625,STOP,0.09640624999999922,-1.010372771474948,-1.0622366288493406
r1_usd_trend_synchronization,USDJPY,2020-11-02 07:00:00+00:00,2020-11-02 08:00:00+00:00,2020-11-02 11:20:00+00:00,LONG,104.852,104.70392708333333,105.14814583333334,104.70292708333332,STOP,0.14807291666667055,-1.006753429475986,-1.0405205768555137
r1_usd_trend_synchronization,USDJPY,2020-11-06 10:00:00+00:00,2020-11-06 11:00:00+00:00,2020-11-06 13:30:00+00:00,SHORT,103.22999999999999,103.46127604166665,102.76744791666665,103.46227604166666,STOP,0.23127604166666665,-1.004323837405692,-1.0259430244341798
r1_usd_trend_synchronization,USDJPY,2020-11-16 01:00:00+00:00,2020-11-16 02:00:00+00:00,2020-11-16 10:40:00+00:00,SHORT,104.544,104.675015625,104.28196874999999,104.676015625,STOP,0.13101562500000088,-1.007632677400175,-1.0457960644007709
r1_usd_trend_synchronization,USDJPY,2020-11-23 10:00:00+00:00,2020-11-23 11:00:00+00:00,2020-11-23 14:45:00+00:00,SHORT,103.696,103.77443749999999,103.539125,103.7754375,STOP,0.0784374999999978,-1.0127490039840588,-1.0764940239043792
r1_usd_trend_synchronization,USDJPY,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,2020-11-30 07:05:00+00:00,SHORT,103.865,103.984140625,103.62671875,103.985140625,STOP,0.1191406249999997,-1.0083934426229935,-1.0503606557377476
r1_usd_trend_synchronization,USDJPY,2020-12-14 09:00:00+00:00,2020-12-14 10:00:00+00:00,2020-12-14 15:05:00+00:00,SHORT,103.752,103.872,103.512,103.873,STOP,0.11999999999999789,-1.0083333333334288,-1.0500000000000962
r1_usd_trend_synchronization,USDJPY,2020-12-16 04:00:00+00:00,2020-12-16 05:00:00+00:00,2020-12-16 06:05:00+00:00,SHORT,103.43299999999999,103.54419791666666,103.21060416666666,103.54519791666667,STOP,0.1111979166666662,-1.00899297423894,-1.0539578454333196
r1_usd_trend_synchronization,USDJPY,2021-02-04 11:00:00+00:00,2021-02-04 12:00:00+00:00,2021-02-04 12:50:00+00:00,LONG,105.33800000000001,105.25898958333335,105.49602083333333,105.25798958333334,STOP,0.07901041666666572,-1.0126565589980399,-1.0759393539881528
r1_usd_trend_synchronization,USDJPY,2021-03-02 01:00:00+00:00,2021-03-02 02:00:00+00:00,2021-03-02 02:50:00+00:00,LONG,106.894,106.7699375,107.14212500000001,106.76893749999999,STOP,0.12406250000000249,-1.0080604534005861,-1.0483627204031043
r1_usd_trend_synchronization,USDJPY,2021-03-08 12:00:00+00:00,2021-03-08 13:00:00+00:00,2021-03-09 00:15:00+00:00,LONG,108.686,108.53094791666668,108.99610416666667,108.99510416666666,TARGET,0.15505208333333428,1.9935505542491694,1.9613033254953907
r1_usd_trend_synchronization,USDJPY,2021-03-09 01:00:00+00:00,2021-03-09 02:00:00+00:00,2021-03-09 07:20:00+00:00,LONG,109.19800000000001,109.06175,109.4705,109.06075,STOP,0.13624999999999923,-1.0073394495413543,-1.0440366972477766
r1_usd_trend_synchronization,USDJPY,2021-03-30 07:00:00+00:00,2021-03-30 08:00:00+00:00,2021-03-31 00:10:00+00:00,LONG,110.23100000000001,110.12180729166668,110.44938541666667,110.44838541666667,TARGET,0.1091927083333292,1.9908418793226828,1.9450512759360843
r1_usd_trend_synchronization,USDJPY,2021-04-14 00:00:00+00:00,2021-04-14 01:00:00+00:00,2021-04-14 07:25:00+00:00,SHORT,108.815,108.98427083333333,108.47645833333334,108.98527083333333,STOP,0.16927083333333187,-1.0059076923077013,-1.035446153846163
r1_usd_trend_synchronization,USDJPY,2021-04-19 08:00:00+00:00,2021-04-19 09:00:00+00:00,2021-04-19 13:15:00+00:00,SHORT,108.08,108.21906249999999,107.801875,108.2200625,STOP,0.13906249999999934,-1.0071910112359532,-1.0431460674157287
r1_usd_trend_synchronization,USDJPY,2021-04-23 11:00:00+00:00,2021-04-23 12:00:00+00:00,2021-04-23 12:45:00+00:00,SHORT,107.777,107.90351041666668,107.52397916666666,107.52497916666667,TARGET,0.12651041666667195,1.9920955125565212,1.9525730753395611
r1_usd_trend_synchronization,USDJPY,2021-06-03 15:00:00+00:00,2021-06-03 16:00:00+00:00,2021-06-04 01:05:00+00:00,LONG,110.29,110.17895833333334,110.51208333333335,110.17795833333334,STOP,0.1110416666666699,-1.0090056285178237,-1.0540337711069405
r1_usd_trend_synchronization,USDJPY,2021-08-06 13:00:00+00:00,2021-08-06 14:00:00+00:00,2021-08-08 21:00:00+00:00,LONG,110.28200000000001,110.18155729166668,110.48288541666668,110.28099999999999,TIME,0.1004427083333311,-0.009955924293681593,-0.059735545761144454
r1_usd_trend_synchronization,USDJPY,2021-08-09 19:00:00+00:00,2021-08-09 20:00:00+00:00,2021-08-09 20:55:00+00:00,LONG,110.333,110.2364375,110.526125,110.23543749999999,STOP,0.09656249999999997,-1.010355987055113,-1.062135922330194
r1_usd_trend_synchronization,USDJPY,2021-08-10 09:00:00+00:00,2021-08-10 10:00:00+00:00,2021-08-10 12:20:00+00:00,LONG,110.51,110.41528645833334,110.69942708333335,110.41428645833334,STOP,0.09471354166666965,-1.010558152323334,-1.0633489139400494
r1_usd_trend_synchronization,USDJPY,2021-08-11 06:00:00+00:00,2021-08-11 07:00:00+00:00,2021-08-11 12:05:00+00:00,LONG,110.741,110.66180729166666,110.89938541666666,110.66080729166666,STOP,0.0791927083333325,-1.0126274251892085,-1.0757645511346219
r1_usd_trend_synchronization,USDJPY,2021-09-29 16:00:00+00:00,2021-09-29 17:00:00+00:00,2021-09-30 11:00:00+00:00,LONG,111.95100000000001,111.77738020833334,112.29823958333334,112.036,TIME,0.1736197916666667,0.48957552122390274,0.46077696115190636
r1_usd_trend_synchronization,USDJPY,2021-10-06 04:00:00+00:00,2021-10-06 05:00:00+00:00,2021-10-06 07:20:00+00:00,LONG,111.76100000000001,111.62751041666668,112.02797916666668,111.62651041666668,STOP,0.13348958333333272,-1.007491221225136,-1.0449473273507701
r1_usd_trend_synchronization,USDJPY,2021-10-08 04:00:00+00:00,2021-10-08 05:00:00+00:00,2021-10-08 10:55:00+00:00,LONG,111.926,111.797953125,112.18209375,111.796953125,STOP,0.12804687500000078,-1.0078096400244008,-1.0468578401464261
r1_usd_trend_synchronization,USDJPY,2021-10-12 00:00:00+00:00,2021-10-12 01:00:00+00:00,2021-10-12 02:30:00+00:00,LONG,113.45700000000001,113.29142708333335,113.78814583333333,113.29042708333334,STOP,0.16557291666666307,-1.0060396351054,-1.0362378106322958
r1_usd_trend_synchronization,USDJPY,2021-11-12 01:00:00+00:00,2021-11-12 02:00:00+00:00,2021-11-12 07:30:00+00:00,LONG,114.28500000000001,114.16031250000002,114.53437500000001,114.15931250000001,STOP,0.12468749999999953,-1.0080200501253007,-1.0481203007518674
r1_usd_trend_synchronization,USDJPY,2021-11-16 19:00:00+00:00,2021-11-16 20:00:00+00:00,2021-11-17 13:30:00+00:00,LONG,114.702,114.56384895833334,114.97830208333333,114.56284895833333,STOP,0.13815104166666684,-1.0072384542883925,-1.0434307257304283
r1_usd_trend_synchronization,USDJPY,2021-11-30 08:00:00+00:00,2021-11-30 09:00:00+00:00,2021-11-30 15:35:00+00:00,SHORT,112.886,113.12425520833332,112.40948958333334,113.12525520833333,STOP,0.23825520833332892,-1.0041971800196907,-1.0251830801180626
