attempt_no,portfolio_id,weights_json,active_component_count,total_risk_weight,tie_priority
25142,f992c229145fe3e7,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.25}",3,1.75,ATTEMPT_ASCENDING
25143,9bfef9192117fe23,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.25}",3,1.75,ATTEMPT_DESCENDING
25144,248fd21d790d1d27,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.5}",3,2.0,ATTEMPT_ASCENDING
25145,d71d2c54530195e1,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.5}",3,2.0,ATTEMPT_DESCENDING
25146,e637b7982e89c1a0,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.75}",3,2.25,ATTEMPT_ASCENDING
25147,76668e144b2166af,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.75}",3,2.25,ATTEMPT_DESCENDING
25148,d05a0ffafe68efcd,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":1.0}",3,2.5,ATTEMPT_ASCENDING
25149,7a2c9efd3c628544,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":1.0}",3,2.5,ATTEMPT_DESCENDING
25150,613cbe62a314a082,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.25}",3,2.0,ATTEMPT_ASCENDING
25151,c0a17d4d653883e9,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.25}",3,2.0,ATTEMPT_DESCENDING
25152,4362ae1675ab8e22,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.5}",3,2.25,ATTEMPT_ASCENDING
25153,256318964d906cdc,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.5}",3,2.25,ATTEMPT_DESCENDING
25154,4a535fcfc7b874ff,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.75}",3,2.5,ATTEMPT_ASCENDING
25155,f153b107c1dd52e9,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.75}",3,2.5,ATTEMPT_DESCENDING
25156,fa83d7b5fbe4aeeb,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":1.0}",3,2.75,ATTEMPT_ASCENDING
25157,a5dc67a825228300,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":1.0}",3,2.75,ATTEMPT_DESCENDING
25158,89c056e275ee051c,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.25}",4,2.0,ATTEMPT_ASCENDING
25159,3c45dbef43c9f88b,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.25}",4,2.0,ATTEMPT_DESCENDING
25160,5e82daf9ad9fecd8,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.5}",4,2.25,ATTEMPT_ASCENDING
25161,04b98c0c9c1c8f46,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.5}",4,2.25,ATTEMPT_DESCENDING
25162,7d6bf84376c3aae6,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.75}",4,2.5,ATTEMPT_ASCENDING
25163,dafe52884e03ad9c,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":0.75}",4,2.5,ATTEMPT_DESCENDING
25164,c118a4f28a3fbf19,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":1.0}",4,2.75,ATTEMPT_ASCENDING
25165,b4315b7cb8be18b4,"{""23925"":0.75,""24877"":0.25,""24995"":0.75,""25048"":1.0}",4,2.75,ATTEMPT_DESCENDING
25166,94cb8ea4a97692d9,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.25}",4,2.25,ATTEMPT_ASCENDING
25167,b5199b2d246aae26,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.25}",4,2.25,ATTEMPT_DESCENDING
25168,13023b57723d762b,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.5}",4,2.5,ATTEMPT_ASCENDING
25169,9052083de36360e7,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.5}",4,2.5,ATTEMPT_DESCENDING
25170,136a00e0a06016d0,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.75}",4,2.75,ATTEMPT_ASCENDING
25171,86db2669fc6cb84a,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":0.75}",4,2.75,ATTEMPT_DESCENDING
25172,27ad17eb627852a8,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":1.0}",4,3.0,ATTEMPT_ASCENDING
25173,05c3b289dad2772b,"{""23925"":0.75,""24877"":0.25,""24995"":1.0,""25048"":1.0}",4,3.0,ATTEMPT_DESCENDING
25174,a8cfd7d6ee98a121,"{""23925"":0.75,""24877"":0.5,""24995"":0.75,""25048"":0.25}",4,2.25,ATTEMPT_ASCENDING
