attempt_no,portfolio_id,weights_json,active_component_count,total_risk_weight,tie_priority,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2023_trades,era_2021_2023_stress_net_r,era_2021_2023_stress_pf,era_2021_2023_average_stress_r,era_2021_2023_closed_drawdown_r,era_2023_2024_trades,era_2023_2024_stress_net_r,era_2023_2024_stress_pf,era_2023_2024_average_stress_r,era_2023_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,selection_adjusted_pvalue,statistical_pass
25142,f992c229145fe3e7,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.25}",3,1.75,ATTEMPT_ASCENDING,246,20.243832236171173,1.2442965098664567,0.08229200096004542,7.099774899358508,65,2.2083871669253528,1.1007616646848934,0.03397518718346697,3.6516120945894954,75,5.294495882769752,1.2008658910902992,0.07059327843693003,6.4651185608134725,66,7.900463904671975,1.4044075740951485,0.11970399855563599,3.7030523043036934,40,4.840485281804096,1.3215279818921577,0.12101213204510239,7.099774899358513,10.231415726927182,0.07010650042415136,40,1.1007616646848934,0.03397518718346697,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25143,9bfef9192117fe23,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.25}",3,1.75,ATTEMPT_DESCENDING,247,17.643375598948168,1.2170088657333067,0.0714306704410857,7.099774899358511,66,0.33029473807079324,1.0146382890335561,0.005004465728345352,5.429029531089176,75,6.448641165296049,1.257956275030951,0.08598188220394733,4.986818800508798,66,8.287890346342628,1.4500484566903695,0.12557409615670648,3.6943212113028556,40,2.5765493492386997,1.1681350711939555,0.0644137337309675,7.099774899358514,7.633676062048378,0.10172137294999117,40,1.0146382890335561,0.005004465728345352,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25144,248fd21d790d1d27,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.5}",3,2.0,ATTEMPT_ASCENDING,246,21.232346705695022,1.2098947134698668,0.08631035246217489,8.158263426389256,65,3.6967654448488148,1.1396814719178274,0.05687331453613561,3.787962514664592,75,4.497131246299255,1.1395098809436162,0.059961749950656736,8.158263426389258,66,8.471794525555161,1.332162662141969,0.12836052311447213,3.923509722634196,40,4.566655488991792,1.2693989666187964,0.1141663872247948,7.107558139044382,11.219930196451031,0.07873204119593825,40,1.1395098809436162,0.05687331453613561,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": true, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25145,d71d2c54530195e1,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.5}",3,2.0,ATTEMPT_DESCENDING,247,18.55843748923643,1.1831423877678917,0.07513537445034991,7.107558139044379,66,1.171858109498986,1.0422149550751807,0.017755425901499786,6.31286985001442,75,6.38725172265266,1.2050749612299108,0.08516335630203548,6.009456909888484,66,8.966259228075046,1.3595484100030921,0.1358524125465916,3.923509722634196,40,2.033068429009738,1.1162379380629417,0.05082671072524345,7.107558139044382,8.548737952336635,0.11657731786803992,40,1.0422149550751807,0.017755425901499786,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25146,e637b7982e89c1a0,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.75}",3,2.25,ATTEMPT_ASCENDING,246,22.220861175218875,1.1860289059278715,0.09032870396430437,9.851408291965043,65,5.185143722772276,1.1671848987829263,0.07977144188880425,4.990501126459799,75,3.6997666098287563,1.0970759782009827,0.049330221464383414,9.85140829196504,66,9.043125146438351,1.2873203118746541,0.13701704767330836,5.885264583951294,40,4.292825696179488,1.2277613044710107,0.1073206424044872,7.197420165536661,12.193541323597938,0.0975027386191736,40,1.0970759782009827,0.049330221464383414,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25147,76668e144b2166af,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":0.75}",3,2.25,ATTEMPT_DESCENDING,247,19.47349937952469,1.1604550459576048,0.07884007845961413,7.410914815357802,66,2.013421480927181,1.0610963241025158,0.030506386074654255,7.410914815357802,75,6.325862280009273,1.1696264371202505,0.08434483040012365,7.039325579920261,66,9.64462810980746,1.30657220809287,0.14613072893647666,5.885264583951294,40,1.489587508780776,1.0757794926129878,0.037239687719519396,7.197420165536661,9.446179527903755,0.14102078128662135,40,1.0610963241025158,0.030506386074654255,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25148,d05a0ffafe68efcd,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":1.0}",3,2.5,ATTEMPT_ASCENDING,246,23.20937564474272,1.1685016718203747,0.09434705546643382,12.289158076090324,65,6.67352200069574,1.1876526171088755,0.10266956924147291,6.367154071638773,75,2.902401973358257,1.0659802872060775,0.03869869297811009,11.882634718399382,66,9.614455767321541,1.2567752239916559,0.14567357223214455,8.024357684241153,40,4.018995903367185,1.1937373724006497,0.10047489758417963,7.498662966320981,9.923155166727012,0.12104434712561825,40,1.0659802872060775,0.03869869297811009,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25149,7a2c9efd3c628544,"{""23925"":0.75,""24877"":0.0,""24995"":0.75,""25048"":1.0}",3,2.5,ATTEMPT_DESCENDING,247,20.388561269812946,1.1441957401147043,0.08254478246887832,8.813799168501536,66,2.854984852355374,1.0748349323830764,0.04325734624780869,8.508959780701181,75,6.264472837365885,1.1442102125757838,0.0835263044982118,8.407275810810596,66,10.322996991539874,1.271789626471312,0.15640904532636174,8.024357684241153,40,0.9461065885518147,1.0433533244886986,0.023652664713795367,7.498662966320982,7.089083092523941,0.16788755281940088,40,1.0433533244886986,0.023652664713795367,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25150,613cbe62a314a082,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.25}",3,2.0,ATTEMPT_ASCENDING,246,23.5273994201683,1.2453746182121794,0.09563983504133455,9.258651236913373,65,2.4922590452484545,1.099148946066269,0.038342446849976224,4.121497286585992,75,5.504422114433929,1.1745896544825545,0.07339229485911905,7.999499281092616,66,9.245402685851243,1.425165656065748,0.140081858876534,4.508849106857004,40,6.285315574634674,1.3596974753763154,0.15713288936586683,9.258651236913373,10.177510741176313,0.07890317294827369,40,1.099148946066269,0.038342446849976224,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": true, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
25151,c0a17d4d653883e9,"{""23925"":0.75,""24877"":0.0,""24995"":1.0,""25048"":0.25}",3,2.0,ATTEMPT_DESCENDING,247,20.270427183094288,1.216806322355736,0.08206650681414691,9.258651236913373,66,0.20374077560746695,1.0079020347779537,0.003086981448597984,6.01886716989883,75,6.7979574265266205,1.2294653075934774,0.09063943235368828,6.2398842516649236,66,9.912110940607171,1.4872379619042337,0.15018349910010864,4.773371694271889,40,3.3566180403530326,1.1891740352261007,0.08391545100882582,9.258651236913375,6.9241611338945654,0.11258905371761517,40,1.0079020347779537,0.003086981448597984,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": true, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
