"copied_file","source_dir","source_file","bytes","sha256"
"bi_bear_break_run_h1h4_rr2_summary.json","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_summary.json","63539","7bf9e3f643463ab5d34ee38a32523128639c2603eb0bd70383c86445ad969844"
"bi_bear_break_run_h1h4_rr2_trades.csv","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv","82546","e5f6fe90b04731880bed83b22acfc4293b2ab16e6ee758404a03e673f24d0a51"
"bi_bear_ema_pullback_h1h4_rr2_summary.json","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_ema_pullback_h1h4_rr2_summary.json","69495","393c6cc3ff50d5ce798b96b03bbc7feba270afd6bc05a756f2bb84e14906197d"
"bi_bear_ema_pullback_h1h4_rr2_trades.csv","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_ema_pullback_h1h4_rr2_trades.csv","90197","4eb8c2315ffc79f9fa0bc949b8416eaee1fc95ac5b7eeea30a371948ee7b318b"
"bi_bear_m5_ema_h1_only_rr2_morefreq_summary.json","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1_only_rr2_morefreq_summary.json","68533","e5fa6aa8b6998f6572356337b08c09688c0b0fa80b200e3432c369c40d409daa"
"bi_bear_m5_ema_h1_only_rr2_morefreq_trades.csv","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1_only_rr2_morefreq_trades.csv","81434","529b5eaa280b3fbb25293dd0b95e17f31a1a14a709d5f41188e0df8545087e66"
"bi_bear_m5_ema_h1h4_rr2_fast_slope_summary.json","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_summary.json","65817","0fd9c5bb958e024f573f9e3588eec67b204cca1205e203b8c2cedaf825b21295"
"bi_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv","75452","4dabd049cd6eacbaaf3557c41bd3b3e723f666a1c899e9e2bd388b1f00beebdb"
"bi_bear_m5_ema_h1h4_rr2_strict_body_summary.json","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_strict_body_summary.json","67993","c3a1a6cab564237365a2f66720c6382907ea85f7c7922e1181b8efdc46b1fa7d"
"bi_bear_m5_ema_h1h4_rr2_strict_body_trades.csv","a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701","A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_strict_body_trades.csv","80176","2931287e0fdee62ed4fa52babbd06d9f0178d1884e972b32d3128f2451d46b00"
