timestamp_broker	timestamp_local	run_id	account	symbol	magic	stage	direction	reason	bid	ask	spread_points	recent_high	recent_low	signal_open	signal_high	signal_low	signal_close	atr	body_fraction	close_location	three_bar_move_atr	break_distance_atr	estimated_cost_r
2022.07.01 00:00:00	2022.07.01 00:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1806.55	1806.69	14	1807.02	1804.99	1806.94	1807.10	1806.34	1806.55	0.61	0.5132	0.2763	0.9127	0.0000	0.0000
2022.07.01 01:00:00	2022.07.01 01:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1806.40	1806.47	7	1807.22	1803.49	1806.33	1806.68	1806.20	1806.39	0.92	0.1250	0.3958	2.3061	0.0000	0.0000
2022.07.01 02:00:00	2022.07.01 02:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1804.56	1804.61	5	1806.95	1804.63	1805.41	1805.47	1804.51	1804.56	1.07	0.8854	0.0521	-0.6466	0.0000	0.0000
2022.07.01 03:00:00	2022.07.01 03:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1804.37	1804.43	6	1806.55	1804.04	1805.20	1805.23	1804.22	1804.37	0.86	0.8218	0.1485	-0.7460	0.0000	0.0000
2022.07.01 04:00:00	2022.07.01 04:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1801.46	1801.48	2	1805.23	1801.34	1801.77	1802.26	1801.33	1801.46	0.79	0.3333	0.1398	-1.6018	0.0000	0.0000
2022.07.01 05:00:00	2022.07.01 05:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1802.89	1802.98	9	1803.13	1800.91	1802.90	1803.12	1802.74	1802.89	0.85	0.0263	0.3947	1.6884	0.0000	0.0000
2022.07.01 06:00:00	2022.07.01 06:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1797.46	1797.51	5	1803.12	1795.27	1797.78	1798.30	1797.46	1797.46	1.43	0.3810	0.0000	0.7295	0.0000	0.0000
2022.07.01 07:00:00	2022.07.01 07:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1798.03	1798.05	2	1799.73	1796.13	1796.80	1798.37	1796.80	1798.03	1.32	0.7834	0.7834	1.0233	0.0000	0.0000
2022.07.01 08:00:00	2022.07.01 08:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1794.81	1794.83	2	1798.58	1792.40	1794.74	1795.21	1793.90	1794.75	1.91	0.0076	0.6489	-0.8124	0.0000	0.0000
2022.07.01 09:00:00	2022.07.01 09:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1794.90	1794.98	8	1795.21	1793.06	1793.18	1795.93	1792.56	1794.90	1.28	0.5104	0.6944	0.9057	0.0000	0.0000
2022.07.01 10:00:00	2022.07.01 10:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1795.69	1795.70	1	1797.06	1792.56	1795.19	1795.93	1795.06	1795.63	1.37	0.5057	0.6552	0.5096	0.0000	0.0000
2022.07.01 11:00:00	2022.07.01 11:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1789.89	1789.95	6	1795.94	1789.76	1790.18	1790.74	1789.49	1789.83	1.64	0.2800	0.2720	-0.1590	0.0000	0.0000
2022.07.01 12:00:00	2022.07.01 12:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1790.51	1790.54	3	1791.67	1785.22	1787.56	1790.70	1787.42	1790.51	1.88	0.8994	0.9421	2.6854	0.0000	0.0000
2022.07.01 13:00:00	2022.07.01 13:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1789.85	1789.86	1	1791.12	1784.45	1788.82	1790.94	1788.17	1789.85	2.45	0.3718	0.6065	0.6126	0.0000	0.0000
2022.07.01 14:00:00	2022.07.01 14:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1794.22	1794.31	9	1798.47	1788.17	1794.64	1794.71	1792.60	1794.21	3.19	0.2038	0.7630	0.1349	0.0000	0.0000
2022.07.01 15:00:00	2022.07.01 15:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1800.79	1800.80	1	1804.54	1792.60	1800.97	1802.04	1799.87	1800.78	2.99	0.0876	0.4194	-0.0201	0.0000	0.0000
2022.07.01 16:00:00	2022.07.01 16:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1806.38	1806.44	6	1808.81	1799.87	1807.75	1808.13	1806.38	1806.38	2.03	0.7829	0.0000	-0.2707	0.0000	0.0000
2022.07.01 17:00:00	2022.07.01 17:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	WOULD_SIGNAL	SHORT	R2_H1_EMA_PULLBACK_REJECTION_SHORT_H1	1799.38	1799.40	2	1808.13	1800.51	1800.85	1801.26	1799.07	1799.38	1.46	0.6712	0.1416	-1.5244	0.1261	0.0018
2022.07.01 18:00:00	2022.07.01 18:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1804.87	1804.92	5	1805.38	1797.93	1805.01	1805.65	1804.21	1804.87	1.37	0.0972	0.4583	0.7307	0.0000	0.0000
2022.07.01 19:00:00	2022.07.01 19:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1809.04	1809.05	1	1809.32	1804.21	1808.39	1809.16	1808.18	1809.06	0.93	0.6837	0.8980	0.8400	0.0000	0.0000
2022.07.01 20:00:00	2022.07.01 20:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1805.37	1805.47	10	1809.27	1805.72	1805.82	1806.08	1805.15	1805.38	1.17	0.4731	0.2473	-1.3394	0.0000	0.0000
2022.07.03 22:02:00	2022.07.03 22:02:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1811.41	1811.53	12	1808.59	1805.15	1808.96	1809.08	1808.68	1808.94	0.87	0.0500	0.6500	1.6928	0.0000	0.0000
2022.07.03 23:00:00	2022.07.03 23:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1810.05	1810.19	14	1811.79	1808.68	1809.39	1810.05	1809.35	1810.05	0.99	0.9429	1.0000	0.3849	0.0000	0.0000
2022.07.04 00:00:00	2022.07.04 00:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1808.12	1808.26	14	1810.49	1808.35	1808.65	1808.76	1808.06	1808.12	0.69	0.7571	0.0857	-1.6087	0.0000	0.0000
2022.07.04 01:00:00	2022.07.04 01:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1808.25	1808.34	9	1811.49	1807.67	1808.40	1808.94	1808.01	1808.22	0.97	0.1935	0.2258	-0.2781	0.0000	0.0000
2022.07.04 02:00:00	2022.07.04 02:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1808.13	1808.21	8	1808.94	1805.58	1807.71	1808.56	1807.66	1808.12	1.05	0.4556	0.5111	1.9796	0.0000	0.0000
2022.07.04 03:00:00	2022.07.04 03:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1809.59	1809.67	8	1814.26	1807.66	1809.16	1809.72	1808.91	1809.59	1.25	0.5309	0.8395	0.1834	0.0000	0.0000
2022.07.04 04:00:00	2022.07.04 04:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1811.48	1811.50	2	1813.42	1808.91	1812.08	1812.15	1811.47	1811.48	0.75	0.8824	0.0147	-0.2402	0.0000	0.0000
2022.07.04 05:00:00	2022.07.04 05:00:00	BT_A1_XAU_R2_PULLBACK_SHORT_H1_CONFIRM	1025742	XAUUSD	932200	NO_SIGNAL	NONE	no_h1_independent_candidate	1812.43	1812.52	9	1812.49	1810.78	1812.46	1812.66	1812.37	1812.42	0.70	0.1379	0.1724	0.7293	0.0000	0.0000
