specialist_id,owned_regime,source_candidate,family,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256,aggregate_trades,aggregate_wins,aggregate_win_rate,aggregate_net_pips,aggregate_pnl_usd_001_lot,aggregate_stress_net_r,aggregate_average_r,aggregate_stress_profit_factor,aggregate_positive_active_month_share,aggregate_maximum_drawdown_r,aggregate_removed_profit_factor,aggregate_gate_pass,dev1_trades,dev1_stress_profit_factor,dev1_average_r,dev1_removed_profit_factor,dev2_trades,dev2_stress_profit_factor,dev2_average_r,dev2_removed_profit_factor,dev3_trades,dev3_stress_profit_factor,dev3_average_r,dev3_removed_profit_factor,development_pass,minimum_block_profit_factor,profile,reference_hours,decision_hours,buffer_atr,body_min
CAP_EURHUNT01_0001,trend_up,EURHUNT01_0001,v1_archetype,trend_pullback_long,long,0.0,0.75,0.75,24,4f71f7cea891a709d20c5aa32cf31597af5c832bdafdd7440a0965e96e619de4,316,159,0.5031645569620253,-501.20379634243125,-50.12037963424313,-61.20259291957835,-0.193679091517653,0.6365211075034032,0.21666666666666667,61.202592919578294,0.5944292899498115,False,95,0.46586183678776977,-0.3292587188464796,0.4060115613759523,115,0.6751258464655425,-0.16811945896140262,0.6151802528197364,106,0.7895099915577798,-0.09989883819435368,0.7199658662767753,False,0.46586183678776977,,,,,
CAP_EURHUNT01_0002,trend_up,EURHUNT01_0002,v1_archetype,trend_pullback_long,long,0.0,0.75,1.0,24,085586348195c484df2a01a53e0ad8b202b5f09210f0a8cfdcbc13dba4e04ccb,301,135,0.4485049833887043,-435.39218042143193,-43.5392180421432,-53.1353448941596,-0.17652938503043056,0.7014917677237602,0.26666666666666666,55.347324998167636,0.6477482307021502,False,91,0.4984003035618634,-0.340572110257054,0.4214435816022484,109,0.7507836981290442,-0.14332242240641527,0.6742016870258722,101,0.8781810992287662,-0.06456573087592488,0.7897432743044013,False,0.4984003035618634,,,,,
CAP_EURHUNT01_0003,trend_up,EURHUNT01_0003,v1_archetype,trend_pullback_long,long,0.0,0.75,1.25,24,32be5ebf5961d0f25609c73a183bbae10157938a9c9456646d0a43fcd13b4ef7,290,117,0.40344827586206894,-408.29766412899403,-40.8297664128994,-48.073907427017396,-0.16577209457592204,0.7407730235091875,0.4,56.55875971468443,0.6757289600975761,False,87,0.5274244437263942,-0.34137467205494576,0.4318756513429395,103,0.7175047779729834,-0.18359680039387669,0.6271182724151778,100,1.0096320808107482,0.005361594823321903,0.9022647988922939,False,0.5274244437263942,,,,,
CAP_EURHUNT01_0004,trend_up,EURHUNT01_0004,v1_archetype,trend_pullback_long,long,0.0,0.75,1.5,24,e21c905435d446c9ebe491c2097173c252f503ca7e89884573cf7314585a6a36,279,97,0.34767025089605735,-561.9687113509979,-56.19687113509979,-56.96548416479307,-0.20417736259782462,0.7078668919191925,0.3333333333333333,67.46399230380986,0.6334407484850795,False,85,0.5606584478578154,-0.33038606660557235,0.4471709005817548,100,0.5913295344700398,-0.3040243924802128,0.49378201634685087,94,1.0268109908220386,0.01616777387980719,0.8995567242791395,False,0.5606584478578154,,,,,
CAP_EURHUNT01_0005,trend_up,EURHUNT01_0005,v1_archetype,trend_pullback_long,long,0.0,0.75,2.0,24,1a0c96c64842540730960ea8802d18ca1d5d5c4a02303bc0d4eebba189afe2ea,271,78,0.2878228782287823,-586.6832257855491,-58.668322578554914,-56.83852530180434,-0.20973625572621526,0.7250980401503018,0.26666666666666666,69.38358827939092,0.6307966808507193,False,82,0.4751025422935372,-0.4432053452352325,0.3342662682815245,99,0.7016477190075099,-0.2306410470205774,0.5743516757120516,90,1.0383308734981949,0.02597529625024318,0.8791362542255093,False,0.4751025422935372,,,,,
CAP_EURHUNT01_0006,trend_up,EURHUNT01_0006,v1_archetype,trend_pullback_long,long,0.0,1.0,0.75,24,77ceb706dad3cc71d33344473d4981e1e0ae24847fee852919703703690f2eb4,285,141,0.49473684210526314,-671.0989806409825,-67.10989806409826,-54.0826015458084,-0.18976351419581897,0.6437319980936326,0.2,54.08260154580841,0.5964997401557262,False,88,0.4617106666875617,-0.33372810004674747,0.39617931283383995,101,0.6906028529375592,-0.15910135772842132,0.6215710124405409,96,0.8091872925206142,-0.09005512094920892,0.7307143301743585,False,0.4617106666875617,,,,,
CAP_EURHUNT01_0007,trend_up,EURHUNT01_0007,v1_archetype,trend_pullback_long,long,0.0,1.0,1.0,24,19007d19b6b86761a7ecee7ee943c0b90203b221f4c62545ae24097bfdc15923,267,117,0.43820224719101125,-642.6605564739067,-64.26605564739067,-47.75809204784973,-0.17886925860617875,0.6977495247223692,0.25,51.72920985460682,0.6365804919829776,False,82,0.4953424786618898,-0.34220900030701434,0.40857365930265216,92,0.7136742877417833,-0.16798092694319564,0.6240887039028429,93,0.912394403502191,-0.04562052412796307,0.8133876314152141,False,0.4953424786618898,,,,,
CAP_EURHUNT01_0008,trend_up,EURHUNT01_0008,v1_archetype,trend_pullback_long,long,0.0,1.0,1.25,24,be18656f1359d799e69c6eca9b1ba8a9f0aaf8dd7420ead3db41fdf2d6434068,258,99,0.38372093023255816,-733.9197641438799,-73.391976414388,-49.447784334551486,-0.19165807881609104,0.7046400972260961,0.35,56.997213161212905,0.6321674198081161,False,80,0.49061719886458227,-0.37407604218338186,0.38721715027240633,90,0.6820224892042803,-0.2092310061511185,0.5797431423812988,88,0.9860267320896406,-0.007851254616821114,0.8639719131644383,False,0.49061719886458227,,,,,
CAP_EURHUNT01_0009,trend_up,EURHUNT01_0009,v1_archetype,trend_pullback_long,long,0.0,1.0,1.5,24,546b23263464918f7178659d9d7d13e80a33e861e1d3cadd7a86ac80e1766e6c,249,83,0.3333333333333333,-796.1699570234314,-79.61699570234315,-55.173957882361194,-0.22158216017012528,0.6844275183240208,0.31666666666666665,65.48409708710045,0.6007341849431294,False,78,0.4772902057320256,-0.40777776645417146,0.3569520962103204,88,0.6680512371793275,-0.23554050973775958,0.5510301933289627,83,0.9487889434688046,-0.03180394267485516,0.8075193705863891,False,0.4772902057320256,,,,,
CAP_EURHUNT01_0010,trend_up,EURHUNT01_0010,v1_archetype,trend_pullback_long,long,0.0,1.0,2.0,24,d86c3d66fdd3a028af256563586ef6b8105fd3fa4a88dba4a4f3e5220c4b9175,243,63,0.25925925925925924,-964.4910829308141,-96.44910829308141,-69.57938946534793,-0.28633493607139066,0.6332925029996662,0.26666666666666666,70.45745997754055,0.5299111038504315,False,77,0.46766456280006946,-0.4422560159231258,0.31443766098176545,87,0.7383876963424792,-0.19753315712253064,0.5890956609610032,79,0.6947363123524819,-0.23215558948869688,0.5319422831673735,False,0.46766456280006946,,,,,
