specialist_id,owned_regime,source_candidate,family,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256,aggregate_trades,aggregate_wins,aggregate_win_rate,aggregate_net_pips,aggregate_pnl_usd_001_lot,aggregate_stress_net_r,aggregate_average_r,aggregate_stress_profit_factor,aggregate_positive_active_month_share,aggregate_maximum_drawdown_r,aggregate_removed_profit_factor,aggregate_gate_pass,dev1_trades,dev1_stress_profit_factor,dev1_average_r,dev1_removed_profit_factor,dev2_trades,dev2_stress_profit_factor,dev2_average_r,dev2_removed_profit_factor,dev3_trades,dev3_stress_profit_factor,dev3_average_r,dev3_removed_profit_factor,development_pass,minimum_block_profit_factor,profile,reference_hours,decision_hours,buffer_atr,body_min,selection_score
CAP_SESSION_0162,chop,CAP_SESSION_0162,session_expansion,session_expansion_short,short,0.0,1.75,2.0,12,7e50c0936850cbe80033cb77e3a1ba47151bd2e1ce139e66842dba5ea7ec704d,194,91,0.4690721649484536,889.3535091136389,88.9353509113639,31.14898400888369,0.1605617732416685,1.3256727959560783,0.6140350877192983,8.087409196598795,1.118917591086223,True,54,1.3029917736807382,0.14692293629234823,0.9257833936442925,59,1.2638556086229018,0.13362339132908424,0.9336441237094585,81,1.3873426422289552,0.18927611556396207,1.1375379448815037,True,1.2638556086229018,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.0,0.55,1.118917591086223
CAP_EURHUNT01_0496,compression,EURHUNT01_0496,v1_archetype,compression_breakout_long,long,0.95,1.5,0.75,24,c271bf440285d684016b588e1c041792312696996cb7da41ad6076a326250329,125,79,0.632,206.7313601217413,20.67313601217413,7.786617135255911,0.062292937082047285,1.1621087262926588,0.5588235294117647,8.00450534286312,1.0122136037259677,True,38,1.0479909870390745,0.019672712168753666,0.8171212083527193,47,1.1845877124690904,0.069870888331238,0.9826455304591778,40,1.2560511796750482,0.09387805803187713,1.0112204504717979,True,1.0479909870390745,,,,,,1.0122136037259677
