specialist_id,stage,decision_eligible,raw_gate_pass,promoted,trades,source_days,trades_per_source_day,net_r,stress_net_r,stress_pf,average_stress_r,win_rate,positive_active_month_share,active_months,closed_drawdown_r,top_winners_removed,top_winners_removed_stress_net_r
R1_H1_TREND_PULLBACK_LONG_V1,train,True,False,False,75,1244,0.06028938906752412,-21.230270837118955,-35.81702424142353,0.41483543408673546,-0.4775603232189804,0.26666666666666666,0.25806451612903225,31,37.71411601188606,10,-54.21336577608987
R1_H1_TREND_PULLBACK_LONG_V1,validation,False,False,False,39,621,0.06280193236714976,4.376089399134847,-0.490495319167662,0.9809237340998048,-0.012576803055581077,0.41025641025641024,0.42857142857142855,14,10.368251668732762,5,-9.97415431053004
R1_H1_TREND_PULLBACK_LONG_V1,internal_test,False,False,False,43,620,0.06935483870967742,-1.0674715455697443,-6.582900586589295,0.7899070229300956,-0.1530907113160301,0.32558139534883723,0.2222222222222222,18,11.721133482979054,5,-16.027059802349363
R1_H1_TREND_PULLBACK_LONG_V1,exam,False,False,False,64,624,0.10256410256410256,4.742924888321717,-0.9690145893759041,0.9770163146495752,-0.015140852958998502,0.359375,0.3157894736842105,19,9.995358140437242,5,-10.819107725246228
R2_H1_TREND_PULLBACK_SHORT_V1,train,True,False,False,67,1244,0.053858520900321546,-3.160889192906544,-16.811843366633884,0.6792014989197859,-0.2509230353228938,0.31343283582089554,0.28,25,21.49640903288963,10,-35.10152314387772
R2_H1_TREND_PULLBACK_SHORT_V1,validation,False,False,False,37,621,0.05958132045088567,-0.8609921831029386,-5.362476579699669,0.7940208498199509,-0.1449317994513424,0.35135135135135137,0.4,15,10.293513080221844,5,-14.837104771023151
R2_H1_TREND_PULLBACK_SHORT_V1,internal_test,False,False,False,38,620,0.06129032258064516,-8.575979442756799,-13.567278692834007,0.5559733443714883,-0.3570336498114212,0.2631578947368421,0.26666666666666666,15,21.824596525679706,5,-22.937260319198842
R2_H1_TREND_PULLBACK_SHORT_V1,exam,False,False,False,22,624,0.035256410256410256,0.15003372627661005,-1.5558642220037475,0.8960782029870005,-0.07072110100017034,0.3181818181818182,0.4444444444444444,9,6.975387417266975,5,-11.183087569137049
R3_H1_COMPRESSION_BREAK_RETEST_V1,train,True,False,False,2,1244,0.001607717041800643,1.0,0.7535185199595611,1.6735151986018988,0.37675925997978055,0.5,1.0,1,0.0,2,0.0
R3_H1_COMPRESSION_BREAK_RETEST_V1,validation,False,False,False,2,621,0.00322061191626409,1.0,0.6439788790587344,1.5466878397277881,0.3219894395293672,0.5,0.5,2,0.0,2,0.0
R3_H1_COMPRESSION_BREAK_RETEST_V1,internal_test,False,False,False,0,620,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,0.0
R3_H1_COMPRESSION_BREAK_RETEST_V1,exam,False,False,False,0,624,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,0.0
R4_M15_SESSION_EXPANSION_V1,train,True,False,False,0,1244,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,0.0
R4_M15_SESSION_EXPANSION_V1,validation,False,False,False,1,621,0.001610305958132045,-1.0,-1.0908715334481132,0.0,-1.0908715334481132,0.0,0.0,1,0.0,1,0.0
R4_M15_SESSION_EXPANSION_V1,internal_test,False,False,False,1,620,0.0016129032258064516,1.5,1.4125815453656683,inf,1.4125815453656683,1.0,1.0,1,0.0,1,0.0
R4_M15_SESSION_EXPANSION_V1,exam,False,False,False,0,624,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,0.0
R5_M30_CHOP_ROTATION_V1,train,True,False,False,48,1244,0.03858520900321544,3.0618854735586574,-6.66514368587549,0.7746709735252033,-0.13885716012240604,0.4583333333333333,0.4074074074074074,27,13.283484232411654,10,-19.865424297297714
R5_M30_CHOP_ROTATION_V1,validation,False,False,False,38,621,0.061191626409017714,7.2794734081380135,1.8677830437936818,1.0900302115001947,0.049152185362991624,0.47368421052631576,0.5,18,4.660169862625372,5,-6.701354819890545
R5_M30_CHOP_ROTATION_V1,internal_test,False,False,False,31,620,0.05,-3.2118639158392104,-7.667472479600253,0.6449762662694629,-0.2473378219225888,0.3548387096774194,0.35714285714285715,14,13.46072528738547,5,-16.393854822602233
R5_M30_CHOP_ROTATION_V1,exam,False,False,False,38,624,0.060897435897435896,-17.48719942799385,-21.197431860669436,0.315666024483962,-0.5578271542281431,0.23684210526315788,0.14285714285714285,21,24.401853899233746,5,-28.146831487725947
