schema_version	run_id	timestamp_broker	symbol	router_source_commit	router_source_blob	source_equivalence_sha256	h1_bar_count	h4_bar_count	d1_bar_count	h1_shift1_time	h1_shift1_high	h1_shift1_low	h1_shift1_range	h1_atr14_shift1	h1_shock_ratio	h4_shift1_time	h4_close_shift1	h4_ema20_shift1	h4_ema50_shift1	h4_ema20_shift6	h4_ema50_shift6	d1_shift1_time	d1_close_shift1	d1_close_shift2	d1_ema20_shift1	d1_ema50_shift1	d1_ema20_shift2	d1_ema50_shift2	d1_ema20_shift6	d1_ema50_shift6	d1_ema20_shift7	d1_ema50_shift7	d1_atr14_shift1	d1_atr_percentile_60_shift1	d1_atr_percentile_252_shift1	d1_box_high_5	d1_box_low_5	d1_box_width_5	d1_box_average_5	d1_median_range_20	d1_compression_box_to_median_ratio	data_available	state_code	state_name	native_error_code
a1_xau_r6_native_router_row_v1	run1	2016-07-01T00:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6406	1731	337	2016-06-30T23:00:00	1326.49	1320.51	5.9800000000000182	4.0364285714286039	1.4815076977526027	2016-06-30T20:00:00	1321.6600000000001	1316.8911320171958	1306.1322732981546	1314.8715057930081	1303.1095470518776	2016-06-30T00:00:00	1321.6600000000001	1315.9000000000001	1291.7984185621472	1271.1980597558459	1288.6550942002677	1269.1383887254722	1272.7389074298253	1260.0645291526894	1268.2198450540175	1257.7949180976971	25.011428571428514	100	99.603174603174608	1335.23	1305.4000000000001	29.829999999999927	5.9659999999999851	14.840000000000032	0.4020215633423162	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-01T04:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6410	1732	337	2016-07-01T03:00:00	1331.01	1327.46	3.5499999999999545	4.2864285714285879	0.82819530078318904	2016-07-01T00:00:00	1330.4000000000001	1318.1776908727009	1307.0839488550898	1314.9256480984359	1303.5930942263137	2016-06-30T00:00:00	1321.6600000000001	1315.9000000000001	1291.7984185621472	1271.1980597558459	1288.6550942002677	1269.1383887254722	1272.7389074298253	1260.0645291526894	1268.2198450540175	1257.7949180976971	25.011428571428514	100	99.603174603174608	1335.23	1305.4000000000001	29.829999999999927	5.9659999999999851	14.840000000000032	0.4020215633423162	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-01T08:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6414	1733	337	2016-07-01T07:00:00	1337.9100000000001	1330.9000000000001	7.0099999999999909	4.0414285714285834	1.7345351714386636	2016-07-01T04:00:00	1334.95	1319.7750536467295	1308.1767351744979	1315.182253041442	1304.1431689625367	2016-06-30T00:00:00	1321.6600000000001	1315.9000000000001	1291.7984185621472	1271.1980597558459	1288.6550942002677	1269.1383887254722	1272.7389074298253	1260.0645291526894	1268.2198450540175	1257.7949180976971	25.011428571428514	100	99.603174603174608	1335.23	1305.4000000000001	29.829999999999927	5.9659999999999851	14.840000000000032	0.4020215633423162	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-01T12:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6418	1734	337	2016-07-01T11:00:00	1335.46	1332.5699999999999	2.8900000000001	4.0714285714285561	0.709824561403536	2016-07-01T08:00:00	1332.6800000000001	1321.0040961565646	1309.1376475205961	1315.5953717993998	1304.7461819443981	2016-06-30T00:00:00	1321.6600000000001	1315.9000000000001	1291.7984185621472	1271.1980597558459	1288.6550942002677	1269.1383887254722	1272.7389074298253	1260.0645291526894	1268.2198450540175	1257.7949180976971	25.011428571428514	100	99.603174603174608	1335.23	1305.4000000000001	29.829999999999927	5.9659999999999851	14.840000000000032	0.4020215633423162	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-01T16:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6422	1735	337	2016-07-01T15:00:00	1338.03	1334.46	3.5699999999999363	4.1414285714285572	0.86202138668505135	2016-07-01T12:00:00	1335.6199999999999	1322.3960869987964	1310.1761711472393	1316.3891459137426	1305.498488534814	2016-06-30T00:00:00	1321.6600000000001	1315.9000000000001	1291.7984185621472	1271.1980597558459	1288.6550942002677	1269.1383887254722	1272.7389074298253	1260.0645291526894	1268.2198450540175	1257.7949180976971	25.011428571428514	100	99.603174603174608	1335.23	1305.4000000000001	29.829999999999927	5.9659999999999851	14.840000000000032	0.4020215633423162	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-01T20:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6426	1736	337	2016-07-01T19:00:00	1344.49	1336.6900000000001	7.7999999999999545	4.0914285714285539	1.9064245810055838	2016-07-01T16:00:00	1344.3	1324.482173951292	1311.5143605140142	1316.8911320171958	1306.1322732981546	2016-06-30T00:00:00	1321.6600000000001	1315.9000000000001	1291.7984185621472	1271.1980597558459	1288.6550942002677	1269.1383887254722	1272.7389074298253	1260.0645291526894	1268.2198450540175	1257.7949180976971	25.011428571428514	100	99.603174603174608	1335.23	1305.4000000000001	29.829999999999927	5.9659999999999851	14.840000000000032	0.4020215633423162	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-03T20:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6426	1737	338	2016-07-01T20:00:00	1344.3	1339.9000000000001	4.3999999999998636	4.1285714285714095	1.0657439446366501	2016-07-01T20:00:00	1342.28	1326.1772050035499	1312.7208561801315	1318.1776908727009	1307.0839488550898	2016-07-01T00:00:00	1342.28	1321.6600000000001	1296.6061882228951	1273.9855868242441	1291.7984185621472	1271.1980597558459	1278.4380591031754	1262.9082731074859	1272.7389074298253	1260.0645291526894	25.414285714285665	100	100	1344.49	1305.4000000000001	39.089999999999918	7.8179999999999836	14.840000000000032	0.52681940700808405	true	1	shock	0
a1_xau_r6_native_router_row_v1	run1	2016-07-04T00:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6429	1738	339	2016-07-03T23:00:00	1344.8299999999999	1340.97	3.8599999999999	3.8942857142856973	0.99119589141597275	2016-07-03T20:00:00	1342.77	1327.7574711936879	1313.8992539769893	1319.7750536467295	1308.1767351744979	2016-07-03T00:00:00	1342.77	1342.28	1301.0027417254764	1276.6830147919209	1296.6061882228951	1273.9855868242441	1282.825862998111	1265.324027103271	1278.4380591031754	1262.9082731074859	23.111428571428522	88.333333333333329	94.047619047619051	1344.8299999999999	1305.4000000000001	39.429999999999836	7.8859999999999673	14.634999999999991	0.5388452340280131	true	2	uptrend	0
a1_xau_r6_native_router_row_v1	run1	2016-07-04T04:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6433	1739	339	2016-07-04T03:00:00	1347.78	1342.74	5.0399999999999636	5.1649999999999814	0.97579864472410105	2016-07-04T00:00:00	1345.8499999999999	1329.4805691752415	1315.1522244092641	1321.0040961565646	1309.1376475205961	2016-07-03T00:00:00	1342.77	1342.28	1301.0027417254764	1276.6830147919209	1296.6061882228951	1273.9855868242441	1282.825862998111	1265.324027103271	1278.4380591031754	1262.9082731074859	23.111428571428522	88.333333333333329	94.047619047619051	1344.8299999999999	1305.4000000000001	39.429999999999836	7.8859999999999673	14.634999999999991	0.5388452340280131	true	2	uptrend	0
a1_xau_r6_native_router_row_v1	run1	2016-07-04T08:00:00	XAUUSD	d51340574d90a39fe0032e54e4a8252370c19058	d59338facaa01032a47c71186e64e1ba9f1dba8f	9e7b893d4af9d44540117cff2ac0e782b1d535d242f40f2ff61a8156ff5382c1	6437	1740	339	2016-07-04T07:00:00	1352.03	1345.79	6.2400000000000091	5.397142857142823	1.1561672842774045	2016-07-04T04:00:00	1349.8800000000001	1331.4233721109326	1316.514097961842	1322.3960869987964	1310.1761711472393	2016-07-03T00:00:00	1342.77	1342.28	1301.0027417254764	1276.6830147919209	1296.6061882228951	1273.9855868242441	1282.825862998111	1265.324027103271	1278.4380591031754	1262.9082731074859	23.111428571428522	88.333333333333329	94.047619047619051	1344.8299999999999	1305.4000000000001	39.429999999999836	7.8859999999999673	14.634999999999991	0.5388452340280131	true	2	uptrend	0
