schema_version	timeframe	open_time_broker	open	high	low	close	tick_volume	spread	real_volume
a1_xau_r6_native_bar_v1	D1	2015-06-01T00:00:00	1191.1300000000001	1204.2	1184.5	1188.99	65331	26	40948681
a1_xau_r6_native_bar_v1	D1	2015-06-02T00:00:00	1188.9400000000001	1196.25	1185.9200000000001	1193.5999999999999	68436	28	42121579
a1_xau_r6_native_bar_v1	D1	2015-06-03T00:00:00	1193.5999999999999	1195.48	1179.3699999999999	1185.53	70722	26	45498531
a1_xau_r6_native_bar_v1	D1	2015-06-04T00:00:00	1185.55	1186.1700000000001	1172.8599999999999	1177.6900000000001	72664	29	47296546
a1_xau_r6_native_bar_v1	D1	2015-06-05T00:00:00	1177.6900000000001	1178.53	1162.6300000000001	1171.52	62409	26	37919846
a1_xau_r6_native_bar_v1	D1	2015-06-07T00:00:00	1169.98	1171.24	1169.05	1171.1900000000001	2570	31	1340364
a1_xau_r6_native_bar_v1	D1	2015-06-08T00:00:00	1171.1900000000001	1177.5699999999999	1169.46	1173.53	72775	25	46076398
a1_xau_r6_native_bar_v1	D1	2015-06-09T00:00:00	1173.6300000000001	1182.8699999999999	1173.1300000000001	1177.23	62488	31	38326866
a1_xau_r6_native_bar_v1	D1	2015-06-10T00:00:00	1177.23	1192.23	1175.1900000000001	1186.26	70872	24	43824594
a1_xau_r6_native_bar_v1	D1	2015-06-11T00:00:00	1186.22	1187.8900000000001	1175.55	1181.5999999999999	58671	28	38105521
a1_xau_r6_native_bar_v1	D1	2015-06-12T00:00:00	1181.5899999999999	1183.9100000000001	1176.96	1181.47	51151	24	31832069
a1_xau_r6_native_bar_v1	D1	2015-06-14T00:00:00	1182.1700000000001	1186.26	1181.3900000000001	1183.8900000000001	2282	41	1186479
a1_xau_r6_native_bar_v1	D1	2015-06-15T00:00:00	1183.9100000000001	1190.3699999999999	1172.73	1185.9000000000001	62476	29	40108423
a1_xau_r6_native_bar_v1	D1	2015-06-16T00:00:00	1185.9000000000001	1187.8399999999999	1175.98	1182.05	54630	28	34148032
a1_xau_r6_native_bar_v1	D1	2015-06-17T00:00:00	1182.1400000000001	1189.05	1174.5599999999999	1184.9100000000001	58578	29	38567840
a1_xau_r6_native_bar_v1	D1	2015-06-18T00:00:00	1184.9300000000001	1205.6800000000001	1184.01	1200.3800000000001	78488	33	48431402
a1_xau_r6_native_bar_v1	D1	2015-06-19T00:00:00	1200.3800000000001	1204.1099999999999	1198.28	1200.1900000000001	58298	31	35335336
a1_xau_r6_native_bar_v1	D1	2015-06-21T00:00:00	1200.6900000000001	1200.8800000000001	1196.51	1198.9200000000001	2097	43	1108438
a1_xau_r6_native_bar_v1	D1	2015-06-22T00:00:00	1198.8900000000001	1200.02	1182.0999999999999	1185.75	56314	32	34995345
a1_xau_r6_native_bar_v1	D1	2015-06-23T00:00:00	1185.75	1188.02	1176.1400000000001	1178.6600000000001	53974	35	32885292
a1_xau_r6_native_bar_v1	D1	2015-06-24T00:00:00	1178.5599999999999	1180.22	1169.8199999999999	1175.3299999999999	51145	32	32559413
a1_xau_r6_native_bar_v1	D1	2015-06-25T00:00:00	1175.3199999999999	1178.05	1171.54	1174.3499999999999	52655	31	33785112
a1_xau_r6_native_bar_v1	D1	2015-06-26T00:00:00	1174.3499999999999	1178.5699999999999	1168.5	1175.1800000000001	63411	32	46257346
a1_xau_r6_native_bar_v1	D1	2015-06-28T00:00:00	1186.25	1187.9000000000001	1181.73	1185.46	6406	47	4716465
a1_xau_r6_native_bar_v1	D1	2015-06-29T00:00:00	1185.4200000000001	1187.03	1173.76	1179.01	93909	27	65474301
a1_xau_r6_native_bar_v1	D1	2015-06-30T00:00:00	1179.0999999999999	1180.47	1166.6900000000001	1172.1800000000001	93227	33	71737697
a1_xau_r6_native_bar_v1	D1	2015-07-01T00:00:00	1172.1700000000001	1175	1167.53	1168.1800000000001	58036	25	42745694
a1_xau_r6_native_bar_v1	D1	2015-07-02T00:00:00	1168.1800000000001	1169.51	1155.98	1165.8900000000001	58971	27	38231043
a1_xau_r6_native_bar_v1	D1	2015-07-03T00:00:00	1165.8900000000001	1170.1800000000001	1165.3900000000001	1168.5799999999999	37410	25	27423634
a1_xau_r6_native_bar_v1	D1	2015-07-05T00:00:00	1172	1174.6700000000001	1171.6600000000001	1173.0799999999999	4386	39	3324513
a1_xau_r6_native_bar_v1	D1	2015-07-06T00:00:00	1173.01	1174.3800000000001	1162.8399999999999	1169.3699999999999	70928	24	47436469
a1_xau_r6_native_bar_v1	D1	2015-07-07T00:00:00	1169.3900000000001	1169.8299999999999	1147.8399999999999	1154.46	83119	25	61258553
a1_xau_r6_native_bar_v1	D1	2015-07-08T00:00:00	1154.45	1164.6400000000001	1147.1300000000001	1156.73	95635	26	61830303
a1_xau_r6_native_bar_v1	D1	2015-07-09T00:00:00	1156.6800000000001	1167.6900000000001	1155.9300000000001	1158.0599999999999	74863	26	53162652
a1_xau_r6_native_bar_v1	D1	2015-07-10T00:00:00	1157.97	1165.3299999999999	1157.75	1163.5899999999999	59484	25	37253335
a1_xau_r6_native_bar_v1	D1	2015-07-12T00:00:00	1162.73	1164.03	1161.6099999999999	1162.4300000000001	1634	43	364335
a1_xau_r6_native_bar_v1	D1	2015-07-13T00:00:00	1162.4000000000001	1164.1300000000001	1151.0699999999999	1156.49	60804	31	35100036
a1_xau_r6_native_bar_v1	D1	2015-07-14T00:00:00	1156.48	1159.75	1152.8800000000001	1156.1500000000001	52301	28	35615438
a1_xau_r6_native_bar_v1	D1	2015-07-15T00:00:00	1156.1500000000001	1156.48	1143.21	1148.03	54746	26	37582150
a1_xau_r6_native_bar_v1	D1	2015-07-16T00:00:00	1147.99	1148.77	1142.22	1144.54	66768	28	46188469
a1_xau_r6_native_bar_v1	D1	2015-07-17T00:00:00	1144.53	1145.6800000000001	1131.0599999999999	1134.23	67766	27	42393854
a1_xau_r6_native_bar_v1	D1	2015-07-19T00:00:00	1132.5599999999999	1133.0999999999999	1129.24	1132.1300000000001	2691	38	1411296
a1_xau_r6_native_bar_v1	D1	2015-07-20T00:00:00	1132.0799999999999	1132.8800000000001	1069.72	1099.29	108242	29	70973888
a1_xau_r6_native_bar_v1	D1	2015-07-21T00:00:00	1099.27	1109.8199999999999	1098.1900000000001	1099.55	74460	27	45536807
a1_xau_r6_native_bar_v1	D1	2015-07-22T00:00:00	1099.55	1102.6300000000001	1087.02	1094.05	79738	24	46660629
a1_xau_r6_native_bar_v1	D1	2015-07-23T00:00:00	1094.0899999999999	1105.72	1087.23	1090.8800000000001	82533	24	43554158
a1_xau_r6_native_bar_v1	D1	2015-07-24T00:00:00	1090.8800000000001	1101.48	1077.2	1099.0799999999999	104473	26	59396978
a1_xau_r6_native_bar_v1	D1	2015-07-26T00:00:00	1095.5799999999999	1097.6300000000001	1095.26	1097.27	2582	36	940130
