policy_id,state_schema,short_window,long_window,minimum_profit_factor,eligible_unused_events,selected_new_trades_total,passed_development,development_1_new_trades,development_1_new_trades_per_weekday,development_1_new_net_usd,development_1_new_profit_factor,development_1_new_closed_drawdown_usd,development_1_new_top5_removed_net_usd,development_1_combined_trades,development_1_combined_trades_per_weekday,development_1_combined_net_usd,development_1_combined_profit_factor,development_1_combined_closed_drawdown_usd,development_1_combined_top5_removed_net_usd,development_2_new_trades,development_2_new_trades_per_weekday,development_2_new_net_usd,development_2_new_profit_factor,development_2_new_closed_drawdown_usd,development_2_new_top5_removed_net_usd,development_2_combined_trades,development_2_combined_trades_per_weekday,development_2_combined_net_usd,development_2_combined_profit_factor,development_2_combined_closed_drawdown_usd,development_2_combined_top5_removed_net_usd,minimum_development_new_pf
S1_W20_100_PF1P15,mechanism|action_id|direction,20,100,1.15,3593,1325,False,561,0.7155612244897959,613.1330618260774,1.6695002304802258,138.00044311398145,549.8806279315526,1147,1.4630102040816326,930.1064547127876,1.3796777506994997,238.83748501248897,792.392649800682,403,0.7735124760076776,528.082101228688,1.8104187429140364,148.60714214784397,466.0579255230468,998,1.9155470249520155,1627.899067057418,1.6745106179339988,318.01107654665077,1321.2490670574184,1.6695002304802258
S1_W20_100_PF1P1,mechanism|action_id|direction,20,100,1.1,3780,1374,False,600,0.7653061224489796,567.6066165832788,1.5555454233216515,136.53268071225597,504.3541826887538,1186,1.5127551020408163,884.5800094699887,1.3461299965692513,237.3697226107634,746.8662045578831,408,0.783109404990403,462.1826739627406,1.6600832052843257,166.95594319118965,395.06528079059046,1003,1.9251439539347408,1561.9996397914708,1.634437144181475,308.8050644396669,1255.3496397914707,1.5555454233216515
S1_W20_100_PF1P05,mechanism|action_id|direction,20,100,1.05,4076,1426,False,623,0.7946428571428571,624.388492026995,1.5961385939703114,134.87212548729607,561.5047158490734,1209,1.5420918367346939,941.3618849137049,1.3646841976610748,239.6963201635814,803.6480800015994,425,0.8157389635316699,398.88248559522697,1.5275007748614,152.2178637098274,332.8707803482356,1020,1.9577735124760076,1498.699451423957,1.5951920244992646,344.71830742315893,1192.0494514239572,1.5275007748614
S1_W40_160_PF1P15,mechanism|action_id|direction,40,160,1.15,3431,1290,False,544,0.6938775510204082,487.81015963602204,1.5080840266845406,147.69880977411378,429.2368522140289,1130,1.441326530612245,804.783552522732,1.322685761671007,265.9891196950946,667.0697476106265,397,0.761996161228407,524.8721583249279,1.7647439672015768,113.20870648940814,457.1057596259517,992,1.9040307101727447,1624.6891241536582,1.6636333383737483,273.3080800703596,1318.0391241536581,1.5080840266845406
S1_W40_160_PF1P1,mechanism|action_id|direction,40,160,1.1,3587,1336,False,561,0.7155612244897959,495.54296956083584,1.49380680330425,147.6878722741138,435.6924536880572,1147,1.4630102040816326,812.5163624475458,1.3202117230384336,265.97818219509463,674.8025575354403,414,0.7946257197696737,519.2986180528399,1.7006141054165205,113.09859219734696,448.4178678528152,1009,1.9366602687140115,1619.1155838815698,1.6468594799721314,263.7412418795632,1312.46558388157,1.49380680330425
S1_W40_160_PF1P05,mechanism|action_id|direction,40,160,1.05,3824,1407,False,585,0.7461734693877551,476.02075895917983,1.4447684553123539,150.12185554156002,416.1702430864013,1171,1.4936224489795917,792.9941518458899,1.3045075691932007,271.6455933541438,655.2803469337842,438,0.8406909788867563,483.11024625921533,1.590655442507002,152.1197746507353,412.2294960591908,1033,1.982725527831094,1582.9272120879455,1.6135952257453212,266.3466923586681,1276.2772120879454,1.4447684553123539
S1_W20_100_PF1P0,mechanism|action_id|direction,20,100,1.0,4294,1490,False,654,0.8341836734693877,601.7000107709446,1.5338923411206462,128.61055065332445,538.8162345930231,1240,1.5816326530612246,918.6734036576546,1.3452458635494169,241.50748838516526,780.9595987455491,434,0.8330134357005758,352.36143721509825,1.4418350911023816,145.41650148215794,286.3497319681069,1029,1.9750479846449136,1452.1784030438282,1.5674054417578749,362.91306639091425,1145.5284030438283,1.4418350911023816
S3_W20_100_PF1P15,mechanism|action_id|h4adx,20,100,1.15,3475,1369,False,545,0.6951530612244898,459.6300554940515,1.4689656642440556,147.69310096232698,397.39945839050597,1131,1.4426020408163265,776.6034483807614,1.308909989506467,260.5900386941678,638.889643468656,467,0.8963531669865643,407.8496422193052,1.4335893862106395,95.33499945055408,350.88225456632006,1062,2.0383877159309023,1507.6666080480354,1.5578843855612268,268.20802176796553,1201.0166080480356,1.4335893862106395
S1_W60_240_PF1P1,mechanism|action_id|direction,60,240,1.1,3343,1296,False,554,0.7066326530612245,415.1026856922254,1.4056693918548113,159.20530657057805,353.7275526013532,1140,1.4540816326530612,732.0760785789355,1.286283410826797,278.175004436583,594.36227366683,453,0.8694817658349329,493.3898661391811,1.5488424804319678,88.06936943852065,423.18343227079976,1048,2.0115163147792705,1593.206831967911,1.598769815289465,299.39193153712034,1286.5568319679112,1.4056693918548113
S1_W60_240_PF1P05,mechanism|action_id|direction,60,240,1.05,3594,1363,False,561,0.7155612244897959,417.6825972390472,1.4011533786418333,151.4847459348578,356.307464148175,1147,1.4630102040816326,734.6559901257572,1.285289654979093,271.3445479675294,596.9421852136518,485,0.9309021113243762,414.15043025782904,1.4136032382960477,101.81522411424115,343.9439963894477,1080,2.072936660268714,1513.9673960865593,1.547911842465572,323.7541830106425,1207.3173960865593,1.4011533786418333
S3_W20_100_PF1P05,mechanism|action_id|h4adx,20,100,1.05,3953,1521,False,584,0.7448979591836735,436.7728007257288,1.4032380814196084,141.66996091812877,374.54220362218337,1170,1.4923469387755102,753.7461936124389,1.2880101038366092,254.56689864996957,616.0323887003333,521,1.0,411.8694579456178,1.3947662847306472,117.50532569312193,354.9020702926326,1116,2.1420345489443378,1511.6864237743478,1.538894794710895,313.6174247985707,1205.036423774348,1.3947662847306472
S1_W40_160_PF1P0,mechanism|action_id|direction,40,160,1.0,4112,1517,False,610,0.7780612244897959,442.7063102876578,1.3816776635004648,178.30688601126047,382.9807805554213,1196,1.5255102040816326,759.6797031743678,1.2820088963208964,273.16988800847196,621.9658982622623,509,0.9769673704414588,532.3152886889281,1.5536305108911426,143.7866204715043,461.4345384889037,1104,2.1190019193857967,1632.132254517658,1.59931381495563,226.60757280665803,1325.4822545176582,1.3816776635004648
S3_W20_100_PF1P1,mechanism|action_id|h4adx,20,100,1.1,3692,1443,False,565,0.7206632653061225,462.1511845276191,1.449321238540337,141.66996091812877,399.9205874240737,1151,1.468112244897959,779.1245774143292,1.3040518242852228,254.56689864996957,641.4107725022236,489,0.9385796545105566,370.7796456448938,1.373064051849095,111.91247767575955,313.8122579919086,1084,2.0806142034548945,1470.596611473624,1.5336538808340907,286.3397226021886,1163.946611473624,1.373064051849095
