family,regime,eligible_date,decision_id,clock_minute,macro_family,macro_signal_time_utc,macro_age_hours,initial_value,rolling_median_initial_value,release_gap_from_rolling_median,side,window,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,portfolio_r,extra_half_pip_stress_r,extra_half_pip_stress_portfolio_r,fixed_0p01_lot_usd
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-08,2019-07-08T0000,0,NFP,2019-07-05 12:30:00+00:00,59.5,224000.0,229500.0,-5500.0,LONG,development_2019_2022,2019-07-08 00:00:00+00:00,2019-07-08 00:50:00+00:00,1.1227500000000001,1.1223500000000002,1.12335,1.1223400000000001,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-08,2019-07-08T0015,15,NFP,2019-07-05 12:30:00+00:00,59.75,224000.0,229500.0,-5500.0,LONG,development_2019_2022,2019-07-08 00:15:00+00:00,2019-07-08 00:50:00+00:00,1.1226500000000001,1.1222500000000002,1.12325,1.1222400000000001,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-08,2019-07-08T0030,30,NFP,2019-07-05 12:30:00+00:00,60.0,224000.0,229500.0,-5500.0,LONG,development_2019_2022,2019-07-08 00:30:00+00:00,2019-07-08 00:40:00+00:00,1.12297,1.12257,1.12357,1.12256,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-08,2019-07-08T0045,45,NFP,2019-07-05 12:30:00+00:00,60.25,224000.0,229500.0,-5500.0,LONG,development_2019_2022,2019-07-08 00:45:00+00:00,2019-07-08 00:50:00+00:00,1.1226,1.1222,1.1232,1.12219,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-12,2019-07-12T0000,0,CPI,2019-07-11 12:30:00+00:00,11.5,0.1,0.15000000000000002,-0.05000000000000002,LONG,development_2019_2022,2019-07-12 00:00:00+00:00,2019-07-12 00:45:00+00:00,1.1250600000000002,1.1246600000000002,1.12566,1.12565,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-12,2019-07-12T0015,15,CPI,2019-07-11 12:30:00+00:00,11.75,0.1,0.15000000000000002,-0.05000000000000002,LONG,development_2019_2022,2019-07-12 00:15:00+00:00,2019-07-12 00:55:00+00:00,1.1253600000000001,1.1249600000000002,1.12596,1.12595,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-12,2019-07-12T0030,30,CPI,2019-07-11 12:30:00+00:00,12.0,0.1,0.15000000000000002,-0.05000000000000002,LONG,development_2019_2022,2019-07-12 00:30:00+00:00,2019-07-12 00:50:00+00:00,1.12515,1.1247500000000001,1.12575,1.12574,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-07-12,2019-07-12T0045,45,CPI,2019-07-11 12:30:00+00:00,12.25,0.1,0.15000000000000002,-0.05000000000000002,LONG,development_2019_2022,2019-07-12 00:45:00+00:00,2019-07-12 01:05:00+00:00,1.1255000000000002,1.1251000000000002,1.1261,1.12609,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-08-14,2019-08-14T0000,0,CPI,2019-08-13 12:30:00+00:00,11.5,0.3,0.15000000000000002,0.14999999999999997,SHORT,development_2019_2022,2019-08-14 00:00:00+00:00,2019-08-14 01:00:00+00:00,1.11763,1.1180299999999999,1.11703,1.11804,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2019-08-14,2019-08-14T0015,15,CPI,2019-08-13 12:30:00+00:00,11.75,0.3,0.15000000000000002,0.14999999999999997,SHORT,development_2019_2022,2019-08-14 00:15:00+00:00,2019-08-14 01:00:00+00:00,1.1175,1.1179,1.1169,1.11791,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
