prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes
118,2021-06-07 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2531,2021-06-07 00:25:00+00:00,4,5.0
126,2021-07-05 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2611,2021-07-05 00:45:00+00:00,4,15.0
128,2021-07-15 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2640,2021-07-15 00:05:00+00:00,1,5.0
129,2021-07-15 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2642,2021-07-15 00:15:00+00:00,3,0.0
132,2021-07-16 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2644,2021-07-16 00:10:00+00:00,1,10.0
133,2021-07-16 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2645,2021-07-16 00:15:00+00:00,2,0.0
134,2021-07-16 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2647,2021-07-16 00:25:00+00:00,4,5.0
144,2021-09-15 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2816,2021-09-15 00:00:00+00:00,1,0.0
145,2021-09-15 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2819,2021-09-15 00:15:00+00:00,4,0.0
152,2021-11-08 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2968,2021-11-08 00:00:00+00:00,1,0.0
153,2021-11-08 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2970,2021-11-08 00:10:00+00:00,3,5.0
154,2021-11-08 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2971,2021-11-08 00:20:00+00:00,4,10.0
156,2021-11-11 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2980,2021-11-11 00:00:00+00:00,1,0.0
157,2021-11-11 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2981,2021-11-11 00:15:00+00:00,2,0.0
158,2021-11-11 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2983,2021-11-11 00:25:00+00:00,4,5.0
164,2021-12-13 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3068,2021-12-13 00:05:00+00:00,1,5.0
165,2021-12-13 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3070,2021-12-13 00:15:00+00:00,3,0.0
166,2021-12-13 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3071,2021-12-13 00:20:00+00:00,4,10.0
172,2021-12-16 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3080,2021-12-16 00:00:00+00:00,1,0.0
176,2021-12-17 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3084,2021-12-17 00:00:00+00:00,1,0.0
177,2021-12-17 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3086,2021-12-17 00:15:00+00:00,3,0.0
178,2021-12-17 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3087,2021-12-17 00:20:00+00:00,4,10.0
184,2022-01-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3160,2022-01-13 00:00:00+00:00,1,0.0
188,2022-02-07 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3228,2022-02-07 00:00:00+00:00,1,0.0
189,2022-02-07 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3231,2022-02-07 00:15:00+00:00,4,0.0
192,2022-02-11 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3244,2022-02-11 00:00:00+00:00,1,0.0
193,2022-02-11 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3246,2022-02-11 00:15:00+00:00,3,0.0
194,2022-02-11 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3247,2022-02-11 00:20:00+00:00,4,10.0
196,2022-03-07 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3309,2022-03-07 00:05:00+00:00,2,5.0
197,2022-03-07 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3311,2022-03-07 00:15:00+00:00,4,0.0
201,2022-03-11 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3326,2022-03-11 00:20:00+00:00,3,5.0
202,2022-03-11 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3327,2022-03-11 00:25:00+00:00,4,5.0
209,2022-03-18 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3347,2022-03-18 00:25:00+00:00,4,10.0
213,2022-05-12 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3500,2022-05-12 00:20:00+00:00,1,5.0
214,2022-05-12 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3502,2022-05-12 00:30:00+00:00,3,0.0
215,2022-05-12 00:45:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3503,2022-05-12 00:35:00+00:00,4,10.0
216,2022-05-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3504,2022-05-13 00:05:00+00:00,1,5.0
217,2022-05-13 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3506,2022-05-13 00:15:00+00:00,3,0.0
218,2022-05-13 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3507,2022-05-13 00:20:00+00:00,4,10.0
224,2022-07-14 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3681,2022-07-14 00:10:00+00:00,2,10.0
225,2022-07-14 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3682,2022-07-14 00:15:00+00:00,3,0.0
226,2022-07-14 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3683,2022-07-14 00:20:00+00:00,4,10.0
228,2022-07-15 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3684,2022-07-15 00:00:00+00:00,1,0.0
229,2022-07-15 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3687,2022-07-15 00:15:00+00:00,4,0.0
233,2022-08-11 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3761,2022-08-11 00:20:00+00:00,2,5.0
234,2022-08-11 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,3763,2022-08-11 00:30:00+00:00,4,0.0
