eligible_date,entry_time_utc,tickets,r,extra_half_pip_stress_r
2019-07-08,2019-07-08 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2019-07-12,2019-07-12 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2019-08-14,2019-08-14 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2019-08-15,2019-08-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2019-08-16,2019-08-16 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2019-09-09,2019-09-09 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2019-09-12,2019-09-12 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2019-09-13,2019-09-13 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2019-10-09,2019-10-09 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2019-11-15,2019-11-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2019-12-09,2019-12-09 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-01-13,2020-01-13 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2020-02-10,2020-02-10 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-04-10,2020-04-10 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2020-04-13,2020-04-13 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-05-11,2020-05-11 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2020-05-14,2020-05-14 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-07-03,2020-07-03 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-07-15,2020-07-15 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2020-08-10,2020-08-10 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-08-14,2020-08-14 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2020-09-11,2020-09-11 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-10-15,2020-10-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2020-12-07,2020-12-07 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2020-12-11,2020-12-11 00:00:00+00:00,4,0.2249999999998087,0.09999999999980869
2021-02-12,2021-02-12 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-03-12,2021-03-12 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-04-05,2021-04-05 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-05-13,2021-05-13 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2021-06-07,2021-06-07 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2021-06-11,2021-06-11 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-07-05,2021-07-05 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2021-07-15,2021-07-15 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2021-07-16,2021-07-16 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2021-09-06,2021-09-06 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-09-13,2021-09-13 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-09-15,2021-09-15 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2021-10-14,2021-10-14 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-11-08,2021-11-08 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2021-11-11,2021-11-11 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2021-12-06,2021-12-06 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-12-13,2021-12-13 00:00:00+00:00,4,0.8499999999997399,0.7249999999997399
2021-12-15,2021-12-15 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
2021-12-16,2021-12-16 00:00:00+00:00,4,-0.4000000000001225,-0.5250000000001225
2021-12-17,2021-12-17 00:00:00+00:00,4,1.474999999999671,1.349999999999671
2022-01-10,2022-01-10 00:00:00+00:00,4,-1.0250000000000536,-1.1500000000000536
