strategy_id,timeframe,subtype_dimension,subtype,trades,net_r,profit_factor,stress_net_r
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,volatility_subtype,MEDIUM_VOL_CHOP,77,4.940080191863201,1.147528150692113,1.0900801918632754
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,volatility_subtype,VOL_SUBTYPE_UNAVAILABLE,5,-0.8442341711722874,0.604244427884811,-1.0942341711721881
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,range_width_subtype,MEDIUM_WIDTH_CHOP,154,-16.805569394159274,0.7744506627735597,-24.50556939415899
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,range_width_subtype,NARROW_CHOP,5,-0.8106681559982687,0.7297772813339043,-1.0606681559982354
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,range_width_subtype,WIDE_CHOP,62,17.177545521375638,2.0351737496679854,14.07754552137562
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,drift_subtype,DOWNWARD_DRIFT_CHOP,20,-3.2009244641189016,0.5851549140434453,-4.200924464118736
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,drift_subtype,FLAT_CHOP,157,0.922730719341974,1.0136360649075666,-6.927269280657701
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,drift_subtype,UPWARD_DRIFT_CHOP,44,1.8395017159950224,1.0982690816959004,-0.3604982840051665
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,volatility_subtype,HIGH_VOL_CHOP,51,-8.502826222573296,0.7777052222197293,-11.052826222573477
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,volatility_subtype,LOW_VOL_CHOP,83,-32.488793674371514,0.5113458886993404,-36.63879367437181
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,volatility_subtype,MEDIUM_VOL_CHOP,68,-9.279398581235407,0.8219761524535345,-12.679398581235471
