chop_episode_id,start_time,end_time,duration_hours,duration_days,h4_bars,average_adx,median_adx,average_er,median_er,average_atr,range_width_price,absolute_net_displacement,raw_signals,accepted_trades,net_r
1,2016-07-22T08:00:00+00:00,2016-07-25T08:00:00+00:00,72.0,3.0,7,21.462484796702217,21.305931097407814,0.08947211487287572,0.08658743633276621,6.706679482198013,15.889999999999873,6.190000000000055,2.0,2.0,-2.0000000000000626
2,2016-07-26T12:00:00+00:00,2016-07-28T04:00:00+00:00,40.0,1.6666666666666667,10,18.827754075496326,18.6077708671462,0.09260814091091137,0.09066524432166721,6.085089292373972,26.649999999999864,19.949999999999818,70.0,12.0,-5.16483964658132
3,2016-08-10T08:00:00+00:00,2016-08-10T16:00:00+00:00,8.0,0.3333333333333333,2,22.454264115428433,22.454264115428433,0.1084292304085292,0.1084292304085292,5.63415410062613,5.430000000000064,1.4100000000000819,9.0,1.0,-0.17772532080712122
4,2016-08-12T00:00:00+00:00,2016-08-18T16:00:00+00:00,160.0,6.666666666666667,29,13.207297544327274,13.114647029288136,0.06861858303887758,0.06511958323466727,6.561385475271978,24.860000000000127,10.940000000000055,82.0,28.0,10.062984875719117
5,2016-08-19T08:00:00+00:00,2016-08-22T04:00:00+00:00,68.0,2.8333333333333335,6,16.315915556818258,16.228674049739894,0.06168369802243597,0.03992091536261022,5.905870964628537,16.230000000000018,9.88000000000011,14.0,6.0,0.5750655753931946
6,2016-08-23T16:00:00+00:00,2016-08-23T20:00:00+00:00,4.0,0.16666666666666666,1,22.98222259261507,22.98222259261507,0.16367265469061246,0.16367265469061246,5.262480026577363,6.480000000000018,0.0,11.0,3.0,2.3521756791546853
7,2016-08-30T16:00:00+00:00,2016-08-30T20:00:00+00:00,4.0,0.16666666666666666,1,18.285252320945126,18.285252320945126,0.1776142932212286,0.1776142932212286,4.808617648771168,6.420000000000073,0.0,4.0,2.0,-2.000000000000015
8,2016-09-01T20:00:00+00:00,2016-09-05T16:00:00+00:00,92.0,3.8333333333333335,12,21.606495293919107,21.713588766153137,0.09611641804066107,0.09618858013080431,5.485299168507205,26.799999999999955,13.149999999999864,15.0,5.0,-4.563873788114032
9,2016-09-27T20:00:00+00:00,2016-09-28T08:00:00+00:00,12.0,0.5,3,24.331655450747917,24.26676900421994,0.12173944413739157,0.11808669656203223,4.481779736122365,2.869999999999891,1.75,7.0,2.0,-1.5344101304415831
10,2016-10-19T04:00:00+00:00,2016-10-19T12:00:00+00:00,8.0,0.3333333333333333,2,22.12669616753415,22.12669616753415,0.13174885604993664,0.13174885604993664,4.430083347113763,4.4099999999998545,0.8700000000001182,32.0,7.0,-5.189783833610747
