strategy_id,timeframe,year,trades,net_r,profit_factor
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2016,31,-18.732267509919755,0.3309904460742774
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2017,71,-27.03424440495847,0.5693749832795914
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2018,111,-35.75284031780684,0.6119545597932936
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2019,103,-32.48899568109211,0.6222209804524124
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2020,115,-32.581498386060034,0.6458532784123915
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2021,117,-18.08013318309931,0.8021172914912362
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2022,125,-41.6714570083313,0.5887795687736093
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2023,75,39.45620992475256,1.805228773974515
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2024,114,7.279237875763688,1.0885091573645715
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,2025,46,8.58589183901702,1.2482881555369227
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2016,24,-1.7409302568884693,0.8790216489107685
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2017,58,-19.39114492493643,0.5961558828373723
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2018,78,-4.478711065675734,0.9132982075976372
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2019,75,-16.84302645221775,0.667882431766122
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2020,83,-14.389635199795935,0.7403810449363836
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2021,103,4.99691448375057,1.0836494155458822
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2022,101,1.1606302530638768,1.0200331549019688
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2023,54,-8.609529099623343,0.7528489268134251
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2024,84,25.54180025022314,1.5853618260782483
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,2025,32,13.594098290617465,1.8496311431635928
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2016,10,-3.76603695382771,0.4619947208817516
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2017,38,-13.043803517471137,0.4766021335848625
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2018,50,5.1731827048588634,1.2098946050020734
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2019,45,11.177426042882104,1.5547633071816542
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2020,48,1.2131770311366463,1.0526328017305313
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,2021,57,-1.9300324105247408,0.9421857602195031
