timestamp_broker,run_id,symbol,event,direction,reason,setup_bar_open,decision_tick_broker,bid,ask,symbol_spread_points,quoted_spread_points,atr,recent_low,recent_high,atr_component_points,floor_component_points,swing_component_points,selected_stop_component,requested_sl,requested_tp,stop_points,request_ok,fill_confirmed,retcode,order_ticket,deal_ticket,result_price,actual_position_price,actual_sl,actual_tp,free_margin,margin_level,account_leverage
2022.07.01 12:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,DECISION_QUOTE,LONG,raw_setup,2022.07.01 12:00:00,2022.07.01 12:30:00,1.04158,1.04165,7,7.00,0.00187,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1000.00,0.0000,50
2022.07.01 12:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,STOP_GEOMETRY,LONG,geometry_ready,2022.07.01 12:00:00,2022.07.01 12:30:00,1.04158,1.04165,7,7.00,0.00187,1.04154,1.04742,262.10,30.00,11.00,ATR,1.03903,1.04375,262.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,1000.00,0.0000,50
2022.07.01 12:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,REQUEST_RESULT,LONG,entered,2022.07.01 12:00:00,2022.07.01 12:30:00,1.04158,1.04165,7,7.00,0.00187,1.04154,1.04742,262.10,30.00,11.00,ATR,1.03903,1.04375,262.00,true,true,10009,2,2,1.04165,1.04165,1.03903,1.04375,979.10,4800.4321,50
2022.07.01 13:00:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,DECISION_QUOTE,LONG,raw_setup,2022.07.01 12:30:00,2022.07.01 13:00:00,1.04068,1.04075,7,7.00,0.00189,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,978.20,4796.1114,50
2022.07.01 14:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,DECISION_QUOTE,LONG,raw_setup,2022.07.01 14:00:00,2022.07.01 14:30:00,1.03732,1.03739,7,7.00,0.00198,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,997.38,0.0000,50
2022.07.01 14:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,STOP_GEOMETRY,LONG,geometry_ready,2022.07.01 14:00:00,2022.07.01 14:30:00,1.03732,1.03739,7,7.00,0.00198,1.03657,1.04541,276.70,30.00,82.00,ATR,1.03462,1.03961,277.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,997.38,0.0000,50
2022.07.01 14:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,REQUEST_RESULT,LONG,entered,2022.07.01 14:00:00,2022.07.01 14:30:00,1.03732,1.03739,7,7.00,0.00198,1.03657,1.04541,276.70,30.00,82.00,ATR,1.03462,1.03961,277.00,true,true,10009,4,4,1.03739,1.03739,1.03462,1.03961,976.56,4806.3133,50
2022.07.04 11:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,DECISION_QUOTE,SHORT,raw_setup,2022.07.04 11:00:00,2022.07.04 11:30:00,1.04598,1.04599,1,1.00,0.00103,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,999.60,0.0000,50
2022.07.05 07:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,DECISION_QUOTE,LONG,raw_setup,2022.07.05 07:00:00,2022.07.05 07:30:00,1.03854,1.03859,5,5.00,0.00112,0.00000,0.00000,0.00,30.00,0.00,,0.00000,0.00000,0.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,999.60,0.0000,50
2022.07.05 07:30:00,EURUSD_M30_RSI_BB_CLOSE_FADE_LONG_V1R_UNMASKED_CONTRACT,EURUSD,STOP_GEOMETRY,LONG,geometry_ready,2022.07.05 07:00:00,2022.07.05 07:30:00,1.03854,1.03859,5,5.00,0.00112,1.03830,1.04488,156.40,30.00,29.00,ATR,1.03703,1.03984,156.00,false,false,0,0,0,0.00000,0.00000,0.00000,0.00000,999.60,0.0000,50
