seed,proposed_topups,accepted_topups,delta_pnl_usd,profit_factor,nonnegative_delta_years,weekly_block_lower_95_usd
0,271,82,251.10219448829957,1.7229999878974942,6,92.3768389938152
1,279,79,264.5661061633018,1.7259582805265143,6,103.39263699760808
2,274,82,226.65244987980623,1.717931823637737,6,58.73810628704849
3,279,76,187.3318489533267,1.7165438088871663,6,30.61315060428758
4,272,78,153.32418708004934,1.7084082651294372,5,-10.757970647915865
