case_id,side,entry_epoch,tick_epoch,bid,ask,expected_status,expected_exit_reason,expected_entry_tick_epoch,expected_exit_tick_epoch,expected_entry_fill,expected_exit_fill,expected_r
long_target,LONG,1785369900,1785369900,1.100000000000,1.100080000000,CLOSED,TARGET,1785369900,1785369902,1.100090000000,1.101040000000,1.583333333334
long_target,LONG,1785369900,1785369901,1.100500000000,1.100580000000,CLOSED,TARGET,1785369900,1785369902,1.100090000000,1.101040000000,1.583333333334
long_target,LONG,1785369900,1785369902,1.101050000000,1.101130000000,CLOSED,TARGET,1785369900,1785369902,1.100090000000,1.101040000000,1.583333333334
short_stop,SHORT,1785369900,1785369900,1.100000000000,1.100080000000,CLOSED,STOP,1785369900,1785369902,1.099990000000,1.100710000000,-1.200000000000
short_stop,SHORT,1785369900,1785369901,1.100300000000,1.100380000000,CLOSED,STOP,1785369900,1785369902,1.099990000000,1.100710000000,-1.200000000000
short_stop,SHORT,1785369900,1785369902,1.100620000000,1.100700000000,CLOSED,STOP,1785369900,1785369902,1.099990000000,1.100710000000,-1.200000000000
long_time,LONG,1785369900,1785369900,1.100000000000,1.100080000000,CLOSED,TIME,1785369900,1785391500,1.100090000000,1.100190000000,0.166666666667
long_time,LONG,1785369900,1785380400,1.099900000000,1.099980000000,CLOSED,TIME,1785369900,1785391500,1.100090000000,1.100190000000,0.166666666667
long_time,LONG,1785369900,1785391500,1.100200000000,1.100280000000,CLOSED,TIME,1785369900,1785391500,1.100090000000,1.100190000000,0.166666666667
short_target,SHORT,1785369900,1785369900,1.100000000000,1.100080000000,CLOSED,TARGET,1785369900,1785369902,1.099990000000,1.099010000000,1.633333333333
short_target,SHORT,1785369900,1785369901,1.099400000000,1.099480000000,CLOSED,TARGET,1785369900,1785369902,1.099990000000,1.099010000000,1.633333333333
short_target,SHORT,1785369900,1785369902,1.098920000000,1.099000000000,CLOSED,TARGET,1785369900,1785369902,1.099990000000,1.099010000000,1.633333333333
spread_reject,LONG,1785369900,1785369900,1.100000000000,1.100200000000,NO_TRADE_EXCESS_ENTRY_SPREAD,,1785369900,,,,
spread_reject,LONG,1785369900,1785369901,1.101200000000,1.101400000000,NO_TRADE_EXCESS_ENTRY_SPREAD,,1785369900,,,,
missing_entry,LONG,1785369900,1785369898,1.100000000000,1.100080000000,NO_TRADE_MISSING_ENTRY_TICK,,,,,,
missing_entry,LONG,1785369900,1785369899,1.100010000000,1.100090000000,NO_TRADE_MISSING_ENTRY_TICK,,,,,,
pending_time_tick,SHORT,1785369900,1785369900,1.100000000000,1.100080000000,PENDING_MISSING_TIME_EXIT_TICK,,,,,,
pending_time_tick,SHORT,1785369900,1785391499,1.100000000000,1.100080000000,PENDING_MISSING_TIME_EXIT_TICK,,,,,,
