family_id,stage,decision_eligible,raw_gate_pass,promoted,trades,source_days,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_active_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,current_account_feasible_share
ML_M15_MOMENTUM_RANKER_V1,train,True,False,False,235,625,0.376,-96.41489580806598,0.48103754266401894,-0.41027615237474885,0.16666666666666666,107.97217212413985,-115.36129608406151,0.9574468085106383
ML_M15_MOMENTUM_RANKER_V1,validation,False,False,False,168,621,0.27053140096618356,-19.93940703923583,0.8323795777937459,-0.11868694666211804,0.5416666666666666,33.434719330724214,-29.46597937687011,0.9642857142857143
ML_M15_MOMENTUM_RANKER_V1,internal_test,False,False,False,2,620,0.0032258064516129032,0.6654588513556088,1.5637103770532677,0.3327294256778044,0.5,0.0,0.0,1.0
ML_M15_MOMENTUM_RANKER_V1,exam,False,False,False,0,624,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ML_M15_MOMENTUM_RANKER_V1,recent_tail,False,False,False,0,312,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
ML_M15_REVERSION_RANKER_V1,train,True,False,False,181,625,0.2896,-26.809854860961163,0.7757556517593522,-0.14812074508818324,0.4583333333333333,34.14825373549916,-40.6394690600754,0.9723756906077348
ML_M15_REVERSION_RANKER_V1,validation,False,False,False,174,621,0.28019323671497587,-34.78206217530972,0.714500164509314,-0.19989690905350413,0.375,46.95361888125548,-41.82121415987281,0.9712643678160919
ML_M15_REVERSION_RANKER_V1,internal_test,False,False,False,154,620,0.24838709677419354,-41.23790112126365,0.6196496812021919,-0.2677785787095042,0.391304347826087,40.068131647473066,-48.24648911897957,0.9935064935064936
ML_M15_REVERSION_RANKER_V1,exam,False,False,False,219,624,0.35096153846153844,-52.10976817252237,0.6671801100722168,-0.23794414690649485,0.21739130434782608,52.383833363147396,-59.2904318846977,0.3378995433789954
ML_M15_REVERSION_RANKER_V1,recent_tail,False,False,False,159,312,0.5096153846153846,-33.03574150873905,0.7025845229545834,-0.20777195917445943,0.16666666666666666,36.34578003224945,-37.34890266580892,0.1761006289308176
