family_id,stage,status,history_rows,fit_rows,calibration_rows,evaluation_candidate_rows,threshold,calibration_score_mean,calibration_spearman,selected_rows,selected_score_mean
ML_M15_MOMENTUM_RANKER_V1,train,SCORED,4584.0,3663.0,917.0,4134.0,0.0,-0.37322432404273265,0.1019046106392155,235.0,0.12962467487015747
ML_M15_MOMENTUM_RANKER_V1,validation,SCORED,8711.0,6958.0,1743.0,5959.0,0.0,-0.3665570904061633,0.019336197466698384,168.0,0.08410235964652171
ML_M15_MOMENTUM_RANKER_V1,internal_test,SCORED,14675.0,11737.0,2935.0,6173.0,0.0,-0.3189676582337513,0.09572482802109548,2.0,0.02225483785995097
ML_M15_MOMENTUM_RANKER_V1,exam,SCORED,20849.0,16678.0,4170.0,7190.0,0.0,-0.316270763081631,0.1491183053247956,0.0,0.0
ML_M15_MOMENTUM_RANKER_V1,recent_tail,EXAM_MODEL_SUBSET_NO_REFIT,,,,,,,,,
ML_M15_REVERSION_RANKER_V1,train,SCORED,4476.0,3574.0,896.0,3853.0,0.0,-0.3737860594816477,0.09055726123524276,181.0,0.09694540881055809
ML_M15_REVERSION_RANKER_V1,validation,SCORED,8331.0,6658.0,1667.0,7221.0,0.0,-0.34412232329582293,0.021433068184397445,174.0,0.0721189060556832
ML_M15_REVERSION_RANKER_V1,internal_test,SCORED,15552.0,12436.0,3111.0,6652.0,0.0,-0.30003508591144196,0.0864998797220264,154.0,0.0631547557120743
ML_M15_REVERSION_RANKER_V1,exam,SCORED,22202.0,17749.0,4441.0,8900.0,0.0,-0.27278780858432666,0.10053250331801783,219.0,0.06346656789072096
ML_M15_REVERSION_RANKER_V1,recent_tail,EXAM_MODEL_SUBSET_NO_REFIT,,,,,,,,,
