threshold,qualified,trades_2021,pf_2021,net_r_2021,trades_2022,pf_2022,net_r_2022,minimum_annual_pf,total_net_r
0.35,False,383,0.7459704661710064,-65.80000000005914,323,0.4868277164727127,-129.0500000000275,0.4868277164727127,-194.85000000008665
0.375,False,210,0.7343969144457992,-37.87500000003108,182,0.5009936766033328,-69.0500000000155,0.5009936766033328,-106.92500000004658
0.4,False,113,0.7005776636711806,-23.325000000016253,120,0.616724738675832,-33.00000000001163,0.616724738675832,-56.325000000027885
0.425,False,79,0.5910278745642973,-23.47500000001058,72,0.7654385054487342,-11.300000000007417,0.5910278745642973,-34.775000000018
0.45,False,47,0.43970189701884904,-20.675000000005554,39,0.5653310104528773,-12.475000000002346,0.43970189701884904,-33.1500000000079
0.475,False,25,0.6771879483498852,-5.625000000003544,12,0.28780487804883287,-7.299999999999252,0.28780487804883287,-12.925000000002797
0.5,False,7,0.0,-7.1750000000003755,3,0.7195121951221213,-0.5749999999996036,0.0,-7.749999999999979
0.525,False,2,0.0,-2.0500000000001073,1,0.0,-1.0250000000000536,0.0,-3.075000000000161
0.55,False,0,0.0,0.0,0,0.0,0.0,0.0,0.0
