family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,predicted_probability,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-27 05:25:00+00:00,2023-01-27 05:30:00+00:00,2023-01-27 05:30:00+00:00,2023-01-27 05:35:00+00:00,1.08679,1.0871899999999999,1.08619,1.0872,STOP,0.40138605918247433,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-05-09 01:25:00+00:00,2023-05-09 01:30:00+00:00,2023-05-09 01:30:00+00:00,2023-05-09 01:40:00+00:00,1.09932,1.0989200000000001,1.09992,1.09891,STOP,0.4041192626604755,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-05-09 01:40:00+00:00,2023-05-09 01:45:00+00:00,2023-05-09 01:45:00+00:00,2023-05-09 02:05:00+00:00,1.09898,1.0985800000000001,1.09958,1.09857,STOP,0.40379353760512876,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-07-07 03:40:00+00:00,2023-07-07 03:45:00+00:00,2023-07-07 03:45:00+00:00,2023-07-07 04:35:00+00:00,1.08878,1.0883800000000001,1.08938,1.08937,TARGET,0.4056011464495977,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-07-07 04:55:00+00:00,2023-07-07 05:00:00+00:00,2023-07-07 05:00:00+00:00,2023-07-07 05:55:00+00:00,1.0892000000000002,1.0888000000000002,1.0898,1.0887900000000001,STOP,0.44190629494502803,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-11-02 10:40:00+00:00,2023-11-02 10:45:00+00:00,2023-11-02 10:45:00+00:00,2023-11-02 10:50:00+00:00,1.0631199999999998,1.0635199999999998,1.06252,1.0635299999999999,STOP,0.40072913277303673,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-11-02 11:10:00+00:00,2023-11-02 11:15:00+00:00,2023-11-02 11:15:00+00:00,2023-11-02 11:45:00+00:00,1.06374,1.0641399999999999,1.06314,1.06315,TARGET,0.40185689744367475,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-12-07 01:25:00+00:00,2023-12-07 01:30:00+00:00,2023-12-07 01:30:00+00:00,2023-12-07 03:40:00+00:00,1.0765600000000002,1.0761600000000002,1.0771600000000001,1.0761500000000002,STOP,0.40340276378266876,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2024-03-26 23:10:00+00:00,2024-03-26 23:15:00+00:00,2024-03-26 23:15:00+00:00,2024-03-27 01:20:00+00:00,1.0832899999999999,1.0836899999999998,1.08269,1.0827,TARGET,0.4026926005160806,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2024-03-27 01:40:00+00:00,2024-03-27 01:45:00+00:00,2024-03-27 01:45:00+00:00,2024-03-27 02:30:00+00:00,1.08222,1.08262,1.08162,1.08263,STOP,0.4080145676520402,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
