timestamp_broker,hour,old_mask_hour,v1_action,v1_reason,unmasked_action,unmasked_reason,action_changed
2022.07.01 12:30:00,12,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.01 13:00:00,13,True,GUARD_BLOCK,blocked_entry_hour,GUARD_BLOCK,own_position_exists,True
2022.07.01 14:30:00,14,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.04 11:30:00,11,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.05 07:30:00,7,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.05 08:00:00,8,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.05 08:30:00,8,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.05 09:00:00,9,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.05 10:00:00,10,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.06 05:00:00,5,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.06 09:30:00,9,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.06 10:00:00,10,True,GUARD_BLOCK,blocked_entry_hour,GUARD_BLOCK,own_position_exists,True
2022.07.06 11:00:00,11,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.06 12:30:00,12,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.07 06:00:00,6,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.08 04:30:00,4,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.08 07:30:00,7,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.11 02:00:00,2,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.11 07:30:00,7,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.11 10:00:00,10,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.11 13:30:00,13,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.12 01:30:00,1,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.12 15:30:00,15,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.13 07:30:00,7,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.13 15:00:00,15,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.14 01:00:00,1,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.14 13:30:00,13,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.15 11:00:00,11,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.15 12:30:00,12,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.15 15:30:00,15,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.18 00:00:00,0,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.18 01:30:00,1,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.18 07:30:00,7,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.18 10:00:00,10,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.18 15:00:00,15,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.19 07:30:00,7,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.19 08:00:00,8,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.20 07:30:00,7,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.20 12:00:00,12,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.20 17:30:00,17,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.20 18:00:00,18,False,GUARD_BLOCK,own_position_exists,GUARD_BLOCK,own_position_exists,False
2022.07.21 05:00:00,5,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.21 12:30:00,12,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.21 13:00:00,13,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.22 08:00:00,8,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.25 09:30:00,9,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.26 01:30:00,1,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.26 09:30:00,9,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.26 10:00:00,10,True,GUARD_BLOCK,blocked_entry_hour,GUARD_BLOCK,own_position_exists,True
2022.07.26 10:30:00,10,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.07.26 11:30:00,11,False,ORDER_SEND_OK,entered,GUARD_BLOCK,own_position_exists,True
2022.07.26 12:00:00,12,False,GUARD_BLOCK,own_position_exists,ORDER_SEND_OK,entered,True
2022.07.27 14:30:00,14,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.27 19:00:00,19,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.27 19:30:00,19,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.28 06:00:00,6,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.28 06:30:00,6,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.28 11:00:00,11,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.07.28 12:00:00,12,False,GUARD_BLOCK,own_position_exists,GUARD_BLOCK,own_position_exists,False
2022.07.29 04:00:00,4,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.07.29 06:30:00,6,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.01 09:00:00,9,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.01 10:00:00,10,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.02 01:00:00,1,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.02 08:00:00,8,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.08.02 17:30:00,17,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.08.03 14:30:00,14,False,ORDER_SEND_OK,entered,ORDER_SEND_OK,entered,False
2022.08.03 15:00:00,15,False,GUARD_BLOCK,own_position_exists,GUARD_BLOCK,own_position_exists,False
2022.08.04 15:00:00,15,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.04 15:30:00,15,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.04 16:30:00,16,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.04 17:00:00,17,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.05 13:00:00,13,True,GUARD_BLOCK,blocked_entry_hour,ORDER_SEND_OK,entered,True
2022.08.08 08:00:00,8,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.09 08:00:00,8,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.09 08:30:00,8,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.09 09:00:00,9,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.10 09:30:00,9,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.10 11:00:00,11,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.10 11:30:00,11,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.10 12:00:00,12,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.10 13:00:00,13,True,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
2022.08.10 14:30:00,14,False,GUARD_BLOCK,direction_mode_block,GUARD_BLOCK,direction_mode_block,False
