entry_time,entry_date,entry_hour,direction,entry_deal,volume,entry_price,exit_time,exit_deal,exit_price,price_profit,commission,swap,net,exit_comment,episode_id,signal_sequence,filled_entry_sequence
2022.07.05 07:30:00,2022-07-05,7,LONG,6,0.01,1.03859,2022.07.05 07:51:23,7,1.03703,-1.56,0.0,0.0,-1.56,sl 1.03703,3,1,1
2022.07.05 10:00:00,2022-07-05,10,LONG,14,0.01,1.02961,2022.07.05 13:21:42,15,1.02685,-2.76,0.0,0.0,-2.76,sl 1.02687,3,5,5
2022.07.08 07:30:00,2022-07-08,7,LONG,26,0.01,1.01140,2022.07.08 07:38:39,27,1.00927,-2.13,0.0,0.0,-2.13,sl 1.00928,8,1,1
2022.07.11 07:30:00,2022-07-11,7,LONG,30,0.01,1.01182,2022.07.11 08:35:43,31,1.01301,1.19,0.0,0.0,1.19,tp 1.01300,9,2,2
2022.07.11 10:00:00,2022-07-11,10,LONG,32,0.01,1.01035,2022.07.11 11:10:40,33,1.01179,1.44,0.0,0.0,1.44,tp 1.01178,9,3,3
2022.07.11 13:30:00,2022-07-11,13,LONG,34,0.01,1.00643,2022.07.11 14:43:38,35,1.00850,2.07,0.0,0.0,2.07,tp 1.00849,9,4,4
2022.07.13 07:30:00,2022-07-13,7,LONG,38,0.01,1.00110,2022.07.13 07:56:17,39,1.00266,1.56,0.0,0.0,1.56,tp 1.00260,11,1,1
2022.07.14 13:30:00,2022-07-14,13,LONG,42,0.01,0.99723,2022.07.14 14:41:41,43,0.99943,2.2,0.0,0.0,2.2,tp 0.99943,14,1,1
2022.07.26 10:30:00,2022-07-26,10,LONG,52,0.01,1.01517,2022.07.26 11:43:30,53,1.01263,-2.54,0.0,0.0,-2.54,sl 1.01267,34,3,2
2022.07.26 12:00:00,2022-07-26,12,LONG,54,0.01,1.01320,2022.07.27 06:02:28,55,1.01542,2.22,0.0,-0.11,2.1100000000000003,tp 1.01542,34,5,3
2022.08.05 13:00:00,2022-08-05,13,LONG,66,0.01,1.01582,2022.08.05 13:53:38,67,1.01755,1.73,0.0,0.0,1.73,tp 1.01755,52,1,1
2022.08.12 13:00:00,2022-08-12,13,LONG,72,0.01,1.02707,2022.08.12 14:39:42,73,1.02524,-1.83,0.0,0.0,-1.83,sl 1.02529,66,4,3
2022.08.15 06:00:00,2022-08-15,6,LONG,76,0.01,1.02412,2022.08.15 07:10:39,77,1.02301,-1.11,0.0,0.0,-1.11,sl 1.02302,67,1,1
2022.08.15 10:30:00,2022-08-15,10,LONG,82,0.01,1.01880,2022.08.15 10:53:36,83,1.02016,1.36,0.0,0.0,1.36,tp 1.02015,67,6,4
2022.08.16 07:30:00,2022-08-16,7,LONG,86,0.01,1.01399,2022.08.16 07:46:30,87,1.01498,0.99,0.0,0.0,0.99,tp 1.01498,69,1,1
2022.08.18 07:00:00,2022-08-18,7,LONG,88,0.01,1.01514,2022.08.18 07:09:05,89,1.01612,0.98,0.0,0.0,0.98,tp 1.01612,70,1,1
2022.08.19 10:30:00,2022-08-19,10,LONG,94,0.01,1.00626,2022.08.19 11:50:53,95,1.00476,-1.5,0.0,0.0,-1.5,sl 1.00476,72,1,1
2022.08.22 07:30:00,2022-08-22,7,LONG,98,0.01,1.00160,2022.08.22 07:48:36,99,1.00050,-1.1,0.0,0.0,-1.1,sl 1.00050,73,1,1
2022.08.23 06:30:00,2022-08-23,6,LONG,106,0.01,0.99145,2022.08.23 07:15:16,107,0.99013,-1.32,0.0,0.0,-1.32,sl 0.99013,74,3,1
