window,from_inclusive,to_exclusive,trade_assignment,trades,wins,losses,flat,win_rate_pct,net_usd,return_on_1000_pct,gross_profit_usd,gross_loss_usd,profit_factor,average_trade_usd,average_win_usd,average_loss_usd,payoff_ratio,breakeven_win_rate_pct,closed_trade_max_drawdown_usd,largest_win_usd,largest_loss_usd,maximum_consecutive_wins,maximum_consecutive_losses,average_holding_minutes,primary_stress_net_usd,primary_stress_profit_factor,severe_stress_net_usd,severe_stress_profit_factor
3_months,2026-04-02,2026-07-02,realized exit timestamp,89,50,39,0,56.1798,6.0,0.6,46.24,40.24,1.1491,0.0674,0.9248,-1.0318,0.8963,52.7342,6.75,1.59,-2.82,6,8,128.4,1.36,1.0321,-3.09,0.9301
6_months,2026-01-02,2026-07-02,realized exit timestamp,180,102,78,0,56.6667,11.92,1.192,107.22,95.3,1.1251,0.0662,1.0512,-1.2218,0.8604,53.7532,10.44,2.47,-2.93,8,8,115.4,2.59,1.0261,-6.41,0.9379
12_months,2025-07-02,2026-07-02,realized exit timestamp,312,172,140,0,55.1282,2.98,0.298,181.0,178.02,1.0167,0.0096,1.0523,-1.2716,0.8276,54.7172,19.42,2.47,-2.93,8,8,115.0,-13.14,0.9291,-28.74,0.8505
