year,candidate_rows,oracle_positive_rows,positive_rate
2019,40024,409,0.010218868678792724
2020,40548,421,0.010382756239518596
2021,37848,390,0.01030437539632213
2022,28666,300,0.010465359659526966
2023,27702,300,0.010829542993285684
2024,26904,263,0.009775498067201903
2025,32302,320,0.009906507337006997
2026,16866,160,0.009486540969998814
