family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,predicted_probability,oracle_member,risk_distance,risk_pips,r,extra_half_pip_stress_r,fixed_0p01_lot_usd,walk_forward_window
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-01 22:10:00+00:00,2023-01-01 22:15:00+00:00,2023-01-01 22:15:00+00:00,2023-01-01 22:15:00+00:00,1.0712000000000002,1.0708000000000002,1.0718,1.0678699999999999,STOP,0.999903058738504,0,0.0004,4.0,-8.325000000000692,-8.450000000000692,-3.330000000000277,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-01 22:50:00+00:00,2023-01-01 22:55:00+00:00,2023-01-01 22:55:00+00:00,2023-01-01 22:55:00+00:00,1.06942,1.06902,1.07002,1.0687799999999998,STOP,0.9999939837387678,0,0.0004,4.0,-1.60000000000049,-1.72500000000049,-0.640000000000196,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-01 22:55:00+00:00,2023-01-01 23:00:00+00:00,2023-01-01 23:00:00+00:00,2023-01-01 23:00:00+00:00,1.0689499999999998,1.0693499999999998,1.06835,1.07009,STOP,0.9511974870678284,0,0.0004,4.0,-2.8500000000003523,-2.9750000000003523,-1.140000000000141,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-01 23:05:00+00:00,2023-01-01 23:10:00+00:00,2023-01-01 23:10:00+00:00,2023-01-01 23:10:00+00:00,1.07029,1.06989,1.07089,1.06915,STOP,0.9623011402566418,0,0.0004,4.0,-2.849999999999797,-2.974999999999797,-1.1399999999999189,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-02 23:00:00+00:00,2023-01-02 23:05:00+00:00,2023-01-02 23:05:00+00:00,2023-01-02 23:05:00+00:00,1.0679999999999998,1.0683999999999998,1.0674,1.0684099999999999,STOP,0.971207897697881,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-02 23:05:00+00:00,2023-01-02 23:10:00+00:00,2023-01-02 23:10:00+00:00,2023-01-02 23:10:00+00:00,1.06801,1.0684099999999999,1.06741,1.06742,TARGET,0.9197428082461631,0,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-02 23:10:00+00:00,2023-01-02 23:15:00+00:00,2023-01-02 23:15:00+00:00,2023-01-02 23:15:00+00:00,1.06636,1.06676,1.06576,1.06577,TARGET,0.9909171538619614,0,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-02 23:15:00+00:00,2023-01-02 23:20:00+00:00,2023-01-02 23:20:00+00:00,2023-01-02 23:20:00+00:00,1.0652300000000001,1.0648300000000002,1.06583,1.06582,TARGET,0.9849682209839188,0,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-02 23:55:00+00:00,2023-01-03 00:00:00+00:00,2023-01-03 00:00:00+00:00,2023-01-03 00:20:00+00:00,1.0676299999999999,1.0680299999999998,1.06703,1.06704,TARGET,0.8583452997543638,1,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-03 00:00:00+00:00,2023-01-03 00:05:00+00:00,2023-01-03 00:05:00+00:00,2023-01-03 00:15:00+00:00,1.0677699999999999,1.0681699999999998,1.06717,1.06718,TARGET,0.89303116054843,1,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-05 23:15:00+00:00,2023-01-05 23:20:00+00:00,2023-01-05 23:20:00+00:00,2023-01-06 00:10:00+00:00,1.05256,1.05296,1.05196,1.05197,TARGET,0.8727974002608924,0,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-05 23:40:00+00:00,2023-01-05 23:45:00+00:00,2023-01-05 23:45:00+00:00,2023-01-06 00:30:00+00:00,1.0521900000000002,1.0517900000000002,1.0527900000000001,1.05278,TARGET,0.9239225252748211,0,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-05 23:55:00+00:00,2023-01-06 00:00:00+00:00,2023-01-06 00:00:00+00:00,2023-01-06 00:30:00+00:00,1.05217,1.05177,1.05277,1.05276,TARGET,0.8686372687208019,1,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-06 00:00:00+00:00,2023-01-06 00:05:00+00:00,2023-01-06 00:05:00+00:00,2023-01-06 00:30:00+00:00,1.0522,1.0518,1.0528,1.05279,TARGET,0.8904966878609051,1,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,LONG,2023-01-06 00:05:00+00:00,2023-01-06 00:10:00+00:00,2023-01-06 00:10:00+00:00,2023-01-06 00:30:00+00:00,1.0520800000000001,1.0516800000000002,1.05268,1.05267,TARGET,0.914952062091773,1,0.0004,4.0,1.474999999999671,1.349999999999671,0.5899999999998684,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-06 00:25:00+00:00,2023-01-06 00:30:00+00:00,2023-01-06 00:30:00+00:00,2023-01-06 00:30:00+00:00,1.05244,1.05284,1.05184,1.05285,STOP,0.9198852802545001,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-08 23:10:00+00:00,2023-01-08 23:15:00+00:00,2023-01-08 23:15:00+00:00,2023-01-08 23:15:00+00:00,1.0647,1.0651,1.0641,1.06511,STOP,0.8860947431521979,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-08 23:15:00+00:00,2023-01-08 23:20:00+00:00,2023-01-08 23:20:00+00:00,2023-01-08 23:20:00+00:00,1.06508,1.06548,1.06448,1.06549,STOP,0.9282664075822658,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-08 23:20:00+00:00,2023-01-08 23:25:00+00:00,2023-01-08 23:25:00+00:00,2023-01-08 23:25:00+00:00,1.06515,1.06555,1.06455,1.06556,STOP,0.8983581244291605,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-08 23:25:00+00:00,2023-01-08 23:30:00+00:00,2023-01-08 23:30:00+00:00,2023-01-08 23:50:00+00:00,1.06561,1.06601,1.06501,1.06602,STOP,0.935553922231806,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
N7_NEUTRAL_ORACLE_IMITATION,NEUTRAL,SHORT,2023-01-08 23:55:00+00:00,2023-01-09 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-01-09 00:00:00+00:00,1.0662699999999998,1.0666699999999998,1.06567,1.0666799999999999,STOP,0.9506555912819968,0,0.0004,4.0,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146,validation_2023
