threshold,eligible_frequency,trades_2021,trades_2022,predicted_trades,oracle_trades,exact_matches,exact_precision,exact_recall,exact_f1,tolerance_minutes,tolerant_matches,tolerant_precision,tolerant_recall,tolerant_f1,profit_factor,net_r,selected,fallback_after_frequency_failure
0.4,True,663,533,1196,690,220,0.18394648829431437,0.3188405797101449,0.23329798515376457,15,309,0.2583612040133779,0.44782608695652176,0.327677624602333,0.6383914364239731,-312.47500000014804,False,False
0.45,True,658,528,1186,690,217,0.18296795952782463,0.3144927536231884,0.23134328358208955,15,309,0.260539629005059,0.44782608695652176,0.3294243070362473,0.6512447158288698,-297.00000000014745,False,False
0.5,True,649,526,1175,690,216,0.18382978723404256,0.3130434782608696,0.23163538873994638,15,307,0.2612765957446809,0.4449275362318841,0.3292225201072386,0.6620925732994368,-283.8000000001476,False,False
0.55,True,644,523,1167,690,216,0.18508997429305912,0.3130434782608696,0.23263327948303714,15,308,0.2639245929734362,0.4463768115942029,0.3317178244480345,0.6712213326911015,-273.10000000014793,False,False
0.6,True,642,519,1161,690,213,0.1834625322997416,0.30869565217391304,0.23014586709886548,15,306,0.26356589147286824,0.4434782608695652,0.33063209076175043,0.6661433962262515,-276.475000000147,False,False
0.65,True,639,513,1152,690,213,0.18489583333333334,0.30869565217391304,0.23127035830618892,15,305,0.2647569444444444,0.4420289855072464,0.3311617806731813,0.681798675821314,-259.52500000014675,False,False
0.7,True,627,504,1131,690,208,0.1839080459770115,0.30144927536231886,0.22844590884129598,15,295,0.2608311229000884,0.427536231884058,0.3239978034047226,0.630948753884435,-302.8250000001392,False,False
0.75,True,607,486,1093,690,209,0.19121683440073192,0.30289855072463767,0.23443634324172744,15,300,0.2744739249771272,0.43478260869565216,0.33651149747616377,0.6487018971049267,-276.3750000001381,False,False
0.8,True,567,462,1029,690,196,0.19047619047619047,0.28405797101449276,0.2280395578824898,15,288,0.27988338192419826,0.41739130434782606,0.33507853403141363,0.6578884934755224,-252.35000000012832,False,False
0.85,True,515,405,920,690,197,0.2141304347826087,0.2855072463768116,0.24472049689440992,15,282,0.3065217391304348,0.40869565217391307,0.3503105590062112,0.6922485093285463,-200.0000000001195,True,False
0.9,True,438,310,748,690,168,0.22459893048128343,0.24347826086956523,0.2336578581363004,15,241,0.32219251336898397,0.3492753623188406,0.33518776077885953,0.6473396685487016,-192.05000000009994,False,False
