trade_index,trade_entry_time_utc,trade_side,oracle_entry_time_utc,oracle_trade_number,absolute_difference_minutes,walk_forward_window
8,2023-01-03 00:00:00+00:00,SHORT,2023-01-03 00:00:00+00:00,1,0.0,validation_2023
9,2023-01-03 00:05:00+00:00,SHORT,2023-01-03 00:05:00+00:00,2,0.0,validation_2023
12,2023-01-06 00:00:00+00:00,LONG,2023-01-06 00:00:00+00:00,1,0.0,validation_2023
13,2023-01-06 00:05:00+00:00,LONG,2023-01-06 00:05:00+00:00,2,0.0,validation_2023
14,2023-01-06 00:10:00+00:00,LONG,2023-01-06 00:10:00+00:00,3,0.0,validation_2023
20,2023-01-09 00:00:00+00:00,SHORT,2023-01-09 00:05:00+00:00,1,5.0,validation_2023
21,2023-01-09 00:05:00+00:00,SHORT,2023-01-09 00:10:00+00:00,2,5.0,validation_2023
22,2023-01-09 00:10:00+00:00,SHORT,2023-01-09 00:15:00+00:00,3,5.0,validation_2023
23,2023-01-09 00:15:00+00:00,SHORT,2023-01-09 00:20:00+00:00,4,5.0,validation_2023
28,2023-01-24 00:05:00+00:00,LONG,2023-01-24 00:05:00+00:00,1,0.0,validation_2023
30,2023-01-25 00:00:00+00:00,SHORT,2023-01-25 00:00:00+00:00,1,0.0,validation_2023
37,2023-01-27 00:00:00+00:00,LONG,2023-01-27 00:00:00+00:00,1,0.0,validation_2023
38,2023-01-27 00:05:00+00:00,SHORT,2023-01-27 00:05:00+00:00,2,0.0,validation_2023
39,2023-01-27 00:10:00+00:00,SHORT,2023-01-27 00:20:00+00:00,3,10.0,validation_2023
40,2023-01-27 00:15:00+00:00,SHORT,2023-01-27 00:25:00+00:00,4,10.0,validation_2023
41,2023-01-30 00:00:00+00:00,SHORT,2023-01-30 00:05:00+00:00,1,5.0,validation_2023
45,2023-02-06 00:05:00+00:00,SHORT,2023-02-06 00:05:00+00:00,1,0.0,validation_2023
48,2023-02-06 00:40:00+00:00,LONG,2023-02-06 00:40:00+00:00,3,0.0,validation_2023
50,2023-02-15 00:15:00+00:00,LONG,2023-02-15 00:15:00+00:00,4,0.0,validation_2023
54,2023-02-28 00:10:00+00:00,SHORT,2023-02-28 00:10:00+00:00,1,0.0,validation_2023
60,2023-03-01 00:15:00+00:00,LONG,2023-03-01 00:30:00+00:00,3,15.0,validation_2023
61,2023-03-01 00:20:00+00:00,LONG,2023-03-01 00:35:00+00:00,4,15.0,validation_2023
