feature,coefficient,training_mean,training_scale,walk_forward_window
hour_cos,11.944147548718256,0.25242070049777454,0.6529508421139348,DEVELOPMENT_FIT
hour_sin,1.4113343970327703,-0.13164848157985828,0.7018601463544101,DEVELOPMENT_FIT
spread_mean_pips,0.8632630367243781,0.38578514067995684,0.3648580931853125,DEVELOPMENT_FIT
spread_std_pips,0.6529197989452774,0.12048184566777685,0.13136693591020412,DEVELOPMENT_FIT
aligned_ema_gap_atr,0.4660927728049927,0.0,1.5141596520443814,DEVELOPMENT_FIT
range_atr,0.36835488369375907,0.9766508907824654,0.5524134036366867,DEVELOPMENT_FIT
eurusd_range_12_atr,0.25207842538030106,4.555136480285397,1.4425738536129373,DEVELOPMENT_FIT
aligned_return_12_atr,0.16569140146309985,0.0,2.09772587626238,DEVELOPMENT_FIT
aligned_return_1_atr,0.1515565079106538,0.0,0.7151632418385772,DEVELOPMENT_FIT
tick_ratio,0.10044017942861422,1.1068700002130234,0.7265027585098408,DEVELOPMENT_FIT
tick_count_ratio_24,0.10044017942861422,1.1068700002130234,0.7265027585098408,DEVELOPMENT_FIT
weekday_cos,0.08089759476137566,0.015872861424702234,0.6991614360427687,DEVELOPMENT_FIT
aligned_return_3_atr,0.07897452167489831,0.0,1.1689905180109461,DEVELOPMENT_FIT
side_room_atr,0.07819031123283335,1.7530455275846566,1.437477918419311,DEVELOPMENT_FIT
volume_imbalance,0.057515435930414104,0.023813158284721567,0.18707661220323205,DEVELOPMENT_FIT
aligned_quote_change_imbalance,0.047745469364207836,0.0,0.0843497475773829,DEVELOPMENT_FIT
aligned_dxy_gap_atr,0.017920866473025217,0.0,2.8901551750780654,DEVELOPMENT_FIT
aligned_bond_gap_atr,-0.003334912833524543,0.0,2.153230997622557,DEVELOPMENT_FIT
aligned_close_location,-0.02884711403174715,0.0,0.6498960350186732,DEVELOPMENT_FIT
aligned_three_bar_quote_change_imbalance,-0.03154228736277799,0.0,0.049010250403854164,DEVELOPMENT_FIT
late_tick_share,-0.03610620524167464,0.20090009328940628,0.08252673333364952,DEVELOPMENT_FIT
aligned_late_return_pips,-0.0442871010229312,0.0,0.9758289266196694,DEVELOPMENT_FIT
aligned_return_24_atr,-0.052768972511388616,0.0,2.961950430827431,DEVELOPMENT_FIT
aligned_eurusd_h1_gap_atr,-0.08546907595164291,0.0,2.639702076418548,DEVELOPMENT_FIT
aligned_return_6_atr,-0.10733266427969282,0.0,1.5699894615122592,DEVELOPMENT_FIT
realized_variance_pips2,-0.13736081818764684,2.903883917489968,2.706468093226138,DEVELOPMENT_FIT
aligned_path_efficiency,-0.1507125609275531,0.0,0.10729791194451309,DEVELOPMENT_FIT
weekday_sin,-0.23918397504937866,0.06736581009976743,0.7116060611394536,DEVELOPMENT_FIT
dxy_range_12_atr,-0.2451187284276803,4.7068630264115745,1.2058561649816077,DEVELOPMENT_FIT
spread_last_pips,-0.3663085669112853,0.4047386188750509,0.43523352713910485,DEVELOPMENT_FIT
aligned_anchor_gap_atr,-0.7529060871720221,0.0,2.123791314527548,DEVELOPMENT_FIT
spread_max_pips,-1.2757540439612334,0.6584868192430107,0.6439602762015088,DEVELOPMENT_FIT
hour_cos,15.622560242547035,0.2618356526669081,0.6488404690086221,validation_2023
hour_sin,1.4533387874831276,-0.14237256488470787,0.7001272666717925,validation_2023
spread_mean_pips,0.6363340822721048,0.43262426203922466,0.4985528568145031,validation_2023
aligned_ema_gap_atr,0.570255227580204,0.0,1.5751125772209382,validation_2023
spread_std_pips,0.48215548966176996,0.12451997744633841,0.16383568189113504,validation_2023
range_atr,0.3465002804703,0.9731501226135199,0.5497014520781759,validation_2023
eurusd_range_12_atr,0.23969228736889836,4.572710771068245,1.4048169940783048,validation_2023
