evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
DEVELOPMENT,2026-06-08,1780876800000,2026-06-08T02:30:00.884000Z,1780885800884,SHORT,-0.015151515151515152,-0.7550000000001091,1780885801029,145,4313.95,4314.45,1780885921072,43,4310.94,4311.44,2.5100000000002183,2.410000000000218,2.2100000000002185,0.01
DEVELOPMENT,2026-06-08,1780891200000,2026-06-08T05:13:56.559000Z,1780895636559,SHORT,0.01935483870967742,-0.7550000000001091,1780895636566,7,4306.07,4306.57,1780895757055,489,4305.43,4305.93,0.13999999999941792,0.03999999999941792,-0.16000000000058207,0.01
DEVELOPMENT,2026-06-08,1780905600000,2026-06-08T09:09:42.336000Z,1780909782336,SHORT,-0.056,-0.8400000000001455,1780909782338,2,4284.3,4284.8,1780909902373,35,4286.85,4287.35,-3.050000000000182,-3.150000000000182,-3.3500000000001817,0.01
DEVELOPMENT,2026-06-08,1780920000000,2026-06-08T12:35:50.806000Z,1780922150806,LONG,0.0967741935483871,0.7950000000000728,1780922150917,111,4329.16,4329.91,1780922270945,28,4333.28,4333.78,3.369999999999891,3.2699999999998908,3.069999999999891,0.01
DEVELOPMENT,2026-06-08,1780934400000,2026-06-08T16:20:01.391000Z,1780935601391,LONG,0.07563025210084033,0.75,1780935601468,77,4343.36,4343.86,1780935721665,197,4341.47,4341.97,-2.389999999999418,-2.489999999999418,-2.6899999999994177,0.01
DEVELOPMENT,2026-06-08,1780948800000,2026-06-08T20:02:08.332000Z,1780948928332,LONG,0.1,0.8299999999999272,1780948928344,12,4328.16,4328.66,1780949048458,114,4328.25,4328.75,-0.4099999999998545,-0.5099999999998545,-0.7099999999998545,0.01
DEVELOPMENT,2026-06-09,1780963200000,2026-06-09T01:36:04.922000Z,1780968964922,LONG,-0.005780346820809248,0.7699999999995271,1780968965023,101,4337.3,4337.8,1780969085314,291,4335.09,4335.59,-2.7100000000000364,-2.8100000000000365,-3.010000000000036,0.01
DEVELOPMENT,2026-06-09,1780977600000,2026-06-09T05:39:57.322000Z,1780983597322,LONG,-0.08527131782945736,0.75,1780983597435,113,4342.95,4343.45,1780983717559,124,4345.23,4345.73,1.7799999999997453,1.6799999999997453,1.4799999999997453,0.01
DEVELOPMENT,2026-06-09,1780992000000,2026-06-09T08:29:00.731000Z,1780993740731,LONG,0.09803921568627451,0.8400000000001455,1780993740783,52,4335.21,4335.71,1780993860842,59,4335.55,4336.05,-0.15999999999985448,-0.25999999999985446,-0.45999999999985447,0.01
DEVELOPMENT,2026-06-09,1781006400000,2026-06-09T12:53:47.940000Z,1781009627940,SHORT,0.06,-0.8000000000001819,1781009627958,18,4339.19,4339.69,1781009748021,63,4337.57,4338.07,1.1199999999998909,1.0199999999998908,0.8199999999998908,0.01
DEVELOPMENT,2026-06-09,1781020800000,2026-06-09T17:40:01.676000Z,1781026801676,SHORT,0.009259259259259259,-0.7899999999999636,1781026801729,53,4261.73,4262.48,1781026921767,38,4264.24,4264.74,-3.0100000000002183,-3.1100000000002184,-3.310000000000218,0.01
DEVELOPMENT,2026-06-09,1781035200000,2026-06-09T20:03:12.750000Z,1781035392750,LONG,0.08928571428571429,0.8699999999998909,1781035392766,16,4257.62,4258.12,1781035512787,21,4259.45,4259.95,1.3299999999999272,1.2299999999999272,1.0299999999999272,0.01
DEVELOPMENT,2026-06-10,1781049600000,2026-06-10T00:00:00.813000Z,1781049600813,SHORT,-0.011627906976744186,-0.930000000000291,1781049600818,5,4220.88,4221.38,1781049720824,6,4219.0,4219.5,1.3800000000001091,1.280000000000109,1.080000000000109,0.01
DEVELOPMENT,2026-06-10,1781064000000,2026-06-10T04:06:46.410000Z,1781064406410,SHORT,-0.088,-0.7699999999995271,1781064406514,104,4184.32,4184.82,1781064526551,37,4182.59,4183.09,1.2299999999995634,1.1299999999995634,0.9299999999995634,0.01
DEVELOPMENT,2026-06-10,1781078400000,2026-06-10T08:38:37.155000Z,1781080717155,SHORT,-0.005405405405405406,-0.75,1781080717170,15,4172.92,4173.42,1781080837705,535,4174.38,4174.88,-1.9600000000000364,-2.0600000000000365,-2.260000000000036,0.01
DEVELOPMENT,2026-06-10,1781107200000,2026-06-10T16:25:39.627000Z,1781108739627,SHORT,-0.02617801047120419,-0.7699999999995271,1781108739652,25,4127.74,4128.24,1781108859849,197,4131.26,4131.76,-4.020000000000437,-4.120000000000436,-4.320000000000436,0.01
DEVELOPMENT,2026-06-10,1781121600000,2026-06-10T20:13:04.351000Z,1781122384351,LONG,-0.07913669064748201,0.775000000000091,1781122384624,273,4072.31,4072.81,1781122505164,540,4072.19,4072.69,-0.6199999999998909,-0.7199999999998908,-0.9199999999998909,0.01
DEVELOPMENT,2026-06-11,1781136000000,2026-06-11T03:05:00.650000Z,1781147100650,LONG,-0.0582010582010582,0.75,1781147100668,18,4075.11,4075.61,1781147220746,78,4071.4,4071.9,-4.210000000000036,-4.310000000000036,-4.510000000000036,0.01
DEVELOPMENT,2026-06-11,1781150400000,2026-06-11T04:08:49.495000Z,1781150929495,LONG,-0.05405405405405406,0.7699999999999818,1781150929554,59,4076.84,4077.34,1781151049675,121,4078.94,4079.44,1.599999999999909,1.499999999999909,1.299999999999909,0.01
DEVELOPMENT,2026-06-11,1781164800000,2026-06-11T08:02:33.245000Z,1781164953245,LONG,0.04093567251461988,0.7699999999995271,1781164953247,2,4110.31,4110.81,1781165073281,34,4107.48,4108.23,-3.3300000000008367,-3.430000000000837,-3.6300000000008366,0.01
DEVELOPMENT,2026-06-11,1781179200000,2026-06-11T12:01:24.549000Z,1781179284549,LONG,0.07262569832402235,0.819999999999709,1781179284562,13,4081.93,4082.43,1781179404677,115,4084.15,4084.9,1.7200000000002547,1.6200000000002546,1.4200000000002546,0.01
DEVELOPMENT,2026-06-11,1781193600000,2026-06-11T17:00:08.166000Z,1781197208166,SHORT,0.0,-0.7699999999999818,1781197208236,70,4078.77,4079.27,1781197328364,128,4077.65,4078.15,0.6199999999998909,0.5199999999998909,0.31999999999989087,0.01
DEVELOPMENT,2026-06-11,1781208000000,2026-06-11T20:03:06.602000Z,1781208186602,SHORT,0.09774436090225563,-0.75,1781208186605,3,4211.98,4212.48,1781208306653,48,4208.7,4209.2,2.7799999999997453,2.6799999999997453,2.4799999999997455,0.01
DEVELOPMENT,2026-06-15,1781481600000,2026-06-15T01:49:23.155000Z,1781488163155,LONG,-0.028169014084507043,0.7849999999998545,1781488163220,65,4315.07,4315.57,1781488283299,79,4316.77,4317.52,1.2000000000007276,1.1000000000007275,0.9000000000007276,0.01
DEVELOPMENT,2026-06-15,1781496000000,2026-06-15T04:19:15.765000Z,1781497155765,SHORT,0.06422018348623854,-0.7800000000006548,1781497156071,306,4324.13,4324.63,1781497276125,54,4323.55,4324.05,0.07999999999992724,-0.020000000000072765,-0.22000000000007275,0.01
DEVELOPMENT,2026-06-15,1781510400000,2026-06-15T08:23:22.322000Z,1781511802322,LONG,0.09734513274336283,0.7899999999999636,1781511802344,22,4330.5,4331.0,1781511922390,46,4328.48,4329.23,-2.5200000000004366,-2.6200000000004366,-2.8200000000004364,0.01
DEVELOPMENT,2026-06-15,1781524800000,2026-06-15T12:05:01.899000Z,1781525101899,SHORT,-0.078125,-0.7699999999995271,1781525101911,12,4336.49,4336.99,1781525222031,120,4337.31,4337.81,-1.3200000000006185,-1.4200000000006185,-1.6200000000006185,0.01
DEVELOPMENT,2026-06-15,1781539200000,2026-06-15T16:12:30.451000Z,1781539950451,SHORT,-0.09090909090909091,-0.7700000000004366,1781539950497,46,4349.11,4349.61,1781540071038,541,4351.36,4351.86,-2.75,-2.85,-3.05,0.01
DEVELOPMENT,2026-06-16,1781568000000,2026-06-16T00:27:20.960000Z,1781569640960,LONG,-0.06060606060606061,0.75,1781569640964,4,4308.3,4308.8,1781569760996,32,4307.99,4308.49,-0.8100000000004002,-0.9100000000004002,-1.1100000000004002,0.01
DEVELOPMENT,2026-06-16,1781582400000,2026-06-16T04:19:55.788000Z,1781583595788,LONG,0.06,0.7799999999997453,1781583595799,11,4326.07,4326.57,1781583716746,947,4326.02,4326.52,-0.5499999999992724,-0.6499999999992724,-0.8499999999992724,0.01
DEVELOPMENT,2026-06-16,1781596800000,2026-06-16T08:00:07.292000Z,1781596807292,SHORT,0.06870229007633588,-0.7849999999998545,1781596807413,121,4333.89,4334.39,1781596927813,400,4335.12,4335.62,-1.7299999999995634,-1.8299999999995635,-2.0299999999995633,0.01
